base,state,side,family,form,q,w,depth,cadence,gross,gbar,gt,alpha,S0,S10,S25,decay,CAGR,Sharpe,MaxDD,H1,H2,IS_S,OOS_CAGR,OOS_S,OOS_MaxDD,OOS_H1,OOS_H2,keep4a,keep4b,oos4a,oos4b
EWALL,CORR,LO,CORR-LO,BINARY,0.07,252,0.25,D,0.75,0.9733910891089109,2.2965796579657964,1.0,1.0631683150602569,1.0454963915248983,1.018924191889433,0.044244123170823935,0.10185315662779582,1.0454963915248983,-0.15844264747951087,1.0830395591076403,1.0149384820448002,0.9842836504088108,0.10934198329573652,1.0938951004804576,-0.15844264747951098,1.2434021157995332,0.9389848124391657,False,False,False,True
EWALL,CORR,LO,CORR-LO,BINARY,0.07,252,0.25,D,1.0,0.9733910891089109,2.2965796579657964,1.0,1.0632512113199593,1.0455972853601445,1.0190521780182826,0.04419903330167663,0.13579363228022756,1.0455972853601445,-0.20841177877563244,1.0833319695184709,1.0149388760353883,0.9846065097574945,0.14601274634315042,1.0938032496529368,-0.20841177877563222,1.2416604992187734,0.9403054471169863,False,False,False,False
TOP20,CORR,LO,CORR-LO,BINARY,0.07,252,0.25,D,0.75,0.9733910891089109,2.2965796579657964,1.0,1.2372268821803207,1.222604895146178,1.200619154514563,0.036607727665757706,0.14641490975461746,1.222604895146178,-0.1964748652167172,1.2375719280361788,1.2160231831039776,1.128669346639543,0.16382236630561975,1.2949100962920643,-0.1964748652167172,1.4331616136245253,1.1448145621259456,False,True,False,True
TOP20,CORR,LO,CORR-LO,BINARY,0.07,252,0.25,D,1.0,0.9733910891089109,2.2965796579657964,1.0,1.2393519017226964,1.224758618657463,1.202816073726521,0.036535827996175385,0.19693344777402877,1.224758618657463,-0.25430421363550937,1.2402165783312478,1.2176908488513616,1.1314841321328912,0.22070138041014964,1.2965980988841885,-0.2543042136355089,1.434348051347573,1.1470243890126839,False,False,False,False
EWALL,CORR,LO,CORR-LO,RAMP,0.07,252,0.25,D,0.75,0.9733910891089109,2.8969485115251095,1.9748388068222966,1.027394943388212,1.005115041005389,0.9716343585034642,0.055760584884747666,0.09781653154987646,1.005115041005389,-0.1584426474795103,1.0232796270162754,0.9917899998567153,0.9271186785026817,0.1066965684547545,1.0666483332422099,-0.15844264747951087,1.222811099817272,0.905465550414731,False,False,False,False
EWALL,CORR,LO,CORR-LO,RAMP,0.07,252,0.25,D,1.0,0.9733910891089109,2.8969485115251095,1.9748388068222966,1.027545732423346,1.00528835288591,0.9718415338317802,0.05570419859156572,0.1302403934288785,1.00528835288591,-0.20841177877563222,1.0236147859507498,0.9918731690385636,0.9274799335094561,0.1423613030965638,1.066646725465442,-0.20841177877563255,1.2211556132412658,0.9068522385549753,False,False,False,False
TOP20,CORR,LO,CORR-LO,RAMP,0.07,252,0.25,D,0.75,0.9733910891089109,2.8969485115251095,1.9748388068222966,1.2004212035411599,1.1819560444458033,1.1542086712358541,0.046212532305305754,0.14142081660342343,1.1819560444458033,-0.1964748652167173,1.1798487374521964,1.1898572272355463,1.0707527502236995,0.16037003391164895,1.2669121703646933,-0.19647486521671687,1.4146725594699432,1.1066689711104982,False,True,False,True
TOP20,CORR,LO,CORR-LO,RAMP,0.07,252,0.25,D,1.0,0.9733910891089109,2.8969485115251095,1.9748388068222966,1.202828302933852,1.1843988297578505,1.156705086743381,0.046123216190470995,0.18999629804313534,1.1843988297578505,-0.25430421363550904,1.182950948650238,1.1916882752996383,1.074058009811358,0.2158700712788988,1.2687586193047729,-0.2543042136355095,1.4159331858629127,1.1091168886255292,False,False,False,False
EWALL,CORR,LO,CORR-LO,RATIO,0.07,252,0.25,D,0.75,0.9733910891089109,2.718436139685144,1.7234328375031414,1.0370240496903056,1.0161043183391703,0.9846692384746135,0.052354811215692076,0.09896706399892485,1.0161043183391703,-0.15844264747951076,1.035152093378741,1.0019160191795216,0.9373576449802813,0.10787752255385952,1.0782959855483953,-0.15844264747951087,1.2210715932714964,0.9307547561264524,False,False,False,True
EWALL,CORR,LO,CORR-LO,RATIO,0.07,252,0.25,D,1.0,0.9733910891089109,2.718436139685144,1.7234328375031414,1.0371452049751346,1.0162466474870215,0.984843401846482,0.052301803128652624,0.1318182547695692,1.0162466474870215,-0.20841177877563222,1.0354660479686977,1.0019599322468613,0.9376999758169461,0.14398794041759588,1.0782527259980335,-0.20841177877563222,1.2194140530539004,0.9320929805228874,False,False,False,False
