panel,family,n,N0,N1,N2,N3,N4,N5,N6,N7,N8,N9
B136,ABS,16,-0.011764705882352941,0.007391081920125387,-0.011764705882352941,0.011764705882352941,0.011764705882352941,0.011764705882352941,-0.011764705882352941,-0.13529411764705881,-0.12941176470588234,-0.9941176470588234
B136,QEXP,20,-0.5729323308270676,-0.6581178933445088,-0.5729323308270676,-0.6481203007518795,-0.6481203007518795,-0.6481203007518795,-0.5729323308270676,-0.47518796992481205,-0.4857142857142857,-1.0
B136,QROLL,128,-0.8405944345599848,-0.8512930356253782,-0.8405944345599848,-0.8506948937151627,-0.846576863211866,-0.8484766984068851,-0.8405944345599848,-0.8808025086980406,-0.8846880150155648,-0.9998683849111885
B136,ALL,164,-0.7122704954369178,-0.7261394513078234,-0.7122704954369178,-0.7257406937524723,-0.7199951029069687,-0.7222831335954184,-0.7122704954369178,-0.7567314624624215,-0.7620176023288397,-0.9999020581393766
SMALL439,ABS,16,-0.7970588235294117,-0.8242326125228052,-0.7970588235294117,-0.8117647058823528,-0.7647058823529411,-0.7735294117647058,-0.7970588235294117,-0.8205882352941177,-0.8794117647058824,-1.0
SMALL439,QEXP,22,0.03223986541772627,0.004562531185942914,0.03223986541772627,0.002828058369975989,0.08977978543195936,0.07961603613777528,0.03223986541772627,-0.08074534161490683,-0.13156408808582723,-1.0
SMALL439,QROLL,130,-0.3297833711192797,-0.3537835638554416,-0.3297833711192797,-0.35341048527126717,-0.3275997214218411,-0.33462972319709405,-0.3297833711192797,-0.34659219708039163,-0.3427412637070013,-0.9999563014652665
SMALL439,ALL,168,-0.27412545548591255,-0.29289452510672725,-0.27412545548591255,-0.29268629164279714,-0.2746544105364926,-0.2808170640966588,-0.27412545548591255,-0.31200236888859645,-0.3106483567100795,-0.9999569753139538
U56,ABS,28,-0.884141629619077,-0.9290555938920838,-0.884141629619077,-0.9192005294304904,-0.8522167487684729,-0.8905309250136835,-0.884141629619077,-0.9299397920087575,-0.9386973180076628,-0.9999999999999998
U56,QEXP,18,-0.8590605171658633,-0.8958106832281911,-0.8590605171658633,-0.8844169246646028,-0.8844169246646028,-0.8844169246646028,-0.8590605171658633,-0.9215686274509803,-0.9401444788441692,-0.9834881320949431
U56,QROLL,116,-0.7373388882905764,-0.7478770980759516,-0.7373388882905764,-0.7470819401886097,-0.7347556990735402,-0.7389766655133971,-0.7373388882905764,-0.8149386845039018,-0.8212970437857995,-0.9996463306808133
U56,ALL,162,-0.7436178157698172,-0.7552469194150823,-0.7436178157698172,-0.754664068490846,-0.7392122908260544,-0.7465539311364865,-0.7436178157698172,-0.7995627758231119,-0.8053886680187027,-0.9995201542280763
POOLED,ABS,60,-0.5950204261095514,-0.6096239526533664,-0.4664184304977734,-0.461972380519838,-0.47674353987218676,-0.48580161155876644,-0.4564703936721431,-0.6333425951653238,-0.5485968324534594,-0.9996110030564048
POOLED,QEXP,60,-0.4117377369313182,-0.443567124426171,-0.2466758379388076,-0.2525912143714483,-0.2439010836343429,-0.24701305918310648,-0.2501771509477396,-0.4661850514031676,-0.33892747985551547,-0.9993887190886358
POOLED,QROLL,374,-0.5613582042881905,-0.5722660478001593,-0.458710321442175,-0.46675115843356474,-0.45344714771114397,-0.4623024186033175,-0.47038833545795167,-0.6034944875342289,-0.5509221086436037,-0.9998561741050308
POOLED,ALL,494,-0.5130754883941299,-0.5224423117986005,-0.4102318821062544,-0.416691419392288,-0.409996956532667,-0.4169016208516582,-0.419784330337142,-0.5521281252465197,-0.49498061811502614,-0.99986084162448
