panel,source,kind,etf_share,seed,k,n_elig,rev,rev_eps0,breadth,disp,corr,evol,days
B136,B136,NAMED,,-1,136,99.0,0.8571428571428571,0.8571428571428571,0.672343041451108,0.09502947143516048,0.34446852066282024,0.21676960356545938,921
BSTK100,BSTK100,NAMED,,-1,100,72.0,0.8571428571428571,0.8571428571428571,0.6713897937024972,0.10030245683507795,0.3513272381763732,0.2401637905733874,921
ETF36,ETF36,NAMED,1.0,-1,36,27.0,0.2857142857142857,0.2857142857142857,0.6749909518639161,0.06203052121331122,0.343583685263719,0.1578663742872465,921
MIX~s0.000~0,MIX,MIX,0.0,0,36,27.0,0.14285714285714285,0.14285714285714285,0.6891663650621305,0.08540504091077712,0.37270352909745136,0.2280291484138781,921
MIX~s0.000~1,MIX,MIX,0.0,1,36,26.0,0.8571428571428571,0.8571428571428571,0.6680238870792616,0.0975052842355079,0.352467857035765,0.24807361184492235,921
MIX~s0.000~2,MIX,MIX,0.0,2,36,27.0,0.8571428571428571,1.0,0.6894679695982627,0.10299574542053733,0.361875952579306,0.2463780601481074,921
MIX~s0.000~3,MIX,MIX,0.0,3,36,26.0,0.2857142857142857,0.2857142857142857,0.6688080588732054,0.09533962243049064,0.35491495159481123,0.24250969050602453,921
MIX~s0.000~4,MIX,MIX,0.0,4,36,27.0,0.2857142857142857,0.2857142857142857,0.6883821932681867,0.09458921417425423,0.3561529562033225,0.2362113778775612,921
MIX~s0.000~5,MIX,MIX,0.0,5,36,27.0,0.7142857142857143,0.8571428571428571,0.6888346000723851,0.10239668700699486,0.3774280507184439,0.24741871753441633,921
MIX~s0.125~0,MIX,MIX,0.125,0,36,26.0,0.2857142857142857,0.42857142857142855,0.6712510556158764,0.0920501053979748,0.33052033880423337,0.2272675782119712,921
MIX~s0.125~1,MIX,MIX,0.125,1,36,27.0,0.7142857142857143,0.7142857142857143,0.6958016648570393,0.09474143498351677,0.35131396973708356,0.23774547084737607,921
MIX~s0.125~2,MIX,MIX,0.125,2,36,26.0,0.0,0.0,0.6614790686451923,0.09491010523777389,0.3585563868074482,0.22611910415920022,921
