panel,fails,binds_h1,binds_h2,binds_oos,binds_dd,binds_cagr,sole_h1,sole_h2,sole_oos,sole_dd,sole_cagr
U56,21,0,0,0,21,0,0,0,0,21,0
B136,23,0,7,7,23,0,0,0,0,16,0
SMALL,42,42,42,42,42,42,0,0,0,0,0
