panel,gross,cadence,band,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,cell,y_IS,y_OOS
U56,0.75,W,0.0,0.08202502414265123,1.1713215419179979,-0.12011679204930847,1.181004403071515,1.1654646035176088,1.0550225340576929,0.09105937807219888,1.263130950297543,-0.12011679204930847,U56|0.75|W,0.0,0.0
U56,0.75,M,0.0,0.08918015547918379,1.211067333451998,-0.1182665710114742,1.2476980121984018,1.1781301242191673,1.1339820586749518,0.09477322432996926,1.2738659327604127,-0.11826657101147431,U56|0.75|M,0.0,0.0
U56,1.0,W,0.0,0.10966982255557478,1.1711825915422245,-0.1583854451870288,1.1815070742703568,1.1647762399582964,1.055459226936403,0.12195563156111655,1.2625157576379609,-0.15838544518702846,U56|1.0|W,0.0,0.0
U56,1.0,M,0.0,0.11959074204266407,1.212784860475168,-0.15485521846083428,1.2496894281117787,1.1795477044307827,1.136140326304333,0.12716614144811866,1.2752721770895794,-0.1548552184608344,U56|1.0|M,0.0,0.0
U56,0.75,W,0.01,0.08398543306300388,1.189654586349481,-0.12025472635326107,1.2006081128427863,1.1826785247203078,1.0785255473868436,0.0927848767534416,1.2774782987648579,-0.12025472635326073,U56|0.75|W,0.023503013329150724,0.014347348467314891
U56,0.75,M,0.01,0.0886551142618357,1.1962305160434328,-0.122812783551981,1.216130655187936,1.1790803291280925,1.0958041792525859,0.09591523573726946,1.2778330252097336,-0.12281278355198122,U56|0.75|M,-0.038177879422365946,0.003967092449320919
U56,1.0,W,0.01,0.11233446563317617,1.189495217221688,-0.15858542071146908,1.201086615523293,1.1819752395196523,1.0789338353011306,0.12430701848005543,1.276848891619682,-0.15858542071146908,U56|1.0|W,0.0234746083647277,0.014333133981721202
U56,1.0,M,0.01,0.11886796576535641,1.1980116303822759,-0.16076175895412093,1.218220887873311,1.1805405796134558,1.0980924804153815,0.1287260984146077,1.2792630446869884,-0.16076175895412093,U56|1.0|M,-0.03804784588895149,0.003990867597408965
U56,0.75,W,0.02,0.08513441878703976,1.1986095810709083,-0.11858553782433634,1.2037271636411038,1.1973109765241223,1.0848028016192959,0.09437330638519259,1.288205488465585,-0.11858553782433601,U56|0.75|W,0.029780267561603013,0.02507453816804195
U56,0.75,M,0.02,0.09048289957665445,1.2109908927668558,-0.12971876096124701,1.2373948136230857,1.1894586592254377,1.1253472032201612,0.09772781911017958,1.2793751707919885,-0.12971876096124757,U56|0.75|M,-0.008634855454790591,0.005509238031575769
U56,1.0,W,0.02,0.11389223754055289,1.1984169193493277,-0.15652430319629917,1.2041922526864428,1.196562131071771,1.0851960405009151,0.1264662895742854,1.2875287547257954,-0.15652430319629962,U56|1.0|W,0.029736813564512188,0.025012997087834554
U56,1.0,M,0.02,0.12136020539764858,1.2126324247705667,-0.16973433949219863,1.2395442237611034,1.1906164548434297,1.1276522197909196,0.13117564886634026,1.2805168415786952,-0.16973433949219852,U56|1.0|M,-0.008488106513413474,0.005244664489115758
U56,0.75,W,0.03,0.08660060029784411,1.2057639631781307,-0.1205494676867116,1.2262055541154628,1.1911198177449172,1.1045330391437245,0.09534815248934558,1.2853489467147505,-0.12054946768671182,U56|0.75|W,0.04951050508603161,0.022217996417207564
U56,0.75,M,0.03,0.08919656419661282,1.176823755402634,-0.14381694370256637,1.2118788238460616,1.149441987367395,1.1057257237956502,0.09638746588312741,1.2330051471139878,-0.14381694370256592,U56|0.75|M,-0.02825633487930168,-0.040860785646424924
U56,1.0,W,0.03,0.115880701816655,1.2055859004001448,-0.15910992922046163,1.226737535315743,1.190360863072926,1.1050049860823759,0.1277802093489815,1.284639508739213,-0.15910992922046197,U56|1.0|W,0.04954575914597292,0.022123751101252198
U56,1.0,M,0.03,0.119592109346905,1.1782547849146028,-0.18805286848716252,1.2138572494105093,1.1504093539331455,1.1078489900197186,0.1293289308796055,1.2339016865579537,-0.18805286848716263,U56|1.0|M,-0.028291336284614443,-0.04137049053162567
U56,0.75,W,0.04,0.08460067052507592,1.1729525716923874,-0.1255517425176037,1.1879734203083474,1.1641959668913153,1.0614771000467271,0.09446969289157114,1.2597291047056938,-0.1255517425176037,U56|0.75|W,0.006454565989034267,-0.003401845591849195
U56,0.75,M,0.04,0.08840769098716539,1.1519438605704235,-0.1566227232124524,1.1905418969162795,1.1238212494369988,1.0813632665396977,0.0965383840819436,1.2072773638581622,-0.1566227232124524,U56|0.75|M,-0.05261879213525411,-0.06658856890225051
U56,1.0,W,0.04,0.11313164945195231,1.1727406224748336,-0.1656388473726138,1.188518270891825,1.1633812963503376,1.0619638764573482,0.12654746855270727,1.258949721360535,-0.1656388473726138,U56|1.0|W,0.006504649520945316,-0.0035660362774259102
U56,1.0,M,0.04,0.11850212671765314,1.153104909650467,-0.20463427577450943,1.1924801261474491,1.1244071001654372,1.083459581900861,0.12951296221511543,1.2077253660826077,-0.20463427577450977,U56|1.0|M,-0.052680744403472035,-0.06754681100697169
U56,0.75,W,0.05,0.0834066934717963,1.1498231853217302,-0.1256730877177472,1.1873765478360827,1.120712428792957,1.062756496921331,0.09158051381176469,1.2180346346762476,-0.12567308771774666,U56|0.75|W,0.007733962863638144,-0.045096315621295346
