family,pairs,monotone,share,in_bar
CASH,684,684,1.0,True
VOLCAP,180,176,0.9777777777777777,True
VT,180,176,0.9777777777777777,True
MKT,144,0,,False
DDSTOP,144,114,0.7916666666666666,True
BREADTH,144,88,0.6111111111111112,True
