panel,ladder,cost,kind,npoints,n_used,slope_N,slope_N_p95,slope_N_noise
U56,NATIVE,10.0,NULL_0,7,5,-0.11618251800291853,-0.11744094525398253,-0.1275414991265217
U56,NATIVE,10.0,NULL_0R,7,7,0.1602503921797257,0.1430620959041448,0.00231248587493473
U56,NATIVE,25.0,NULL_0,7,6,-0.09034460813296225,-0.2721141904862558,-0.27635652187769744
U56,NATIVE,25.0,NULL_0R,7,7,0.1998887153047272,0.1755984806854899,0.05288330479625584
U56,SCALED,10.0,NULL_0,7,5,-0.01996935807716151,-0.20136236982211506,-0.2116594406852409
U56,SCALED,10.0,NULL_0R,7,7,0.08346796901696131,0.03786670581384066,-0.13798416986316345
U56,SCALED,25.0,NULL_0,7,5,-0.3530290399107194,-0.3193579613175187,-0.32644523296108785
U56,SCALED,25.0,NULL_0R,7,7,0.17275016617241087,0.12046118404996063,-0.07282231853331678
B136,NATIVE,10.0,NULL_0,7,3,-0.29776643509815615,-0.19350294158619372,-0.18718124677560818
B136,NATIVE,10.0,NULL_0R,7,7,-0.22720203237964978,-0.22707905025175765,-0.21197886734890203
B136,NATIVE,25.0,NULL_0,7,4,0.07778574186849727,-0.41456628547326707,-0.408789406361199
B136,NATIVE,25.0,NULL_0R,7,7,0.041023596377220965,0.024981280822369455,-0.02935572364352234
B136,SCALED,10.0,NULL_0,7,4,1.4449745032134766,-0.2409072905111444,-0.23258687952741622
B136,SCALED,10.0,NULL_0R,7,7,0.23716122901847994,0.20818141102865534,0.09502402678800924
B136,SCALED,25.0,NULL_0,7,4,-0.030339935597566068,-0.3820731477401053,-0.37687106393320835
B136,SCALED,25.0,NULL_0R,7,7,0.02991346372278333,0.02588036180728392,0.031751612070123045
