panel,frame,cost,chooser,g,oCAGR,oSharpe,oMaxDD,o4a,o4b,base_oCAGR,base_oSharpe,base_oMaxDD
U56,LIVE,0.0,argmaxIScagr,1.0,0.12936485510587525,1.3005938923679463,-0.15879014033027272,False,True,0.09650855698784055,1.301420486142619,-0.12029827224397549
U56,LIVE,0.0,argmaxISsharpe,1.0,0.12936485510587525,1.3005938923679463,-0.15879014033027272,False,True,0.09650855698784055,1.301420486142619,-0.12029827224397549
U56,LIVE,0.0,argmaxIScagr|ISddcap,1.0,0.12936485510587525,1.3005938923679463,-0.15879014033027272,False,True,0.09650855698784055,1.301420486142619,-0.12029827224397549
U56,LIVE,0.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.75,0.09650855698784055,1.301420486142619,-0.12029827224397549,False,False,0.09650855698784055,1.301420486142619,-0.12029827224397549
U56,LIVE,10.0,argmaxIScagr,1.0,0.12669164118494436,1.2761886602286254,-0.1591100739598581,False,True,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,LIVE,10.0,argmaxISsharpe,1.0,0.12669164118494436,1.2761886602286254,-0.1591100739598581,False,True,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,LIVE,10.0,argmaxIScagr|ISddcap,1.0,0.12669164118494436,1.2761886602286254,-0.1591100739598581,False,True,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,LIVE,10.0,"PREREG smallest g clearing BOTH IS bars, else 0.75",0.75,0.09455179369762767,1.2768823974588255,-0.12054956914840886,False,False,0.09455179369762767,1.2768823974588255,-0.12054956914840886
U56,LIVE,25.0,argmaxIScagr,1.0,0.12269329076695823,1.2395420701818733,-0.15958987574399786,False,True,0.09162298082962983,1.240036070912595,-0.12092645658916634
U56,LIVE,25.0,argmaxISsharpe,1.0,0.12269329076695823,1.2395420701818733,-0.15958987574399786,False,True,0.09162298082962983,1.240036070912595,-0.12092645658916634
U56,LIVE,25.0,argmaxIScagr|ISddcap,1.0,0.12269329076695823,1.2395420701818733,-0.15958987574399786,False,True,0.09162298082962983,1.240036070912595,-0.12092645658916634
