cadence,panel,claim_set,book,cost,book_turn,drag,null_base_rate_4b,book_pass4b,outside_null
W,U56,CORE,TOP5,0.0,17.680869292618343,0.0,0.352,False,False
W,U56,CORE,TOP5,5.0,17.680869292618343,0.00884043464630917,0.016,False,False
W,U56,CORE,TOP5,10.0,17.680869292618343,0.01768086929261834,0.0,False,False
W,U56,CORE,TOP5,25.0,17.680869292618343,0.044202173231545856,0.0,False,False
W,U56,CORE,TOP10,0.0,13.898235357782895,0.0,0.528,True,False
W,U56,CORE,TOP10,5.0,13.898235357782895,0.006949117678891447,0.006,True,True
W,U56,CORE,TOP10,10.0,13.898235357782895,0.013898235357782894,0.0,False,False
W,U56,CORE,TOP10,25.0,13.898235357782895,0.03474558839445723,0.0,False,False
W,U56,CORE,TOP20,0.0,9.642695002546747,0.0,0.718,True,False
W,U56,CORE,TOP20,5.0,9.642695002546747,0.004821347501273373,0.004,True,True
W,U56,CORE,TOP20,10.0,9.642695002546747,0.009642695002546746,0.0,True,True
W,U56,CORE,TOP20,25.0,9.642695002546747,0.024106737506366865,0.0,True,True
W,U56,CORE,EWELIG,0.0,8.206240210019166,0.0,0.096,True,False
W,U56,CORE,EWELIG,5.0,8.206240210019166,0.004103120105009583,0.062,True,False
W,U56,CORE,EWELIG,10.0,8.206240210019166,0.008206240210019165,0.01,False,False
W,U56,CORE,EWELIG,25.0,8.206240210019166,0.020515600525047917,0.0,False,False
W,U56,CORE,BAND03,0.0,1.7751520489439372,0.0,0.0,False,False
W,U56,CORE,BAND03,5.0,1.7751520489439372,0.0008875760244719686,0.0,False,False
W,U56,CORE,BAND03,10.0,1.7751520489439372,0.0017751520489439371,0.0,False,False
W,U56,CORE,BAND03,25.0,1.7751520489439372,0.004437880122359843,0.0,False,False
W,U56,EXT,TOP5,0.0,23.559581373975767,0.0,0.094,False,False
W,U56,EXT,TOP5,5.0,23.559581373975767,0.011779790686987883,0.004,False,False
W,U56,EXT,TOP5,10.0,23.559581373975767,0.023559581373975767,0.0,False,False
W,U56,EXT,TOP5,25.0,23.559581373975767,0.058898953434939415,0.0,False,False
W,U56,EXT,TOP10,0.0,18.52067369235712,0.0,0.19,False,False
W,U56,EXT,TOP10,5.0,18.52067369235712,0.00926033684617856,0.008,False,False
W,U56,EXT,TOP10,10.0,18.52067369235712,0.01852067369235712,0.0,False,False
