leg,window,char,k,n_B,n_S,n_min,rep,n_overlap,reach_lo_B,reach_hi_B,reach_lo_S,reach_hi_S,reach_w_B,reach_w_S,abs_resid,mean_resid,abs_resid_sd_units,worst_rung,sd_sub
REEST,FULL,momac,36,48,48,48,1,1,0.8456818042899069,0.8791122365646121,0.8089157713238223,0.8654036657205553,0.03343043227470521,0.05648789439673296,0.0016585454722042314,-0.0016585454722042314,0.018245852209972505,0.0016585454722042314,0.06112592002948473
REEST,FULL,momac,36,48,48,48,5,1,0.8477903108306492,0.8861907544041241,0.842191496827335,0.8746808795714605,0.03840044357347494,0.032489382744125495,1.600820283920168e-05,-1.600820283920168e-05,0.00017610810679984134,1.600820283920168e-05,0.04273259099642843
REEST,FULL,momac,36,64,64,64,0,3,0.8430046495757687,0.8957048055023955,0.8024149540837189,0.8913006016599806,0.0527001559266268,0.08888564757626172,0.0029173460639063675,-0.0029173460639063675,0.03209406435907834,0.005156577772614579,0.06706116606631779
REEST,FULL,momac,36,64,64,64,1,1,0.8397519971719335,0.8987219265694494,0.7898115652107996,0.8826520909068304,0.058969929397515886,0.09284052569603074,0.00017054146495842915,0.00017054146495842915,0.001876146549764621,0.00017054146495842915,0.08931307422320023
REEST,FULL,momac,36,64,64,64,2,1,0.8454747720137289,0.8945744400661785,0.8201217119856536,0.8821090959865514,0.049099668052449585,0.06198738400089776,0.0013781985356420279,0.0013781985356420279,0.015161722858225295,0.0013781985356420279,0.04340728862770197
REEST,FULL,momac,36,64,64,64,3,1,0.8407767098260152,0.9005012309560095,0.8128385869272483,0.8857805063805072,0.05972452112999438,0.0729419194532589,0.001351775177655612,-0.001351775177655612,0.014871036414717298,0.001351775177655612,0.0524351538837808
REEST,FULL,momac,36,64,64,64,4,1,0.8455591869464478,0.8969721569932358,0.8137521961257881,0.8797211664142219,0.05141297004678802,0.06596897028843385,0.011962117948995488,-0.011962117948995488,0.1315966549446254,0.011962117948995488,0.04594844984751718
REEST,FULL,momac,36,64,64,64,5,3,0.8448430626984865,0.899443728843322,0.7990488274895405,0.8950707934572186,0.0546006661448355,0.09602196596767809,0.006058743454137187,-0.006058743454137187,0.06665294349476407,0.010785783397167958,0.08410762940117775
REEST,FULL,momac,36,84,84,84,0,3,0.8339196095391297,0.9057744539878289,0.7868341652349713,0.8910591421242232,0.07185484444869916,0.10422497688925192,0.0025359207301061484,-0.0025359207301061484,0.027897959768464348,0.006416875270254918,0.07183155659686394
REEST,FULL,momac,36,84,84,84,1,3,0.8331224442594782,0.903225278961477,0.7866696583713256,0.8971700286737107,0.07010283470199874,0.11050037030238502,0.009733365009541584,-0.009733365009541584,0.1070778838724204,0.013689731684109141,0.0598094962649606
REEST,FULL,momac,36,84,84,84,2,3,0.8350481518594651,0.9011460208450617,0.8108413260313974,0.8954166868173908,0.06609786898559655,0.08457536078599348,0.010747499604718769,-0.010747499604718769,0.11823449685333039,0.012615441691286922,0.0464026240410606
REEST,FULL,momac,36,84,84,84,3,3,0.8247601281315385,0.8993628309514459,0.8193914182037324,0.9010739726366028,0.07460270281990733,0.08168255443287042,0.007791590505367596,-0.005284604885804993,0.08571619604292416,0.013608167145873873,0.04409827051406264
REEST,FULL,momac,36,84,84,84,4,3,0.8350622978274764,0.9065257323925137,0.7958553060190828,0.8947343287353839,0.07146343456503723,0.09887902271630111,0.008998350878899553,-0.008998350878899553,0.0989919076814194,0.012168485939387796,0.07368335725356978
REEST,FULL,momac,36,84,84,84,5,3,0.8456460747005289,0.9062014395809805,0.8004503629482685,0.9008305779699123,0.060555364880451656,0.10038021502164374,0.0026054530383883647,-0.0022215967187759387,0.028662892802859528,0.005271458416454822,0.05993524899360644
REEST,FULL,momac,36,110,110,110,0,3,0.8261332229260455,0.9102836513221632,0.7655076631799143,0.8980491679527779,0.08415042839611764,0.13254150477286364,0.0024368869187773403,-0.0024368869187773403,0.02680847725768684,0.0035654701815891476,0.0716624944171986
REEST,FULL,momac,36,110,110,110,1,3,0.8246360554186303,0.9137569437745259,0.7584624794894168,0.9041468361525479,0.0891208883558956,0.14568435666313106,0.01143164198589001,-0.01143164198589001,0.12576082699418528,0.014390806289383717,0.07790681865459469
REEST,FULL,momac,36,110,110,110,2,3,0.8252350321542146,0.9075966568956287,0.7689804401172927,0.9020750132339366,0.08236162474141417,0.13309457311664386,0.005059102428918087,-0.005059102428918087,0.055655775967645996,0.009916513197289145,0.07156837591253454
REEST,FULL,momac,36,110,110,110,3,3,0.8264994797399275,0.9115577881729148,0.8023490152570394,0.9003954461499697,0.08505830843298723,0.0980464308929303,0.009841434702007565,-0.009841434702007565,0.10826677116562852,0.0127978776570149,0.047367821771598755
REEST,FULL,momac,36,110,110,110,4,3,0.8299196793527917,0.9100304099148389,0.7562641447408203,0.8954644610840045,0.0801107305620472,0.1392003163431842,0.004621247137252464,-0.0020162637405852037,0.050838878827968656,0.006658517596306535,0.07890796358561346
REEST,FULL,momac,36,110,110,110,5,3,0.8259047456321098,0.9101382009875285,0.7504094898560729,0.9022936468526219,0.08423345535541871,0.151884156996549,0.014290279726740204,-0.014290279726740204,0.15720903424296406,0.017520125111976648,0.07227715023697788
REEST,FULL,momac,36,134,134,134,0,3,0.8232263131634573,0.9140881470139504,0.7513056186137741,0.901098319179193,0.09086183385049307,0.14979270056541893,0.00263005231677819,0.0018363888530407897,0.02893351233394553,0.00669966175472847,0.07707351580691596
REEST,FULL,momac,36,134,134,134,1,3,0.8221414559223698,0.9142096339677924,0.7603600142964375,0.9085209492066257,0.09206817804542267,0.14816093491018822,0.003197623941190164,-0.003197623941190164,0.03517743398164799,0.004405452463017601,0.08971016250954249
REEST,FULL,momac,36,134,134,134,2,3,0.8189846471377443,0.9135544829424954,0.6885202771551431,0.9112718909718011,0.09456983580475109,0.22275161381665798,0.006137659734864687,-0.006137659734864687,0.06752111070467542,0.00878761516715465,0.11730883261308174
REEST,FULL,momac,36,134,134,134,3,3,0.8216493561235715,0.9139634462350236,0.7239518315653478,0.911543880607969,0.09231409011145209,0.18759204904262117,0.003082419827114139,-0.0008400796151382858,0.033910060084073525,0.005883749163378638,0.10252151573639418
REEST,FULL,momac,36,134,134,134,4,3,0.8209858128932574,0.9139452619361619,0.7077797507938128,0.8988932857537338,0.09295944904290443,0.191113534959921,0.0029375873730450954,-0.0029375873730450954,0.03231674136207348,0.0051901242765683975,0.09198197688750188
REEST,FULL,momac,36,134,134,134,5,3,0.8226579802440835,0.914965423836292,0.7988521587728007,0.9095396655936828,0.09230744359220844,0.11068750682088213,0.013257080171941013,-0.013257080171941013,0.1458426854173142,0.016144839987523696,0.045133814723040476
REEST,IS,momac,36,48,48,48,0,1,0.802890490282611,0.8657695378654917,0.7672763549139531,0.8546685378315984,0.06287904758288076,0.08739218291764528,0.0056551084982249256,-0.0056551084982249256,0.04879087360600425,0.0056551084982249256,0.12011649574815701
REEST,IS,momac,36,48,48,48,1,1,0.8177028813042362,0.8772930510432875,0.7803500520249471,0.8624653519239289,0.05959016973905129,0.08211529989898181,0.0038460639089764603,-0.0038460639089764603,0.03318288554894874,0.0038460639089764603,0.10162689157697197
REEST,IS,momac,36,48,48,48,2,1,0.8029311754396442,0.8688417982744722,0.7308896711686855,0.8503490101497131,0.06591062283482796,0.11945933898102756,0.006095787617367399,-0.006095787617367399,0.05259294375366537,0.006095787617367399,0.14966934838836274
REEST,IS,momac,36,48,48,48,3,1,0.8232226948622394,0.8788881634695964,0.8018146658643661,0.8706901750744405,0.055665468607356994,0.06887550921007435,0.017457866586186865,-0.017457866586186865,0.1506221432010533,0.017457866586186865,0.09490246764554382
REEST,IS,momac,36,48,48,48,4,1,0.8111601361188842,0.8731674228776239,0.7599354051535667,0.8579562708951367,0.06200728675873979,0.09802086574156998,0.0023237481354230205,-0.0023237481354230205,0.02004872260244001,0.0023237481354230205,0.10652439439130607
REEST,IS,momac,36,48,48,48,5,2,0.7901637463386237,0.8600437891677998,0.7828288885241697,0.8539311958011967,0.06988004282917604,0.07110230727702704,0.014468258667491685,-0.014468258667491685,0.12482854752762786,0.01711700262920668,0.10061725884583432
REEST,IS,momac,36,64,64,64,0,3,0.7929835797237679,0.8898959663728634,0.7500805931931365,0.8813942318302623,0.09691238664909552,0.13131363863712586,0.013020105198174129,-0.013020105198174129,0.11233423854916214,0.015068487313454226,0.0906380408242521
REEST,IS,momac,36,64,64,64,1,2,0.7745612194585106,0.880119396083549,0.7240458047129901,0.8647316742326335,0.10555817662503841,0.14068586951964346,0.017587526422312982,-0.017587526422312982,0.1517408161103689,0.01832923495207317,0.10160226519293826
REEST,IS,momac,36,64,64,64,2,2,0.8099559856390202,0.8935455020086399,0.6994283908332911,0.872985572206147,0.08358951636961975,0.17355718137285592,0.0023992298838868553,-0.0023992298838868553,0.020699960408048012,0.0025889879452793974,0.15285751506158082
REEST,IS,momac,36,64,64,64,3,2,0.7908836296800229,0.8956151672341837,0.69428194094597,0.8717308540688287,0.10473153755416076,0.1774489131228587,0.0028193582722336186,0.0028193582722336186,0.02432472394716586,0.003977416805775014,0.14769743366256535
REEST,IS,momac,36,64,64,64,4,3,0.7905223125736697,0.8939949598830308,0.7457808440574895,0.881359114347417,0.10347264730936112,0.13557827028992753,0.007281025464801731,-0.005980748256166642,0.06281888195191088,0.013516145520756528,0.10867902140343048
REEST,IS,momac,36,64,64,64,5,3,0.7999452325654715,0.8957764337325115,0.7583122831603615,0.8872190095846569,0.09583120116704003,0.12890672642429546,0.010073590384080141,-0.010073590384080141,0.08691243949476656,0.013064143755517676,0.09869066475091468
REEST,IS,momac,36,84,84,84,0,3,0.786081923935889,0.9070735678204476,0.7107654723772743,0.8904563227887566,0.12099164388455852,0.17969085041148236,0.003831219329754091,-0.003831219329754091,0.03305481020100444,0.005713933846621111,0.09366787871104784
REEST,IS,momac,36,84,84,84,1,3,0.7794059870105872,0.9019244090325516,0.6746101942277254,0.8902137002718997,0.12251842202196439,0.21560350604417433,0.010789821777037023,-0.010789821777037023,0.09309190632150924,0.017772385811834823,0.1194158981533349
REEST,IS,momac,36,84,84,84,2,3,0.775246044613588,0.9032188751147081,0.7059430054657357,0.8971884053272112,0.12797283050112007,0.19124539986147548,0.02020193268233524,-0.02020193268233524,0.17429726492607803,0.025824677802536722,0.11760070921419577
REEST,IS,momac,36,84,84,84,3,3,0.7836483161201048,0.9016384460892376,0.707625168025045,0.8964216781748843,0.11799012996913283,0.18879651014983923,0.012693194631417862,-0.012693194631417862,0.1095137352558869,0.021077147056451917,0.0972415305211407
REEST,IS,momac,36,84,84,84,4,3,0.776846179502003,0.9028714927374322,0.7079649866803353,0.8963551547201128,0.1260253132354292,0.1883901680397776,0.006938216582469477,-0.00591325104273599,0.059861211934768205,0.011002597104531109,0.11390276289304499
REEST,IS,momac,36,84,84,84,5,3,0.7769819126586894,0.8980385413277369,0.7095767881329702,0.8915110936344265,0.12105662866904743,0.18193430550145628,0.013403798391583418,-0.013403798391583418,0.1156446482626085,0.016613617374720335,0.09704718245417879
REEST,IS,momac,36,110,110,110,0,3,0.7576076332748438,0.9124156049852901,0.6952597457263102,0.8974589813594128,0.15480797171044625,0.2021992356331026,0.011360609028863858,-0.009523333353287403,0.09801651717000899,0.019846306708320327,0.09010985251164444
REEST,IS,momac,36,110,110,110,1,3,0.7706369471039847,0.9136064697794671,0.7047569429055702,0.8983157111765865,0.14296952267548246,0.19355876827101626,0.009135295102807417,-0.009135295102807417,0.07881706051343355,0.015629634560937133,0.09326993841931831
REEST,IS,momac,36,110,110,110,2,3,0.7553034514608062,0.9077109119430222,0.7309929872677734,0.9009934835614397,0.15240746048221598,0.17000049629366631,0.012383840731565288,-0.012383840731565288,0.1068447065304488,0.02052379124647019,0.08317665257748513
REEST,IS,momac,36,110,110,110,3,3,0.7700382942053686,0.9117610279940441,0.6579792950790876,0.9053943703859135,0.1417227337886755,0.24741507530682594,0.012187267967409357,-0.012187267967409357,0.10514872547308705,0.0163433922938917,0.11665396676864082
REEST,IS,momac,36,110,110,110,4,3,0.76793231486467,0.9132397871735775,0.6375522851914704,0.9104339255145972,0.1453074723089075,0.2728816403231268,0.007737406711154045,-0.0030344836146859087,0.06675642615887276,0.009030710447792134,0.13884600130579502
REEST,IS,momac,36,110,110,110,5,3,0.7614222456387326,0.9102503212552094,0.6700726038634782,0.8986875334685074,0.14882807561647682,0.22861492960502916,0.006488423515091379,-0.006488423515091379,0.055980508902069494,0.010474604340341531,0.1157435187363201
REEST,IS,momac,36,134,134,134,0,3,0.7507739717360686,0.9162888863159306,0.663007682383482,0.91087747107207,0.165514914579862,0.247869788688588,0.011050494228705595,-0.011050494228705595,0.09534092358544338,0.01350555377798024,0.10180182769701611
REEST,IS,momac,36,134,134,134,1,3,0.7561463061303497,0.9156734669192527,0.6171540723642921,0.9054917998671033,0.15952716078890294,0.28833772750281117,0.011331078889361579,-0.007750889505179252,0.09776173845011783,0.023093664351459986,0.12218141090968021
REEST,IS,momac,36,134,134,134,2,3,0.752998298360987,0.9152005293978112,0.650234614553874,0.902763572996452,0.16220223103682418,0.25252895844257806,0.008650926451747957,-0.008650926451747957,0.07463804791978111,0.01292302155302738,0.10192017014902753
REEST,IS,momac,36,134,134,134,3,3,0.7595843910251197,0.9171854653855299,0.6515138345970829,0.9029415315449566,0.15760107436041026,0.2514276969478737,0.011797747502833725,-0.011797747502833725,0.10178803950923203,0.01275167030732327,0.10668500637208693
REEST,IS,momac,36,134,134,134,4,3,0.755717688013848,0.9163620702123391,0.6935028590576972,0.9120091852360707,0.1606443821984911,0.2185063261783735,0.004628420079025974,-0.004628420079025974,0.03993286055291995,0.009381810121865342,0.09453330430191588
