panel,floor_used,n_rows,n_wins,obs_win_rate,median_win,null_win_DEF,excess_win_DEF,p95_DEF,over_p95_DEF,share_wins_over_p95_DEF,over_p99_DEF,null_win_SYM,excess_win_SYM,p95_SYM,over_p95_SYM,share_wins_over_p95_SYM,over_p99_SYM
UNLABELLED,POOL,9725,2238,0.23012853470437017,0.01515632425961155,0.5562400424853956,-0.32611150778102543,0.18218179433986292,48,0.021447721179624665,13,0.44163492657581294,-0.21150639187144277,0.1773138951362318,51,0.022788203753351208,11
broad136,broad136,6711,3393,0.5055878408582923,0.05131574189099952,0.6529176658673062,-0.14732982500901382,0.1923013643912328,226,0.06660772178013558,19,0.3979974138788502,0.10759042697944216,0.1807752549045719,269,0.07928087238432066,38
u56,u56,6571,2956,0.44985542535382744,0.06448434262076647,0.23091603053435114,0.2189393948194763,0.09229235687069193,1053,0.35622462787550746,801,0.48491428947455006,-0.03505886412072262,0.1503019462076427,450,0.15223274695534506,100
small439,small439,4184,1335,0.31907265774378585,0.037951840585654595,0.7854302529028153,-0.46635759515902947,0.18309719302921396,103,0.07715355805243446,56,0.44166006339144215,-0.1225874056476563,0.2038795224242179,92,0.06891385767790262,40
OTHER:bstk100,POOL,208,59,0.28365384615384615,0.022682813170518124,0.5562400424853956,-0.27258619633154946,0.18218179433986292,0,0.0,0,0.44163492657581294,-0.1579810804219668,0.1773138951362318,0,0.0,0
OTHER:etf36,POOL,33,7,0.21212121212121213,0.13497665487837252,0.5562400424853956,-0.34411883036418345,0.18218179433986292,0,0.0,0,0.44163492657581294,-0.2295137144546008,0.1773138951362318,0,0.0,0
OTHER:k80~q0.500~s46,POOL,32,8,0.25,0.14759976271604336,0.5562400424853956,-0.3062400424853956,0.18218179433986292,0,0.0,0,0.44163492657581294,-0.19163492657581294,0.1773138951362318,0,0.0,0
OTHER:k20~q0.750~s58,POOL,32,0,0.0,,0.5562400424853956,-0.5562400424853956,0.18218179433986292,0,0.0,0,0.44163492657581294,-0.44163492657581294,0.1773138951362318,0,0.0,0
OTHER:etf24,POOL,28,4,0.14285714285714285,0.02067830680670215,0.5562400424853956,-0.41338289962825275,0.18218179433986292,0,0.0,0,0.44163492657581294,-0.2987777837186701,0.1773138951362318,0,0.0,0
OTHER:stk20,POOL,28,10,0.35714285714285715,0.05669124204673965,0.5562400424853956,-0.19909718534253845,0.18218179433986292,0,0.0,0,0.44163492657581294,-0.08449206943295579,0.1773138951362318,0,0.0,0
