gross,cadset,window,n,const,const_t,slope,slope_t,R2,slope_per_gross,pred_if_linear
0.5,W/M/Q (idea 535),IS,162,-0.008129618405562752,-0.5164406061320088,-1.0264339542048344,-6.322313446200168,0.19988657316823555,-2.052867908409669,-1.0481333333333334
0.5,W/M/Q (idea 535),OOS,162,-0.00876150401704809,-0.5672745466964257,-2.4940112133951233,-15.656973873708925,0.6050755988931666,-4.988022426790247,-1.0481333333333334
0.5,D only,IS,54,0.011493050972285384,0.4041792959294953,-1.6732371959964167,-5.576716614744883,0.3742461486280434,-3.3464743919928335,-1.0481333333333334
0.5,D only,OOS,54,-0.033943544474664786,-1.4378916550420267,-0.6293010181628749,-2.526444385573831,0.10932856901559462,-1.2586020363257497,-1.0481333333333334
0.5,D/W/M/Q (all),IS,216,-0.0033133462622435945,-0.23908019214385043,-1.1828481241252324,-8.229331030983529,0.24038561364758737,-2.365696248250465,-1.0481333333333334
0.5,D/W/M/Q (all),OOS,216,-0.014663152460206438,-1.01790454172841,-2.0452509188526613,-13.689420801613732,0.46686629037451444,-4.090501837705323,-1.0481333333333334
0.75,W/M/Q (idea 535),IS,162,-0.020929677840099283,-0.866771261565756,-1.5722411793082711,-6.31681965927951,0.19960865108257653,-2.096321572411028,-1.5721999999999998
0.75,W/M/Q (idea 535),OOS,162,-0.01756963031061946,-0.7560687740226465,-3.752878090403238,-15.667528258745108,0.6053976099674165,-5.003837453870984,-1.5721999999999998
0.75,D only,IS,54,0.018337594339057864,0.42037831704843326,-2.519714991237473,-5.474339172472902,0.3656091037493573,-3.3596199883166307,-1.5721999999999998
0.75,D only,OOS,54,-0.050677680998694775,-1.4527325443042176,-0.8590314576717083,-2.333782267942102,0.09481057875816312,-1.1453752768956111,-1.5721999999999998
0.75,D/W/M/Q (all),IS,216,-0.01097412325484372,-0.517043548967642,-1.8039155104253788,-8.198157447140813,0.23900230001559464,-2.405220680567172,-1.5721999999999998
0.75,D/W/M/Q (all),OOS,216,-0.02576521882514413,-1.1807881410991101,-3.0532944373673367,-13.497384063072174,0.45984063616417914,-4.071059249823116,-1.5721999999999998
1.0,W/M/Q (idea 535),IS,162,-0.040490509355822754,-1.226804365828175,-2.1435297233315675,-6.30589501326991,0.19905613538532752,-2.1435297233315675,-2.0962666666666667
1.0,W/M/Q (idea 535),OOS,162,-0.031187672005330336,-0.9971920820116114,-5.026631372813645,-15.605153818372848,0.603490105561726,-5.026631372813645,-2.0962666666666667
1.0,D only,IS,54,0.025997544479301967,0.43711856283097505,-3.3706752624485965,-5.371136247334735,0.3568265194110417,-3.3706752624485965,-2.0962666666666667
1.0,D only,OOS,54,-0.06705822948656195,-1.465455417247242,-1.0239153559556218,-2.1206398573470713,0.07959899424180683,-1.0239153559556218,-2.0962666666666667
1.0,D/W/M/Q (all),IS,216,-0.023263402595923098,-0.8033980290403836,-2.4478648662616647,-8.159419121668874,0.2372836302227611,-2.4478648662616647,-2.0962666666666667
1.0,D/W/M/Q (all),OOS,216,-0.040777616264534425,-1.3796046437114404,-4.055213096641282,-13.242219161921417,0.45037498444785307,-4.055213096641282,-2.0962666666666667
