timing,panel,anchor,ladder,fold,pick_CH_ISSHARPE,oos_CH_ISSHARPE,pick_CH_ISCAGR,oos_CH_ISCAGR,pick_CH_ISDD,oos_CH_ISDD
T_LAG1,SMALL,B,CADENCE,2018,"(12, 63, 0.55, 'W')",-0.341882103345425,"(12, 63, 0.55, 'W')",-0.341882103345425,"(12, 63, 0.55, 'M')",-0.2622911884066871
T_LAG1,SMALL,B,N,2019,"(8, 63, 0.55, 'M')",2.1285205271418435,"(8, 63, 0.55, 'M')",2.1285205271418435,"(25, 63, 0.55, 'M')",2.0341110625851373
T_LAG1,SMALL,B,H,2019,"(12, 21, 0.55, 'M')",2.1775342722072906,"(12, 21, 0.55, 'M')",2.1775342722072906,"(12, 63, 0.55, 'M')",2.4115199297576257
T_LAG1,SMALL,B,GROSS,2019,"(12, 63, 0.75, 'M')",2.4122724055796994,"(12, 63, 0.75, 'M')",2.4122724055796994,"(12, 63, 0.3, 'M')",2.410529028947591
T_LAG1,SMALL,B,CADENCE,2019,"(12, 63, 0.55, 'W')",1.7316046913649334,"(12, 63, 0.55, 'W')",1.7316046913649334,"(12, 63, 0.55, 'M')",2.4115199297576257
T_LAG1,SMALL,B,N,2020,"(8, 63, 0.55, 'M')",0.9103210927921715,"(8, 63, 0.55, 'M')",0.9103210927921715,"(25, 63, 0.55, 'M')",0.7149398794822386
T_LAG1,SMALL,B,H,2020,"(12, 21, 0.55, 'M')",1.2853545710254775,"(12, 21, 0.55, 'M')",1.2853545710254775,"(12, 63, 0.55, 'M')",1.2495684806813234
T_LAG1,SMALL,B,GROSS,2020,"(12, 63, 0.75, 'M')",1.2219793491542101,"(12, 63, 0.75, 'M')",1.2219793491542101,"(12, 63, 0.3, 'M')",1.2863661617153446
T_LAG1,SMALL,B,CADENCE,2020,"(12, 63, 0.55, 'M')",1.2495684806813234,"(12, 63, 0.55, 'M')",1.2495684806813234,"(12, 63, 0.55, 'M')",1.2495684806813234
T_LAG1,SMALL,B,N,2021,"(8, 63, 0.55, 'M')",0.765305208952512,"(8, 63, 0.55, 'M')",0.765305208952512,"(40, 63, 0.55, 'M')",1.480751266996349
T_LAG1,SMALL,B,H,2021,"(12, 21, 0.55, 'M')",0.8952992819399063,"(12, 21, 0.55, 'M')",0.8952992819399063,"(12, 21, 0.55, 'M')",0.8952992819399063
T_LAG1,SMALL,B,GROSS,2021,"(12, 63, 0.3, 'M')",0.7827024989301179,"(12, 63, 0.75, 'M')",0.8335381872454789,"(12, 63, 0.3, 'M')",0.7827024989301179
T_LAG1,SMALL,B,CADENCE,2021,"(12, 63, 0.55, 'M')",0.8110421335428712,"(12, 63, 0.55, 'M')",0.8110421335428712,"(12, 63, 0.55, 'M')",0.8110421335428712
T_LAG1,SMALL,B,N,2022,"(15, 63, 0.55, 'M')",-0.9676991858846222,"(8, 63, 0.55, 'M')",-0.6629750421617944,"(40, 63, 0.55, 'M')",-1.058753249064145
T_LAG1,SMALL,B,H,2022,"(12, 21, 0.55, 'M')",-0.2496061174722093,"(12, 21, 0.55, 'M')",-0.2496061174722093,"(12, 21, 0.55, 'M')",-0.2496061174722093
T_LAG1,SMALL,B,GROSS,2022,"(12, 63, 0.6, 'M')",-0.7713817256992049,"(12, 63, 0.75, 'M')",-0.7695724345343219,"(12, 63, 0.3, 'M')",-0.774594992517917
T_LAG1,SMALL,B,CADENCE,2022,"(12, 63, 0.55, 'W')",-0.9524955954998507,"(12, 63, 0.55, 'W')",-0.9524955954998507,"(12, 63, 0.55, 'M')",-0.7719516601345283
T_LAG1,SMALL,B,N,2023,"(8, 63, 0.55, 'M')",0.16451870964835852,"(8, 63, 0.55, 'M')",0.16451870964835852,"(40, 63, 0.55, 'M')",0.03967368100042079
T_LAG1,SMALL,B,H,2023,"(12, 21, 0.55, 'M')",0.6264875921658766,"(12, 21, 0.55, 'M')",0.6264875921658766,"(12, 21, 0.55, 'M')",0.6264875921658766
T_LAG1,SMALL,B,GROSS,2023,"(12, 63, 0.75, 'M')",0.30013529030267877,"(12, 63, 0.75, 'M')",0.30013529030267877,"(12, 63, 0.3, 'M')",0.2779857303922316
T_LAG1,SMALL,B,CADENCE,2023,"(12, 63, 0.55, 'W')",0.21545397499960867,"(12, 63, 0.55, 'W')",0.21545397499960867,"(12, 63, 0.55, 'M')",0.2902608886673411
T_LAG1,SMALL,B,N,2024,"(15, 63, 0.55, 'M')",-0.03982781720530946,"(8, 63, 0.55, 'M')",0.12417287730350927,"(40, 63, 0.55, 'M')",0.39321925392942186
T_LAG1,SMALL,B,H,2024,"(12, 21, 0.55, 'M')",0.7091882786548532,"(12, 21, 0.55, 'M')",0.7091882786548532,"(12, 21, 0.55, 'M')",0.7091882786548532
T_LAG1,SMALL,B,GROSS,2024,"(12, 63, 0.75, 'M')",0.48937633641099976,"(12, 63, 0.75, 'M')",0.48937633641099976,"(12, 63, 0.3, 'M')",0.5006089144132225
T_LAG1,SMALL,B,CADENCE,2024,"(12, 63, 0.55, 'W')",-0.1506657582708649,"(12, 63, 0.55, 'W')",-0.1506657582708649,"(12, 63, 0.55, 'M')",0.4942761421564413
T_LAG1,SMALL,B,N,2025,"(12, 63, 0.55, 'M')",-0.10491422714344179,"(8, 63, 0.55, 'M')",0.18211012751700198,"(40, 63, 0.55, 'M')",-0.027692615268059405
T_LAG1,SMALL,B,H,2025,"(12, 21, 0.55, 'M')",-0.011973201969801383,"(12, 21, 0.55, 'M')",-0.011973201969801383,"(12, 21, 0.55, 'M')",-0.011973201969801383
T_LAG1,SMALL,B,GROSS,2025,"(12, 63, 0.75, 'M')",-0.09005358606360415,"(12, 63, 0.75, 'M')",-0.09005358606360415,"(12, 63, 0.3, 'M')",-0.12244321122090877
T_LAG1,SMALL,B,CADENCE,2025,"(12, 63, 0.55, 'M')",-0.10491422714344179,"(12, 63, 0.55, 'W')",0.6528063004811804,"(12, 63, 0.55, 'M')",-0.10491422714344179
