panel,floor90_pp,floor95_pp,peak,runner_up,peak_minus_runnerup_pp,peak_above_floor,collapse_pp,collapse_above_floor,collapse_sign_agreement,P_argmax_equals_full,width90_rungs,width90_set,pairs,pairs_unresolved90,largest_unresolved_gap_pp
U56,3.2528337376833143,4.659783017592156,12,10,0.6147480896236512,False,6.406647672996213,True,0.999,0.378,4,5;8;10;12,36,15,2.997786824173443
U56_2010,3.057572711344292,3.154449452616348,8,5,0.11595544328780694,False,6.208622302395828,True,0.997,0.344,4,5;8;10;12,36,21,3.0541728497794796
SMALL_F10,inf,inf,20,15,0.4665335539944526,False,1.959540786898406,False,0.892,0.224,7,5;8;10;12;15;20;25,36,36,5.391982488258284
SMALL_RAW,4.7719211477304295,5.873907482737707,25,15,0.3139031047609042,False,2.4682410831270984,False,0.98,0.613,3,15;20;25,36,20,4.607275846878256
