check,value,ok
R0_rules_v1_u56_10bps,6.45851%/0.66471/-13.82781%,False
R1_identity_u56,9.095e-12,True
R1_identity_broad,3.183e-12,True
R1_identity_small,4.263e-13,True
R2_fast_vs_engine,1.041e-17,True
R3_cost_identity,1.041e-17,True
