SET,BAR,mean_size,min_size,max_size,frac_lt2
NG,A_NONE,3.0,3,3,0.0
NG,A_POS,3.0,3,3,0.0
NG,A_MED,0.8333333333333334,0,3,0.7619047619047619
NG,A_90,0.11904761904761904,0,1,1.0
NG,A_95,0.0,0,0,1.0
NG,A_99,0.0,0,0,1.0
NG_D,A_NONE,4.0,4,4,0.0
NG_D,A_POS,3.0,3,3,0.0
NG_D,A_MED,0.8333333333333334,0,3,0.7619047619047619
NG_D,A_90,0.11904761904761904,0,1,1.0
NG_D,A_95,0.0,0,0,1.0
NG_D,A_99,0.0,0,0,1.0
ALL4,A_NONE,4.0,4,4,0.0
ALL4,A_POS,4.0,4,4,0.0
ALL4,A_MED,1.5476190476190477,0,3,0.5
ALL4,A_90,0.2619047619047619,0,1,1.0
ALL4,A_95,0.07142857142857142,0,1,1.0
ALL4,A_99,0.023809523809523808,0,1,1.0
ALL4_D,A_NONE,5.0,5,5,0.0
ALL4_D,A_POS,4.0,4,4,0.0
ALL4_D,A_MED,1.5476190476190477,0,3,0.5
ALL4_D,A_90,0.2619047619047619,0,1,1.0
ALL4_D,A_95,0.07142857142857142,0,1,1.0
ALL4_D,A_99,0.023809523809523808,0,1,1.0
