panel,cadence,claim_set,book,gross_nom,cost,mean_gross,turn_per_yr,drag_bps,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,IS_CAGR,IS_MaxDD,IS_H1,IS_H2,pass4b,pass4a,fail4b
U56,W,CORE,TOP5,0.75,0.0,0.7407266811279827,17.680869292618343,0.0,0.18605356260736206,1.0505622623923352,-0.2050667959804663,1.0111112994142348,1.090793015289706,0.2058311222035587,1.0893447430360168,-0.20506679598046562,1.0024572697031569,0.162474223524822,-0.17661940755768757,0.8008578171451012,1.201515576791498,False,False,L4_DD
U56,W,CORE,TOP5,0.75,2.0,0.7407266811279827,17.680869292618343,35.36173858523669,0.18187199165501422,1.0307065292980242,-0.2072242231624829,0.9893683218442181,1.0724006010578429,0.20155770275883977,1.0705272587688988,-0.20722422316248346,0.9810364414553104,0.15840167874012923,-0.1777997665542872,0.7772304739383531,1.182241495251208,False,False,L4_DD
U56,W,CORE,TOP5,0.75,5.0,0.7407266811279827,17.680869292618343,88.40434646309171,0.17562648517917356,1.0008998075834354,-0.2104498136069597,0.9567286315521729,1.044790503664513,0.19517515902842475,1.0422788668086236,-0.2104498136069587,0.9488807176681842,0.15231884284035502,-0.1795673446873789,0.7417592788431555,1.1533115571947545,False,False,L1_H1+L4_DD
U56,W,CORE,TOP5,0.75,10.0,0.7407266811279827,17.680869292618343,176.80869292618343,0.16528851099111397,0.9511650341141642,-0.2157977808392051,0.9022681438891311,0.9987201741532206,0.1846107376424957,0.9951431319105256,-0.21579778083920342,0.895228568131074,0.14224968515834457,-0.1825054302938407,0.6825679397414737,1.1050492703645451,False,False,L1_H1+L4_DD
U56,W,CORE,TOP5,0.75,25.0,0.7407266811279827,17.680869292618343,442.02173231545856,0.13480184032545406,0.8016164188068923,-0.23163356566005888,0.7385376839311826,0.8601733390477,0.1534591143763675,0.8533926903798854,-0.23163356566005933,0.7339316912861148,0.11255246724366441,-0.191260883514611,0.5045842929007281,0.9599965220328244,False,False,L1_H1+L3_OOS+L4_DD
U56,W,CORE,TOP5,0.75,50.0,0.7407266811279827,17.680869292618343,884.0434646309171,0.08570490695909783,0.5517624738649867,-0.2601812418441015,0.46520123895924037,0.6285723653587215,0.10330047018195043,0.616457001838438,-0.26018124184410196,0.464651097480397,0.06471630080033108,-0.2110939616071048,0.20746923562237995,0.7178590120521903,False,False,L1_H1+L2_H2+L3_OOS+L4_DD+L5_CAGR
U56,W,CORE,TOP10,0.75,0.0,0.7369848156182213,13.898235357782895,0.0,0.1435655576141759,1.0224088421294495,-0.1747359903862773,1.0235499183112111,1.0278882827077922,0.15875090767684386,1.0633060212358794,-0.1747359903862774,0.971013857475865,0.1253940183786333,-0.1283588445018483,0.6606748494678174,1.3084657653583451,True,False,-
U56,W,CORE,TOP10,0.75,2.0,0.7369848156182213,13.898235357782895,27.79647071556579,0.1403948679689031,1.0027841113527023,-0.17486520175843556,1.0022092227407207,1.0095962441304123,0.1555253706374422,1.0446739230677302,-0.17486520175843578,0.9499093294389997,0.12228874085948083,-0.1304947242748088,0.6388981050530596,1.2879806532738085,True,False,-
U56,W,CORE,TOP10,0.75,5.0,0.7369848156182213,13.898235357782895,69.49117678891447,0.13565489737383918,0.9733253445692993,-0.17505899961426452,0.9701714949784118,0.9821399431381536,0.15070348108964304,1.016706183009023,-0.17505899961426452,0.9182275917812481,0.11764647015945195,-0.1344817210670648,0.6062058855806833,1.2572309262151449,True,False,-
U56,W,CORE,TOP10,0.75,10.0,0.7369848156182213,13.898235357782895,138.98235357782895,0.12779759550158154,0.9241736046175931,-0.1753819448348447,0.9167093708714055,0.9363339570475294,0.14271058156461325,0.9700443602124565,-0.1753819448348447,0.8653633060331862,0.10995089202556985,-0.14108700831483645,0.5516520908582084,1.2059272933908345,False,False,L1_H1
