frame,gross,cost_bps,chooser,pick_L,pick_band,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover_yr,live_cell_OOS_Sharpe,d_vs_live_cell,beats_SPY_OOS,beats_liveBook_OOS,beats_CAND_OOS,SPY_OOS_Sharpe,CAND_OOS_Sharpe,full_pass4b
U56,0.75,0.0,C_ISSHARPE,100,0.06,0.08116352046064956,0.9291807673102834,-0.12926063592392556,1.806407259118236,0.874910587711311,0.0542701795989724,True,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,0.0,C_ISCALMAR,100,0.06,0.08116352046064956,0.9291807673102834,-0.12926063592392556,1.806407259118236,0.874910587711311,0.0542701795989724,True,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,10.0,C_ISSHARPE,100,0.06,0.07878501035867314,0.9043147753941603,-0.13193969768443004,1.806407259118236,0.8543538627350521,0.04996091265910818,True,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,10.0,C_ISCALMAR,100,0.06,0.07878501035867314,0.9043147753941603,-0.13193969768443004,1.806407259118236,0.8543538627350521,0.04996091265910818,True,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,25.0,C_ISSHARPE,100,0.06,0.07522100302626678,0.8663800487455825,-0.1359502023640624,1.806407259118236,0.8230936623689692,0.043286386376613306,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,25.0,C_ISCALMAR,100,0.06,0.07522100302626678,0.8663800487455825,-0.1359502023640624,1.806407259118236,0.8230936623689692,0.043286386376613306,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,50.0,C_ISSHARPE,100,0.06,0.06929101313050134,0.8017107556802262,-0.14261281616807397,1.806407259118236,0.7700062822732037,0.03170447340702254,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,0.75,50.0,C_ISCALMAR,100,0.06,0.06929101313050134,0.8017107556802262,-0.14261281616807397,1.806407259118236,0.7700062822732037,0.03170447340702254,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,0.0,C_ISSHARPE,100,0.06,0.1013565866568138,0.8798411887388385,-0.1647244957535049,2.1519101123595505,0.8307179567539901,0.04912323198484847,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,0.0,C_ISCALMAR,100,0.06,0.1013565866568138,0.8798411887388385,-0.1647244957535049,2.1519101123595505,0.8307179567539901,0.04912323198484847,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,10.0,C_ISSHARPE,100,0.06,0.09840969675972366,0.857145363755535,-0.16804302598904364,2.1519101123595505,0.8123001240034642,0.044845239752070776,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,10.0,C_ISCALMAR,100,0.06,0.09840969675972366,0.857145363755535,-0.16804302598904364,2.1519101123595505,0.8123001240034642,0.044845239752070776,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,25.0,C_ISSHARPE,100,0.06,0.0939931293243359,0.822496694401061,-0.17300843679016376,2.1519101123595505,0.7842724650180086,0.038224229383052366,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,25.0,C_ISCALMAR,100,0.06,0.0939931293243359,0.822496694401061,-0.17300843679016376,2.1519101123595505,0.7842724650180086,0.038224229383052366,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,50.0,C_ISSHARPE,100,0.06,0.08664225217117116,0.7633666885890377,-0.1812510959861997,2.1519101123595505,0.7366227826004669,0.026743905988570793,False,False,False,0.8831406547160487,1.3318413815124672,False
U56,1.0,50.0,C_ISCALMAR,100,0.06,0.08664225217117116,0.7633666885890377,-0.1812510959861997,2.1519101123595505,0.7366227826004669,0.026743905988570793,False,False,False,0.8831406547160487,1.3318413815124672,False
B136,0.75,0.0,C_ISSHARPE,100,0.06,0.07973358843810474,0.9145171696694463,-0.12924035958176971,1.8072012638336898,0.8618656915206351,0.052651478148811215,True,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,0.0,C_ISCALMAR,100,0.06,0.07973358843810474,0.9145171696694463,-0.12924035958176971,1.8072012638336898,0.8618656915206351,0.052651478148811215,True,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,10.0,C_ISSHARPE,100,0.06,0.07735634661808377,0.8896242585143037,-0.13191954955970508,1.8072012638336898,0.8412888071990196,0.04833545131528416,True,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,10.0,C_ISCALMAR,100,0.06,0.07735634661808377,0.8896242585143037,-0.13191954955970508,1.8072012638336898,0.8412888071990196,0.04833545131528416,True,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,25.0,C_ISSHARPE,100,0.06,0.07379424748125674,0.8516580777578087,-0.13593024575817347,1.8072012638336898,0.8100044358888224,0.041653641868986235,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,25.0,C_ISCALMAR,100,0.06,0.07379424748125674,0.8516580777578087,-0.13593024575817347,1.8072012638336898,0.8100044358888224,0.041653641868986235,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,50.0,C_ISSHARPE,100,0.06,0.06786745329417987,0.7869605506106583,-0.14259317661270599,1.8072012638336898,0.7568931557109525,0.03006739489970578,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,0.75,50.0,C_ISCALMAR,100,0.06,0.06786745329417987,0.7869605506106583,-0.14259317661270599,1.8072012638336898,0.7568931557109525,0.03006739489970578,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,0.0,C_ISSHARPE,100,0.06,0.09944806802494233,0.865450313821659,-0.16473679079058845,2.1528776978417263,0.8180048762507921,0.047445437570866944,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,0.0,C_ISCALMAR,100,0.06,0.09944806802494233,0.865450313821659,-0.16473679079058845,2.1528776978417263,0.8180048762507921,0.047445437570866944,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,10.0,C_ISSHARPE,100,0.06,0.09650392064804914,0.8427269230602467,-0.16805526777836244,2.1528776978417263,0.7995677815018493,0.043159141558397396,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,10.0,C_ISCALMAR,100,0.06,0.09650392064804914,0.8427269230602467,-0.16805526777836244,2.1528776978417263,0.7995677815018493,0.043159141558397396,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,25.0,C_ISSHARPE,100,0.06,0.09209147555524577,0.8080459244408976,-0.17302059892320865,2.1528776978417263,0.771517083137933,0.03652884130296463,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,25.0,C_ISCALMAR,100,0.06,0.09209147555524577,0.8080459244408976,-0.17302059892320865,2.1528776978417263,0.771517083137933,0.03652884130296463,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,50.0,C_ISSHARPE,100,0.06,0.08474749181878893,0.7488865041408876,-0.18126312593311777,2.1528776978417263,0.7238448089312168,0.02504169520967081,False,False,False,0.8736721309012504,1.0935817708519635,False
B136,1.0,50.0,C_ISCALMAR,100,0.06,0.08474749181878893,0.7488865041408876,-0.18126312593311777,2.1528776978417263,0.7238448089312168,0.02504169520967081,False,False,False,0.8736721309012504,1.0935817708519635,False
