panel,cadence,cost_bps,n,spearman,pearson,r2,slope,resid_sd,cagr_sd,beta_lo,beta_hi
B136,M,0,12,0.9930069930069931,0.9978849205498382,0.9957743146607569,0.23733529090598718,0.0025965150974758397,0.03994314664804549,0.12199645849697996,0.6426216630024085
B136,M,10,12,1.0,0.9997057537617856,0.9994115941044199,0.22158088772045087,0.000902717991566473,0.037214620146641536,0.1219861385244587,0.6424008199147604
B136,M,25,12,1.0,0.9874187444617626,0.9749957769144436,0.19826398725761063,0.0053289580977466675,0.03370044401198399,0.12197065856567677,0.6420695552832882
B136,M,50,12,0.9160839160839163,0.9011778008495434,0.8121214287440193,0.16022897090325597,0.012926926874869911,0.029823366640756573,0.12194485863437358,0.6415174475641682
B136,W,0,12,1.0,0.9994967957649071,0.9989938447443165,0.23937178470585874,0.0011529238131899218,0.03634696137070134,0.11053291041343562,0.5848730215465833
B136,W,10,12,1.0,0.9723269901276002,0.9454197757305982,0.20372237401580148,0.007430504440827192,0.0318053837642304,0.11055488022106759,0.5849997390712445
B136,W,25,12,0.8531468531468532,0.8008005134021753,0.6412814622651876,0.1518005219239851,0.01724037020275175,0.02878522821065082,0.11058783493251555,0.5851898153582358
B136,W,50,12,0.3706293706293707,0.30410241611742206,0.09247827948845372,0.06925263421524372,0.032961711850071566,0.034600409949057324,0.11064275945159552,0.585506609169888
SMALL,M,0,12,0.9790209790209792,0.9983349378525259,0.9966726481370067,0.18162702814684822,0.0014898914975561772,0.025828862306910654,0.09321544107533611,0.5584206557366738
SMALL,M,10,12,0.9930069930069931,0.9924424256275042,0.9849419681854041,0.1527267914855713,0.0026801857548615572,0.021841415936069374,0.09320797750302227,0.5582367741352126
SMALL,M,25,12,0.8881118881118882,0.8847571357340551,0.7827951892323293,0.1101550940204025,0.008231724597692343,0.017662660127948576,0.09319678214455161,0.5579609517330205
SMALL,M,50,12,0.4685314685314686,0.3191053218277359,0.10182820641878289,0.04123532685774646,0.017360619879350562,0.01831831496233568,0.09317812321376709,0.5575012477293679
SMALL,W,0,12,0.9790209790209792,0.9782926576412708,0.9570565239948208,0.21524272718232743,0.00570560408615482,0.027532968319616814,0.08402330732591691,0.49160706000755583
SMALL,W,10,12,0.9790209790209792,0.9843769186083144,0.9689979178888001,0.14644262926968596,0.0032796777619268085,0.018626692454777938,0.08403294795240711,0.4919022786470033
SMALL,W,25,12,0.4685314685314686,0.35044829791259013,0.12281400950983153,0.04745947555939563,0.015893841981762347,0.01697004708937979,0.0840474088921424,0.4923451066061748
SMALL,W,50,12,0.027972027972027972,-0.3507224469733212,0.12300623481095412,-0.10684820348603839,0.03579946837724745,0.03822771367475825,0.08407151045836798,0.4930831532047937
U56,M,0,12,0.9580419580419581,0.9981808808571921,0.99636507090884,0.24727588957663363,0.002462076995210586,0.04083698387864843,0.11504316543317607,0.6398426656055339
U56,M,10,12,0.9580419580419581,0.9964805385651238,0.992973463739039,0.23738445405406552,0.0032912270064782904,0.03926333559731237,0.11503531595178093,0.6396939425709469
U56,M,25,12,0.9580419580419581,0.9906697536943118,0.9814265608847483,0.22265406443660749,0.005047026356046881,0.03703304385168324,0.11502354172968822,0.6394708580190663
U56,M,50,12,0.9580419580419581,0.969052381564685,0.9390625182161878,0.19838579077728324,0.008323383867752995,0.03371767908054243,0.11500391802620034,0.6390990504325981
U56,W,0,12,0.9580419580419581,0.9960054624150658,0.9920268811606491,0.2600976309095382,0.003420789569798435,0.03831000782491414,0.10431604287368551,0.5696409449763566
U56,W,10,12,0.9580419580419581,0.9839354411798888,0.9681289524098625,0.2365346730166,0.006297811581986546,0.03527698771603005,0.10434184223292856,0.5698076163663517
U56,W,25,12,0.8671328671328673,0.9334766672270525,0.8713786882573252,0.20180297402718395,0.011382361228863784,0.031737732616681745,0.10438054127179308,0.5700576234513446
U56,W,50,12,0.7902097902097903,0.730735493799877,0.5339743618989501,0.14551519708432198,0.019971876447034517,0.029255933880223736,0.1044450396699007,0.5704743019263329
