panel,book,gross,cadence,kind,draws,distinct,degenerate,med_null_OOS_Sharpe,L_H1,L_H2,L_OOS,L_DD,L_CAGR,I_H1,I_H2,I_DD,I_CAGR
U56,TOP5,0.5,W,RANDROT,200,200,False,0.4449849436513499,0.0,0.015,0.0,0.845,0.0,0.015,0.01,0.545,0.0
U56,TOP5,0.75,W,RANDROT,200,200,False,0.4451442726693109,0.0,0.015,0.0,0.14,0.0,0.015,0.01,0.03,0.0
U56,TOP5,1.0,W,RANDROT,200,200,False,0.4453557027456536,0.0,0.015,0.0,0.0,0.01,0.015,0.01,0.0,0.015
U56,TOP5,0.5,W,RANDFIX,200,200,False,0.9015232245753375,0.385,0.545,0.565,0.995,0.025,0.35,0.33,0.9,0.03
U56,TOP5,0.75,W,RANDFIX,200,200,False,0.9007023369936584,0.385,0.545,0.565,0.595,0.35,0.35,0.335,0.4,0.27
U56,TOP5,1.0,W,RANDFIX,200,200,False,0.8997153522222902,0.375,0.55,0.565,0.13,0.74,0.345,0.335,0.055,0.56
U56,TOP5,0.5,W,RANDROT_FREE,200,200,False,0.4225108446934196,0.0,0.015,0.015,0.49,0.0,0.025,0.01,0.235,0.0
U56,TOP5,0.75,W,RANDROT_FREE,200,200,False,0.42438866525007046,0.0,0.015,0.015,0.005,0.005,0.025,0.01,0.0,0.005
U56,TOP5,1.0,W,RANDROT_FREE,200,200,False,0.4250048725142168,0.0,0.015,0.015,0.0,0.025,0.025,0.015,0.0,0.085
U56,TOP5,0.5,M,RANDROT,200,200,False,0.9292666454425227,0.255,0.6,0.63,1.0,0.0,0.345,0.165,0.94,0.0
U56,TOP5,0.75,M,RANDROT,200,200,False,0.9302566841766038,0.26,0.6,0.63,0.55,0.4,0.35,0.16,0.25,0.215
U56,TOP5,1.0,M,RANDROT,200,200,False,0.9327535887999886,0.275,0.6,0.63,0.03,0.91,0.355,0.16,0.005,0.64
U56,TOP5,0.5,M,RANDFIX,200,200,False,1.0240345101094364,0.525,0.715,0.765,1.0,0.035,0.44,0.36,0.94,0.015
U56,TOP5,0.75,M,RANDFIX,200,200,False,1.0260791768145645,0.53,0.715,0.77,0.58,0.64,0.45,0.365,0.305,0.455
