sel,panel,book,cost,ctl_OOS_Sharpe,spy_OOS_Sharpe,spy_OOS_CAGR,spy_OOS_MaxDD,v1_OOS_Sharpe,v1_OOS_CAGR,v1_OOS_MaxDD,pick,n_admitted,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,beat_spy,beat_v1,beat_ctl,oos_best
S0 none,u56,V1u,10.0,0.7135835570891119,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,control,17,0.07167644913632909,0.7135835570891119,-0.15672092223908363,False,False,False,False
S1 CAGR floor,u56,V1u,10.0,0.7135835570891119,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,(none),0,,,,,,,
S2 no adequacy bar,u56,V1u,10.0,0.7135835570891119,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,(none),0,,,,,,,
S3 gross level 0.50,u56,V1u,10.0,0.7135835570891119,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,(none),0,,,,,,,
S4 cv bar 0.020,u56,V1u,10.0,0.7135835570891119,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,(none),0,,,,,,,
S0 none,u56,V1u,25.0,0.3592038657013107,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,ebud-0.10,17,0.009515797736436848,0.21069454724710715,-0.11081637294244429,False,False,False,False
S1 CAGR floor,u56,V1u,25.0,0.3592038657013107,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,(none),0,,,,,,,
S2 no adequacy bar,u56,V1u,25.0,0.3592038657013107,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,(none),0,,,,,,,
S3 gross level 0.50,u56,V1u,25.0,0.3592038657013107,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,(none),0,,,,,,,
S4 cv bar 0.020,u56,V1u,25.0,0.3592038657013107,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.39920030769495,0.037834702288707334,-0.14177187688535975,(none),0,,,,,,,
S0 none,u56,TOP20,10.0,1.1676752607259366,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,control,17,0.16638958865609776,1.1676752607259366,-0.22210408719864583,True,True,False,False
S1 CAGR floor,u56,TOP20,10.0,1.1676752607259366,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,control,8,0.16638958865609776,1.1676752607259366,-0.22210408719864583,True,True,False,False
S2 no adequacy bar,u56,TOP20,10.0,1.1676752607259366,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,control,8,0.16638958865609776,1.1676752607259366,-0.22210408719864583,True,True,False,False
S3 gross level 0.50,u56,TOP20,10.0,1.1676752607259366,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,control,8,0.16638958865609776,1.1676752607259366,-0.22210408719864583,True,True,False,False
S4 cv bar 0.020,u56,TOP20,10.0,1.1676752607259366,0.8820107671822842,0.15450717694493266,-0.33717235283398284,0.747063834691694,0.07730300522922962,-0.13827796154480798,ebud-0.20,5,0.16612128351673006,1.1667186017352318,-0.22258129052697195,True,True,False,False
