ceil,d_Sharpe_vs_none,n_better_none,d_Sharpe_vs_pin,n_better_pin,d_CAGR_vs_pin,d_MaxDD_vs_pin,n_picks_moved
0.75,0.015783012839448957,9,-0.00610819606797647,7,-0.02678463678406766,-0.05975879302713554,18
0.8,0.013101883455972609,8,-0.008789325451452822,7,-0.025098349753342082,-0.055049886748448636,18
0.85,0.03307936029236939,9,0.011188151384943964,10,-0.01801601751014995,-0.04796036762740305,18
0.9,0.03202700469204703,9,0.010135795784621598,10,-0.015691750211355635,-0.042977006064618836,18
0.95,0.02532910400744705,9,0.003437895100021628,10,-0.012649123981360706,-0.03728469187530567,18
1.0,0.028225186580733967,9,0.0063339776733085384,3,-0.011629470138558454,-0.030370907218367868,7
1.05,0.033542222356241665,8,0.011651013448816236,6,-0.009492629789087721,-0.03175798273252716,17
1.1,0.03155133237302902,8,0.009660123465603595,5,-0.0037394390375294164,-0.02104339636636153,17
1.15,0.032614346324399385,7,0.010723137416973954,6,-0.0026173288723100197,-0.019359543874220914,17
1.2,0.036475995242302515,8,0.014584786334877087,7,-0.003466501148133763,-0.022547217790658533,17
1.25,0.03431331003026206,7,0.012422101122836635,6,-0.0025990514442858987,-0.019628444404749763,17
1.3,0.031608328264841584,6,0.009717119357416159,6,-0.0019034647080981263,-0.01687370923361664,18
1.3333,0.03188341688507599,5,0.009992207977650564,7,-0.0015252158901919073,-0.01584534089759187,18
