panel,key,n,p,p_over_n,readable,survive_lo,survive_mid,survive_hi,survive_range,t_range,KILL_stable,SIGN_stable,SIG_stable,ALL_stable
U56,mean_vol,50,2,0.04,True,1.150566095587339,1.1410485732210756,1.0191240466153806,0.13144204897195833,0.1385736467356944,True,True,True,True
U56,mean_vol,50,5,0.1,True,2.080121993176445,2.003804100626829,1.1075884803289535,0.9725335128474917,0.911988922186358,True,True,True,True
U56,mean_vol,50,10,0.2,True,0.00025978286931358,0.010013904931624877,0.8348479925513963,0.8345882096820827,1.787693621647824,False,True,True,False
U56,mean_vol,50,20,0.4,True,0.009956374816414324,0.06325340099531968,0.8720955347048726,0.8621391598884582,1.6695377836866263,False,True,True,False
U56,mean_vol,50,40,0.8,True,0.23232551986139022,0.1932127763236902,0.8670818063829728,0.6738690300592827,1.0033165050943933,False,True,True,False
U56,mean_vol,100,2,0.02,True,1.0079390940437616,1.0082359810512602,1.0043350479788051,0.003900933072455093,0.004527474803684761,True,True,True,True
U56,mean_vol,100,5,0.05,True,1.723265129843847,1.7008972485971339,1.1468214585555905,0.5764436712882566,0.5814161961211832,True,True,True,True
U56,mean_vol,100,10,0.1,True,1.6561255062707235e-05,0.002241155465841613,0.7433550515416546,0.7433384902865919,1.907495860952079,False,False,True,False
U56,mean_vol,100,20,0.2,True,0.03121952880946064,0.007441168418098998,0.8365110321522424,0.8290698637341434,2.401240677761024,False,False,False,False
U56,mean_vol,100,40,0.4,True,0.9137938793159389,1.0622823284123635,1.1923479798299719,0.27855410051403295,0.31778023324604776,True,True,True,True
U56,mean_vol,250,2,0.008,True,1.1389266692231614,1.1370857237950003,1.0582358321933403,0.08069083702982116,0.13634893244939317,True,True,True,True
U56,mean_vol,250,5,0.02,True,1.5707582415561143,1.5619626902798267,1.2139959845573154,0.35676225699879893,0.5474071260347455,True,True,True,True
U56,mean_vol,250,10,0.04,True,0.004884183344518372,0.007734168782343436,0.4948424391581485,0.4899582558136302,2.1098114701102926,False,True,False,False
U56,mean_vol,250,20,0.08,True,0.0783350712292095,0.06284894569598701,0.4273438207465348,0.3644948750505478,3.09347372136769,False,False,False,False
U56,mean_vol,250,40,0.16,True,0.9748100976937013,1.0344101804456307,1.2793825189869836,0.3045724212932823,0.5100904263956609,True,True,True,True
U56,sd_ann_ret,50,2,0.04,False,,,,,0.04728800455990001,,True,True,
U56,sd_ann_ret,50,5,0.1,False,,,,,0.20977451601976105,,True,False,
U56,sd_ann_ret,50,10,0.2,False,,,,,2.5418709249882285,,False,True,
U56,sd_ann_ret,50,20,0.4,False,,,,,1.6664050475479864,,True,True,
U56,sd_ann_ret,50,40,0.8,False,,,,,1.270317219217993,,True,True,
U56,sd_ann_ret,100,2,0.02,False,,,,,0.07994330311394005,,True,True,
U56,sd_ann_ret,100,5,0.05,False,,,,,0.03090346661902732,,True,True,
U56,sd_ann_ret,100,10,0.1,False,,,,,2.5371293707034637,,False,True,
U56,sd_ann_ret,100,20,0.2,False,,,,,2.618421147387307,,False,True,
U56,sd_ann_ret,100,40,0.4,False,,,,,0.20630111385831773,,True,False,
U56,sd_ann_ret,250,2,0.008,True,0.9749858690368183,0.9756485216185367,0.9947932281139793,0.019807359077161024,0.037829008767499506,True,True,True,True
