panel,flag,arm,cost,end,depth,published,turnover_yr,FULL_CAGR,FULL_Sharpe,FULL_MaxDD,H1_Sharpe,H2_Sharpe,H1_CAGR,H2_CAGR,R8_IS_CAGR,R8_IS_Sharpe,R8_IS_MaxDD,R8_OOS_CAGR,R8_OOS_Sharpe,R8_OOS_MaxDD,mean_held,BindSharpe,Sharpe,CAGR,MaxDD,OOS_Sharpe,pass4a,pass4b
U56,n,10,10,pub,0,1,16.6619621937997,0.091701044364082,0.9019581017376975,-0.14281586563946058,0.9843386109945848,0.8406323431516438,0.09128727672346892,0.09211496888699777,0.0867389844508446,0.9229471283470372,-0.08219689392909024,0.09581133392406715,0.8905483208119775,-0.14281586563946058,9.401489361702128,0.8406323431516438,0.9019581017376975,0.091701044364082,-0.14281586563946058,0.8905483208119775,0.0,0.0
U56,n,10,25,pub,0,1,16.6619621937997,0.06475196634035352,0.6592361959160621,-0.15625994388210684,0.7228596258433685,0.611580765589872,0.06508161797286705,0.06442241673776605,0.060758127835409015,0.6677193798548166,-0.08610945267298842,0.06805782956716855,0.655796747816945,-0.1562599438821073,9.401489361702128,0.611580765589872,0.6592361959160621,0.06475196634035352,-0.15625994388210684,0.655796747816945,0.0,0.0
U56,n,20,10,pub,0,1,11.60041445742433,0.10716010317095637,0.9908356748945234,-0.194934353339843,1.0422487725010596,0.9584585679754695,0.10115174928544657,0.11320124119946628,0.09305030746967113,0.9434602298813002,-0.10682569016576005,0.11893637055417616,1.028978514991882,-0.19493435333984266,18.266382978723403,0.9584585679754695,0.9908356748945234,0.10716010317095637,-0.194934353339843,1.028978514991882,0.0,1.0
U56,n,20,25,pub,0,1,11.60041445742433,0.08806147390526275,0.8304177920916289,-0.1971610023330188,0.8710938076019699,0.8052759019831096,0.08305305621015546,0.09309305228272491,0.07488335324672635,0.7748789008181687,-0.11719986850799335,0.09905372594177653,0.8736189886117535,-0.1971610023330188,18.266382978723403,0.8052759019831096,0.8304177920916289,0.08806147390526275,-0.1971610023330188,0.8736189886117535,0.0,0.0
U56,n,30,10,pub,0,1,9.081191268835887,0.11607570817258761,1.0631903310721798,-0.19165405980059724,1.1004176929736535,1.0424444629507625,0.10785286489491619,0.12435958406001402,0.09904824806078949,0.9937962659937136,-0.103753268758219,0.13032017271714524,1.1172273671987722,-0.1916540598005969,26.33468085106383,1.0424444629507625,1.0631903310721798,0.11607570817258761,-0.19165405980059724,1.1172273671987722,0.0,1.0
U56,n,30,25,pub,0,1,9.081191268835887,0.10097252370113963,0.9374982705764102,-0.19418523769664608,0.9709497565038351,0.9187270245551986,0.09401550372056189,0.10797378448712247,0.0849469274823742,0.8644061435993916,-0.11377409117362058,0.11437017621679013,0.9936378065943013,-0.1941852376966463,26.33468085106383,0.9187270245551986,0.9374982705764102,0.10097252370113963,-0.19418523769664608,0.9936378065943013,0.0,0.0
U56,n,40,10,pub,0,1,7.866678319480933,0.11548477277094649,1.07751549981136,-0.1933894706258451,1.1522369070172993,1.0247088561123878,0.11188390136381687,0.11909730571474841,0.10365579289333993,1.0460321033638298,-0.10645443843893299,0.1253379560106036,1.1039855276870132,-0.193389470625845,33.20191489361702,1.0247088561123878,1.07751549981136,0.11548477277094649,-0.1933894706258451,1.1039855276870132,0.0,1.0
U56,n,40,25,pub,0,1,7.866678319480933,0.10239423534670888,0.9662373747900826,-0.19589884956931636,1.0366800375936598,0.916072200608418,0.09967803739697279,0.10511714228857794,0.09086383459768799,0.9276765078554833,-0.11626024325230933,0.11199742809151614,0.9974566416635416,-0.19589884956931625,33.20191489361702,0.916072200608418,0.9662373747900826,0.10239423534670888,-0.19589884956931636,0.9974566416635416,0.0,0.0
U56,n,2,10,lo,1,0,32.2954891783952,0.053605804701268855,0.5114371288587022,-0.180245645418458,0.5253944632824058,0.500471090937551,0.05236858475110173,0.054844479192388995,0.05251179302864162,0.5206144919506945,-0.17355309882083148,0.05450911902659783,0.5050888266683548,-0.18024564541845733,1.8893617021276596,0.500471090937551,0.5114371288587022,0.053605804701268855,-0.180245645418458,0.5050888266683548,0.0,0.0
U56,n,2,25,lo,1,0,32.2954891783952,0.0037239994549016497,0.08995883206706819,-0.2754529911224386,0.0667234037584184,0.110959825518222,0.0013527344754535875,0.006100879735940978,0.002030129991749785,0.07343032281227943,-0.2754529911224386,0.005123440141046709,0.10265762470014152,-0.21804787493368383,1.8893617021276596,0.0667234037584184,0.08995883206706819,0.0037239994549016497,-0.2754529911224386,0.10265762470014152,0.0,0.0
U56,band,0.0,10,pub,0,1,3.136959013315168,0.08187299221941369,1.1692475633783586,-0.12011678946551008,1.1861925989210094,1.1565728836758973,0.07879081221757578,0.08496397822280044,0.07117769371461646,1.054759204396338,-0.08704820115807743,0.09077595629666058,1.2593786361905985,-0.12011678946550941,36.38808510638298,1.1565728836758973,1.1692475633783586,0.08187299221941369,-0.12011678946551008,1.2593786361905985,0.0,0.0
U56,band,0.0,25,pub,0,1,3.136959013315168,0.07679539150297843,1.1013476888423657,-0.12079148729746736,1.117635966755558,1.0891053181625683,0.07394818312868634,0.07965014828198314,0.06620303901472901,0.98550995510975,-0.0909962296999125,0.08561226349271767,1.1925080705065445,-0.12079148729746703,36.38808510638298,1.0891053181625683,1.1013476888423657,0.07679539150297843,-0.12079148729746736,1.1925080705065445,0.0,0.0
U56,band,0.01,10,pub,0,1,2.613583000756539,0.08383411891997561,1.187608034409547,-0.12025474312825346,1.2055422556493163,1.1740641587970886,0.08073619165256773,0.08694092638722162,0.07341749313470891,1.0782567571497257,-0.07903350800412923,0.09250291435418845,1.2737752822799098,-0.12025474312825335,36.43276595744681,1.1740641587970886,1.187608034409547,0.08383411891997561,-0.12025474312825346,1.2737752822799098,0.0,0.0
U56,band,0.01,25,pub,0,1,2.613583000756539,0.07959452005972878,1.1314562158615962,-0.1208617902375485,1.1496760510777067,1.117513059578403,0.07675656286891774,0.08243995712230867,0.06930513923926918,1.0215354236541871,-0.08230448801917845,0.08815678940663352,1.21805484395719,-0.1208617902375485,36.43276595744681,1.117513059578403,1.1314562158615962,0.07959452005972878,-0.1208617902375485,1.21805484395719,0.0,0.0
U56,band,0.03,10,pub,0,1,1.7753428583825799,0.08644750633071019,1.2037308291391255,-0.12054947359101975,1.2308642464341357,1.182843123927143,0.08338239018460492,0.08952129433365386,0.07609417819718378,1.1042574813043367,-0.07887427114195611,0.0950629792087272,1.2816876607860581,-0.12054947359101964,36.36021276595745,1.182843123927143,1.2037308291391255,0.08644750633071019,-0.12054947359101975,1.2816876607860581,0.0,0.0
U56,band,0.03,25,pub,0,1,1.7753428583825799,0.08355862722433804,1.1661345483302161,-0.1209263608304102,1.1930457534454102,1.1453354631554875,0.08065396373451561,0.08647109808846554,0.07326118003416826,1.0656889651027908,-0.08184897893251619,0.09212739255649671,1.2448211067050887,-0.12092636083040953,36.36021276595745,1.1453354631554875,1.1661345483302161,0.08355862722433804,-0.1209263608304102,1.2448211067050887,0.0,0.0
U56,band,0.05,10,pub,0,1,1.4164603676518674,0.08328099438174097,1.1481765499430112,-0.1256730936931718,1.1917385793343305,1.1134979412531874,0.08116319476631229,0.08540294237664914,0.07358398989587656,1.06249202562864,-0.07760042986321114,0.09134601743977466,1.2150766113342044,-0.12567309369317248,35.09170212765957,1.1134979412531874,1.1481765499430112,0.08328099438174097,-0.1256730936931718,1.2150766113342044,0.0,0.0
U56,band,0.05,25,pub,0,1,1.4164603676518674,0.08098225353218758,1.1185979004531097,-0.12596699945454937,1.162299187500542,1.0836920108547243,0.07902593233797162,0.08294212162226677,0.07137203686173987,1.032561290810318,-0.07889089420309381,0.08897464434995461,1.1857405840328274,-0.12596699945454926,35.09170212765957,1.0836920108547243,1.1185979004531097,0.08098225353218758,-0.12596699945454937,1.1857405840328274,0.0,0.0
U56,band,0.08,10,pub,0,1,1.126416450727666,0.0853811352652305,1.1484762967199986,-0.1446692177776664,1.2408423000464754,1.0727210509123946,0.08617950091345583,0.08458335643318748,0.07940308354958181,1.122239172338403,-0.08467834877864477,0.09033738726422302,1.169915264704118,-0.1446692177776664,34.63276595744681,1.0727210509123946,1.1484762967199986,0.0853811352652305,-0.1446692177776664,1.169915264704118,0.0,0.0
U56,band,0.08,25,pub,0,1,1.126416450727666,0.08354856874819716,1.1254096749578413,-0.14483510111386755,1.2181807108937448,1.0492124514934766,0.08450348788357553,0.08259449043128098,0.07767602747579416,1.0993351183925737,-0.0853479620994757,0.08841695141919437,1.1466943988844882,-0.14483510111386788,34.63276595744681,1.0492124514934766,1.1254096749578413,0.08354856874819716,-0.14483510111386755,1.1466943988844882,0.0,0.0
U56,band,0.12,10,pub,0,1,0.9220785298004982,0.08702664555531459,1.1498993588171684,-0.12150487487373196,1.2371491963137136,1.0711452301434983,0.09018751294958416,0.08387494271536777,0.08348015526592856,1.120246649275825,-0.09808063084363072,0.08996090801384393,1.1736967423863236,-0.12150487487373196,34.717234042553194,1.0711452301434983,1.1498993588171684,0.08702664555531459,-0.12150487487373196,1.1736967423863236,0.0,0.0
U56,band,0.12,25,pub,0,1,0.9220785298004982,0.08552384345457331,1.131316332160609,-0.12160759668499244,1.2198245960984304,1.0513931152228555,0.08883658066996492,0.0822211850958745,0.08210150750556311,1.1029697392174795,-0.09850736878160904,0.08835509953699328,1.1540619133653716,-0.12160759668499277,34.717234042553194,1.0513931152228555,1.131316332160609,0.08552384345457331,-0.12160759668499244,1.1540619133653716,0.0,0.0
U56,band,0.16,10,pub,0,1,0.7874008108062809,0.08386985482743459,1.1204863572577661,-0.12353277170220489,1.2220585612162378,1.0295751224446918,0.08782492309023082,0.07992916623606439,0.08122358102632021,1.1029750923899473,-0.10169263335394252,0.08605766024436523,1.1345058687699587,-0.12353277170220522,30.84744680851064,1.0295751224446918,1.1204863572577661,0.08386985482743459,-0.12353277170220489,1.1345058687699587,0.0,0.0
U56,band,0.16,25,pub,0,1,0.7874008108062809,0.082590406645068,1.1045271006072734,-0.12385583297704084,1.2073411105387668,1.0124695078513528,0.08669058626882231,0.07850569736140889,0.08005937099926608,1.0882544252401452,-0.10204894930454289,0.08468274079625804,1.117552749903366,-0.12385583297704095,30.84744680851064,1.0124695078513528,1.1045271006072734,0.082590406645068,-0.12385583297704084,1.117552749903366,0.0,0.0
U56,band,0.2,10,pub,0,1,0.716238815902232,0.08570557919805943,1.1154719139655531,-0.12065194505700516,1.2020321828128002,1.042278899249746,0.08711723762200485,0.0842957538602207,0.08186751252059388,1.0995088415526295,-0.09964497751321577,0.08888187580866869,1.1284468761424813,-0.12065194505700472,31.170425531914894,1.042278899249746,1.1154719139655531,0.08570557919805943,-0.12065194505700516,1.1284468761424813,0.0,0.0
U56,band,0.2,25,pub,0,1,0.716238815902232,0.08453988013431823,1.1013591341325821,-0.12096769674789687,1.1890599428968505,1.027129813550653,0.08610397972996098,0.08297803300031026,0.08083296852522737,1.0866347921455068,-0.10031041212816061,0.08760730682937679,1.113361193883912,-0.12096769674789742,31.170425531914894,1.027129813550653,1.1013591341325821,0.08453988013431823,-0.12096769674789687,1.113361193883912,0.0,0.0
U56,band,0.25,10,pub,0,1,0.6490361309717609,0.0781411497820026,1.0784381701076293,-0.1264954434897927,1.1409123442652827,1.032271893429251,0.07579591618939019,0.08049149598056671,0.07030168796831426,1.0311880158475535,-0.08657659220876857,0.08465118212738543,1.1158458313941568,-0.12649544348979258,28.404042553191488,1.032271893429251,1.0784381701076293,0.0781411497820026,-0.1264954434897927,1.1158458313941568,0.0,0.0
U56,band,0.25,25,pub,0,1,0.6490361309717609,0.07709200495449542,1.0648944981154884,-0.1268660608158413,1.1281721112200431,1.0179692564762561,0.07489498577009757,0.07929351471086599,0.06938534152347064,1.0185837215640146,-0.08704433676372325,0.08349107573578363,1.1015736996629588,-0.12686606081584095,28.404042553191488,1.0179692564762561,1.0648944981154884,0.07709200495449542,-0.1268660608158413,1.1015736996629588,0.0,0.0
