year,days,ret,maxdd,ret<0,dd<=-10,dd<=-15,dd<=-20
2008,253,-0.3623685819100514,-0.47116672817997185,True,True,True,True
2009,252,0.26351931330472156,-0.27131680615325027,False,True,True,True
2010,252,0.1505615140438612,-0.156996762761348,False,True,True,False
2011,252,0.01894975331774984,-0.1860545633455386,False,True,True,False
2012,250,0.15990346983483472,-0.09687028487274241,False,False,False,False
2013,252,0.32307729036742105,-0.05550672752006425,False,False,False,False
2014,252,0.13463786276376988,-0.0727344344153269,False,False,False,False
2015,252,0.012343126670188775,-0.11910254739373238,False,True,False,False
2016,252,0.11997896136886044,-0.0918747960334173,False,False,False,False
2017,251,0.21705431189076596,-0.026101085043064853,False,False,False,False
2018,251,-0.045690667823131026,-0.19348915262727273,True,True,True,False
2019,252,0.3122389838142594,-0.06618373469577787,False,False,False,False
2020,253,0.18331619978894254,-0.33717235283398284,False,True,True,True
2021,252,0.287287650303949,-0.05114111094558438,False,False,False,False
2022,251,-0.1817534122370873,-0.24496403005741796,True,True,True,True
2023,250,0.26175755147693347,-0.09974305847483034,False,False,False,False
2024,252,0.24886468383777527,-0.08405644031112114,False,False,False,False
2025,250,0.17719053971666532,-0.18755228269936952,False,True,True,False
2026,170,0.135445586358673,-0.0888496682993325,False,False,False,False
