SET,BAR,pairs,decisive,decisive_rate,names_DEG,names_GROSS,mean_admitted,rate_B_RAW,rate_B_POINT,rate_B_MED,rate_B_IID95,rate_B_BOOT95,head_H_RUNNERUP_rate,head_H_NARROWEST_rate,head_H_ANY_rate
NG,A_NONE,126,5,0.03968253968253968,0,0,3.0,1.0,1.0,1.0,0.03968253968253968,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.11904761904761904
NG,A_POS,126,5,0.03968253968253968,0,0,3.0,1.0,1.0,1.0,0.03968253968253968,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.11904761904761904
NG,A_MED,16,1,0.0625,0,0,0.8333333333333334,1.0,1.0,1.0,0.0625,0.0,0.0,0.023809523809523808,0.023809523809523808
NG,A_90,0,0,,0,0,0.11904761904761904,,,,,,0.0,0.0,0.0
NG,A_95,0,0,,0,0,0.0,,,,,,0.0,0.0,0.0
NG,A_99,0,0,,0,0,0.0,,,,,,0.0,0.0,0.0
NG_D,A_NONE,252,131,0.5198412698412699,0,0,4.0,1.0,1.0,1.0,0.5198412698412699,0.5119047619047619,0.047619047619047616,1.0,1.0
NG_D,A_POS,126,5,0.03968253968253968,0,0,3.0,1.0,1.0,1.0,0.03968253968253968,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.11904761904761904
NG_D,A_MED,16,1,0.0625,0,0,0.8333333333333334,1.0,1.0,1.0,0.0625,0.0,0.0,0.023809523809523808,0.023809523809523808
NG_D,A_90,0,0,,0,0,0.11904761904761904,,,,,,0.0,0.0,0.0
NG_D,A_95,0,0,,0,0,0.0,,,,,,0.0,0.0,0.0
NG_D,A_99,0,0,,0,0,0.0,,,,,,0.0,0.0,0.0
ALL4,A_NONE,252,131,0.5198412698412699,0,0,4.0,1.0,1.0,1.0,0.5198412698412699,0.42857142857142855,0.047619047619047616,1.0,1.0
ALL4,A_POS,252,131,0.5198412698412699,0,0,4.0,1.0,1.0,1.0,0.5198412698412699,0.42857142857142855,0.047619047619047616,1.0,1.0
ALL4,A_MED,33,18,0.5454545454545454,0,0,1.5476190476190477,1.0,1.0,1.0,0.5454545454545454,0.5151515151515151,0.2619047619047619,0.35714285714285715,0.35714285714285715
ALL4,A_90,0,0,,0,0,0.2619047619047619,,,,,,0.0,0.0,0.0
ALL4,A_95,0,0,,0,0,0.07142857142857142,,,,,,0.0,0.0,0.0
ALL4,A_99,0,0,,0,0,0.023809523809523808,,,,,,0.0,0.0,0.0
ALL4_D,A_NONE,420,299,0.7119047619047619,0,0,5.0,1.0,1.0,1.0,0.7119047619047619,0.6571428571428571,0.047619047619047616,1.0,1.0
ALL4_D,A_POS,252,131,0.5198412698412699,0,0,4.0,1.0,1.0,1.0,0.5198412698412699,0.42857142857142855,0.047619047619047616,1.0,1.0
ALL4_D,A_MED,33,18,0.5454545454545454,0,0,1.5476190476190477,1.0,1.0,1.0,0.5454545454545454,0.5151515151515151,0.2619047619047619,0.35714285714285715,0.35714285714285715
ALL4_D,A_90,0,0,,0,0,0.2619047619047619,,,,,,0.0,0.0,0.0
ALL4_D,A_95,0,0,,0,0,0.07142857142857142,,,,,,0.0,0.0,0.0
ALL4_D,A_99,0,0,,0,0,0.023809523809523808,,,,,,0.0,0.0,0.0
