panel,arm,N,gross,J_IS,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,J_OOS,pass4a,pass4b,SPY_OOS_CAGR,SPY_OOS_Sharpe,SPY_OOS_MaxDD,SPY_H1,SPY_H2,LIVE_OOS_CAGR,LIVE_OOS_Sharpe,LIVE_OOS_MaxDD,names,turns_yr
U56,RULE-8 PICK,15,0.6,1.4374581421831039,0.13667839265817738,1.1712408784711537,-0.16378319333695424,1.259624044801793,1.1154339032562195,0.15135588253417387,1.1952061659067943,-0.16378319333695412,3.852041291381983,False,True,0.1527838188994346,0.8745240617633456,-0.3371726770846233,0.9598006217501275,0.8234295440424803,0.09466489117832899,1.2778075576954295,-0.12054947716248854,14.897908702496064,2.370931789461472
U56,certified N=20 g=0.65,20,0.65,1.0988212896004739,0.13664188849591596,1.1525857853216737,-0.16729674322524246,1.2130429674738354,1.112897864044792,0.14954770134796957,1.1833330620238236,-0.16729674322524268,3.500686302553127,False,True,0.1527838188994346,0.8745240617633456,-0.3371726770846233,0.9598006217501275,0.8234295440424803,0.09466489117832899,1.2778075576954295,-0.12054947716248854,19.781650550933215,2.408427824579163
U56,old incumbent N=20 g=0.75,20,0.75,-0.710543713255482,0.15793769420938308,1.1528609811073802,-0.1912890691591096,1.2132358788748319,1.11328210703062,0.17297636232876257,1.1837143680307356,-0.19128906915910893,1.1014537091665026,False,True,0.1527838188994346,0.8745240617633456,-0.3371726770846233,0.9598006217501275,0.8234295440424803,0.09466489117832899,1.2778075576954295,-0.12054947716248854,19.781650550933215,2.765378057473913
B136,RULE-8 PICK,25,0.6,2.2422191163802756,0.13082123973078974,1.0971452628780611,-0.17561300759838472,1.277545963687787,0.9576884977366711,0.1338627786793205,1.062936089076397,-0.17561300759838494,2.6542787892886444,False,True,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.9595622658772724,0.8259431438686403,0.07884939392053303,1.105887869727878,-0.12240985403190019,24.884762547828043,2.504922664056729
B136,certified N=20 g=0.65,20,0.65,0.50735424684695,0.14029055922399203,1.0713623182951848,-0.1815303924911471,1.289903125550679,0.8990460757952382,0.14131044934768133,1.0235965012476524,-0.1815303924911471,2.076532735321093,False,True,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.9595622658772724,0.8259431438686403,0.07884939392053303,1.105887869727878,-0.12240985403190019,19.93337834796309,2.731257324045775
B136,old incumbent N=20 g=0.75,20,0.75,-1.394877886688692,0.16197558353142005,1.0721479912364629,-0.20739463857802698,1.2906866035647677,0.8999199119316993,0.162993809626496,1.0244937706927486,-0.2073946385780271,-0.509891873366905,False,False,0.15331427255204866,0.8767278433896203,-0.3371595330739301,0.9595622658772724,0.8259431438686403,0.07884939392053303,1.105887869727878,-0.12240985403190019,19.93337834796309,3.1368668389381993
SMALL,RULE-8 PICK,30,0.55,-5.510271302130114,0.059727240006268056,0.5244532301250193,-0.2771825848909327,0.7564255554634369,0.35190611125468274,0.052162413158867826,0.4516906371416969,-0.27718258489093284,-7.487897864015888,False,False,0.15331706161492242,0.8767141873340053,-0.3371726770846233,0.9137950971177071,0.8343919268297861,0.044697858575210914,0.6516492954577333,-0.12176044561639543,30.0,2.809853230856124
SMALL,certified N=20 g=0.65,20,0.65,-11.05135862948246,0.07001700394274368,0.5077058133212115,-0.31664071237252667,0.6638705215041986,0.3945423439213011,0.06346505962487003,0.4538158345636328,-0.3166407123725268,-11.433710612175283,False,False,0.15331706161492242,0.8767141873340053,-0.3371726770846233,0.9137950971177071,0.8343919268297861,0.044697858575210914,0.6516492954577333,-0.12176044561639543,20.0,3.461388872300781
SMALL,old incumbent N=20 g=0.75,20,0.75,-14.111410688088826,0.0789230232361029,0.5081441103805863,-0.35813268434108325,0.6643911704822403,0.39497252026260204,0.07104749988706494,0.45424585897421693,-0.3581326843410835,-15.582907809030951,False,False,0.15331706161492242,0.8767141873340053,-0.3371726770846233,0.9137950971177071,0.8343919268297861,0.044697858575210914,0.6516492954577333,-0.12176044561639543,20.0,3.983568736778508
