pset,panel,NATIVE,LASTDATE,COMMONSTART,COMMONWIN,moved
UB,U56,0.08,0.08,0.08,0.08,False
UB,B136,0.08,0.08,0.08,0.08,False
US,U56,0.08,0.08,0.08,0.08,False
US,SMALL,0.12,0.12,0.12,0.12,False
BS,B136,0.08,0.08,0.08,0.08,False
BS,SMALL,0.12,0.12,0.12,0.12,False
ALL,U56,0.08,0.08,0.08,0.08,False
ALL,B136,0.08,0.08,0.08,0.08,False
ALL,SMALL,0.12,0.12,0.12,0.12,False
