selector,scheme,folds,lam,k,draw,IS_Sharpe,OOS_Sharpe,OOS_CAGR,OOS_MaxDD,full_Sharpe,full_MaxDD,OOS_rank,cell_mean_OOS,f4a,f4b
CTRL-fit,IS,1,0.0,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,-0.1053982831335272,11,0.9915445499570515,H2,CAGR
SD-resid,IS,1,0.0,20,13,0.974424424519518,1.032706155687486,0.0754510976744859,-0.1125887072146814,1.006131591439499,-0.112588707214682,21,0.9915445499570515,"H1,H2",CAGR
CTRL-fit,IS,1,0.0,40,42,1.2114583090024025,1.0677059070844952,0.1230003388721727,-0.1962556139210887,1.131741395234842,-0.1962556139210888,10,0.9939674855786583,"H2,DD",-
SD-resid,IS,1,0.0,40,31,0.7436329476155493,0.9188539651285094,0.0998245717365156,-0.193788717393572,0.8409947126336916,-0.1937887173935722,38,0.9939674855786583,"H1,H2,DD","H1,H2,CAGR"
CTRL-fit,IS,1,0.0,80,43,1.1892489889533435,1.0249380906074936,0.1387397737863533,-0.2058672694794491,1.0963613947114672,-0.2058672694794489,3,0.9389499601805943,"H2,DD",DD
SD-resid,IS,1,0.0,80,0,1.1501863941104131,0.8571997498163576,0.1032467526605689,-0.1753982071804927,0.9879833385758978,-0.1753982071804928,44,0.9389499601805943,"H2,DD","H2,OOS"
CTRL-fit,IS,1,0.5,20,19,1.3228890348164943,1.1044581300449343,0.0836671928954773,-0.1053982831335273,1.2047248273451474,-0.1053982831335272,11,0.9915445499570515,H2,CAGR
SD-resid,IS,1,0.5,20,43,1.0830297397072606,1.0559755007080605,0.0724355116208204,-0.1087512370737077,1.0677557818007912,-0.1087512370737074,16,0.9915445499570515,"H1,H2",CAGR
CTRL-fit,IS,1,0.5,40,42,1.2114583090024025,1.0677059070844952,0.1230003388721727,-0.1962556139210887,1.131741395234842,-0.1962556139210888,10,0.9939674855786583,"H2,DD",-
SD-resid,IS,1,0.5,40,42,1.2114583090024025,1.0677059070844952,0.1230003388721727,-0.1962556139210887,1.131741395234842,-0.1962556139210888,10,0.9939674855786583,"H2,DD",-
