claim_set,H,s,n_books,n_ge_080,n_ge_050,median_share,max_share,argmax,min_share,argmin,live_share
MEMO8,756,21,8,0,0,0.3210227272727273,0.4431818181818182,K4,0.005681818181818182,K7,0.1875
MEMO8,756,63,8,0,0,0.3135593220338983,0.4576271186440678,K4,0.0,K7,0.1694915254237288
MEMO8,1260,21,8,0,5,0.5526315789473684,0.6842105263157895,K4,0.006578947368421052,K7,0.11842105263157894
MEMO8,1260,63,8,0,5,0.5588235294117647,0.7254901960784313,K4,0.0,K7,0.1568627450980392
MEMO12,756,21,12,0,0,0.2869318181818182,0.4431818181818182,K4,0.005681818181818182,K7,0.1875
MEMO12,756,63,12,0,0,0.2796610169491526,0.4576271186440678,K4,0.0,K7,0.1694915254237288
MEMO12,1260,21,12,0,7,0.5296052631578947,0.7105263157894737,R3,0.006578947368421052,K7,0.11842105263157894
MEMO12,1260,63,12,0,7,0.5490196078431373,0.7254901960784313,K4,0.0,K7,0.1568627450980392
