ladder,k,n,exact,expected,p
N,6,42,0,0.11666666666666667,1.0000000000000004
H,4,42,6,3.5,0.13355147563317454
GROSS,10,42,40,2.3148148148148147e-05,3.851954920248118e-248
CADENCE,2,42,42,42.0,1.0
