book,panel,IS_CAGR,IS_Sharpe,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_H1,OOS_H2,keep4a,keep4b,fail4b
K1,U56,0.10810124581844649,0.9765495035428563,-0.11846710934713856,0.14426535084279468,1.129600365408191,-0.18308341446270193,1.2350985056328918,1.0237346838032386,FAIL,PASS,
K2,U56,0.09983917846477852,0.9577757995151831,-0.11085656910319397,0.15219188963648755,1.23543913426136,-0.1724498100003985,1.351834741037822,1.116792718636797,FAIL,PASS,
K3,U56,0.09424974321521362,0.990643960461853,-0.11906598004704683,0.13764740038429513,1.2863820666290864,-0.12373929288434582,1.3807215013588399,1.1920971377740872,FAIL,PASS,
K4,U56,0.11048169206536596,1.1358894526372816,-0.1042215356541214,0.12645666994169646,1.2692590432079591,-0.15485495397691995,1.4356675605622833,1.0894740403912206,FAIL,PASS,
K5,U56,0.10163037850119716,1.1047437219516025,-0.10451949838088237,0.126956558390525,1.2775395947599435,-0.15910990262743996,1.4077348475933793,1.1347851685972874,FAIL,PASS,
K6,U56,0.12655293371117082,1.1761982470648353,-0.11646311526627529,0.15072471200384263,1.2607540303838713,-0.1941937303482717,1.3869840262442563,1.1224749915514747,FAIL,PASS,
K7,B136,0.06021227049009692,1.1457472087976666,-0.05536132815335093,0.06384233170332343,1.187119804006703,-0.11133286588851188,1.3213888767776119,1.045993979527178,FAIL,FAIL,CAGR>=70%SPY
K8,U56,0.11916655254945341,1.0248424351272498,-0.1479115582684295,0.16040819756384783,1.393684369943309,-0.12719753492220232,1.5596574227717552,1.2235810647290974,FAIL,PASS,
R1,U56,0.1060919805130831,1.122611682702222,-0.11217296392361387,0.12038538471401328,1.1654257169217488,-0.1905060857627323,1.2460773008515493,1.0785339624617323,FAIL,PASS,
R2,U56,0.10495158383104064,1.066957695536418,-0.10874609154291837,0.12350884936339579,1.1060790636851225,-0.1864736119832805,1.265184115127496,0.9356320050300626,FAIL,PASS,
R3,U56,0.14621272078837788,1.2448953945317596,-0.10627632433457335,0.16003206061231268,1.2154381442323396,-0.19975796950615465,1.4079862864829293,1.0083758006434604,FAIL,PASS,
R4,B136,0.15558082750088742,1.2538293895648782,-0.10149186679296307,0.14516591165653114,1.0399755698403153,-0.19432719349775063,1.1164610917364775,0.9621574164749638,FAIL,PASS,
LIVE (baseline),U56,0.07609486307679969,1.1042716914234656,-0.07887203754149841,0.09474682024310721,1.278242466157066,-0.12054943679771168,,,-,-,-
SPY u56,U56,0.14958794806217623,0.8986366238345959,-0.22061944945147527,0.15331699963496637,0.876714419369064,-0.33717235283398306,,,-,-,-
SPY b136,B136,0.1495976200199005,0.8986655359968392,-0.22058362096015105,0.15331427255204866,0.8767278433896203,-0.3371595330739301,,,-,-,-
