x,cells,mean_d,frac_pos,stat
0.0,0,,,SHARE
0.025,0,,,SHARE
0.05,0,,,SHARE
0.075,0,,,SHARE
0.1,0,,,SHARE
0.125,0,,,SHARE
0.15,5,0.0033787468922164034,0.6,SHARE
0.175,18,0.007310196276301681,0.6111111111111112,SHARE
0.2,26,0.004145444138028146,0.5769230769230769,SHARE
0.225,34,0.001779708417201625,0.5294117647058824,SHARE
0.25,47,0.005008095403809103,0.574468085106383,SHARE
0.275,69,0.00277855999966301,0.5797101449275363,SHARE
0.3,89,-0.001613906580171997,0.5168539325842697,SHARE
0.325,105,-0.0030268104036322873,0.5142857142857142,SHARE
0.35,119,-0.0014707313925697036,0.5294117647058824,SHARE
0.375,124,-0.0010936327901917508,0.5403225806451613,SHARE
0.4,125,-0.0005115856847023625,0.552,SHARE
0.425,122,0.0004019493254227839,0.5409836065573771,SHARE
0.45,111,0.005078649315661453,0.6036036036036037,SHARE
0.475,92,0.007814924171269944,0.6521739130434783,SHARE
0.5,77,0.007738113657653401,0.6883116883116883,SHARE
0.525,71,0.011106485557948636,0.7183098591549296,SHARE
0.55,72,0.012646422930854079,0.7083333333333334,SHARE
0.575,70,0.0164738501356562,0.7857142857142857,SHARE
0.6,54,0.018359249729230517,0.8333333333333334,SHARE
0.625,63,0.021871476134668732,0.7301587301587301,SHARE
0.65,59,0.024542076938238594,0.7457627118644068,SHARE
0.675,74,0.020335919254419094,0.7297297297297297,SHARE
0.7,72,0.01945028574300492,0.7222222222222222,SHARE
0.725,53,0.0170084141333321,0.660377358490566,SHARE
0.75,80,0.012522780550445478,0.6375,SHARE
0.775,75,0.008879525386371663,0.6266666666666667,SHARE
0.8,101,0.008930715744477553,0.6534653465346535,SHARE
0.825,108,0.008801770836392324,0.6759259259259259,SHARE
0.85,92,0.00818454076371903,0.6956521739130435,SHARE
0.875,132,0.005759692433854543,0.5757575757575758,SHARE
0.9,123,0.005695048995848671,0.5528455284552846,SHARE
0.925,209,0.002621528124315207,0.291866028708134,SHARE
0.95,200,0.0017720830984214704,0.26,SHARE
0.975,169,0.0009190654097060884,0.16568047337278108,SHARE
1.0,163,0.0009592011498884548,0.147239263803681,SHARE
0.0,119,0.0003831316420965515,0.07563025210084033,ENT
0.025,162,0.0009656328338421669,0.14814814814814814,ENT
0.05,163,0.0009592011498884548,0.147239263803681,ENT
0.075,185,0.0014326057816856168,0.22162162162162163,ENT
0.1,99,0.004286569387771518,0.5151515151515151,ENT
0.125,113,0.005495019819167307,0.5309734513274337,ENT
0.15,124,0.007081725972577861,0.5887096774193549,ENT
0.175,93,0.010598771460130935,0.7204301075268817,ENT
0.2,113,0.010734649180930375,0.6814159292035398,ENT
0.225,104,0.013791574427700397,0.6730769230769231,ENT
0.25,103,0.012920726337021042,0.6504854368932039,ENT
0.275,101,0.013928881769026775,0.6534653465346535,ENT
0.3,85,0.01621532419582193,0.6588235294117647,ENT
0.325,84,0.014759387664960086,0.6666666666666666,ENT
0.35,73,0.01476424760182642,0.6986301369863014,ENT
0.375,73,0.011463763901651096,0.6712328767123288,ENT
0.4,68,0.012105530936008638,0.7058823529411765,ENT
0.425,68,0.011229144676456373,0.7205882352941176,ENT
0.45,74,0.009579511321698233,0.6891891891891891,ENT
0.475,86,0.009430102242530703,0.6511627906976745,ENT
0.5,98,0.006927822325032263,0.6530612244897959,ENT
0.525,106,0.005015563176005549,0.6132075471698113,ENT
0.55,127,0.0016649800569843573,0.5669291338582677,ENT
0.575,122,-0.001141977657020141,0.5327868852459017,ENT
0.6,116,-0.0013420637226850755,0.5517241379310345,ENT
0.625,97,-0.0031498817224316546,0.5463917525773195,ENT
0.65,83,-0.001213847244769868,0.5542168674698795,ENT
0.675,70,-0.0015113159899097174,0.5714285714285714,ENT
0.7,43,0.003270041433498245,0.627906976744186,ENT
0.725,32,0.0075319309749874944,0.65625,ENT
0.75,25,0.002217046251793175,0.52,ENT
0.775,27,0.0005559053004219354,0.4444444444444444,ENT
0.8,29,0.002849835494946533,0.5172413793103449,ENT
0.825,22,0.007393450897348477,0.5909090909090909,ENT
0.85,20,0.009713926869460607,0.65,ENT
0.875,19,0.010453000523472806,0.6842105263157895,ENT
0.9,17,0.012592013358514516,0.7058823529411765,ENT
0.925,11,0.020214321308487965,0.9090909090909091,ENT
0.95,1,0.016746356316793713,1.0,ENT
0.975,0,,,ENT
1.0,0,,,ENT
0.0,107,-5.689223108625684e-06,0.0,ENTn
0.025,141,0.0003045087310279375,0.06382978723404255,ENTn
0.05,151,0.0003206372064460684,0.09933774834437085,ENTn
0.075,164,0.0009718602697381678,0.1524390243902439,ENTn
0.1,73,0.002704288202029048,0.4520547945205479,ENTn
0.125,79,0.002688346068902761,0.4936708860759494,ENTn
0.15,85,0.002254828236954931,0.5411764705882353,ENTn
0.175,62,0.0038095684590512195,0.7419354838709677,ENTn
0.2,69,0.00292949330138048,0.6666666666666666,ENTn
