panel,target,h,B,seed,window,SE,t,p2,mean,lo,hi,fail_share,n
U56,0.12,0.25,5,11,OOS,0.017707106101792675,1.6224876306351466,0.0975,0.028783602408764986,-0.007444081716794213,0.06199156896617689,0.0535,4000
U56,0.12,0.25,5,22,OOS,0.01800003570222835,1.5960835355979939,0.098,0.028702224145499913,-0.007509641006917177,0.06311508270915621,0.06,4000
U56,0.12,0.25,5,33,OOS,0.01752814345722232,1.6390532571015088,0.0895,0.02823575908189303,-0.006922830941239196,0.0619260391552653,0.05625,4000
U56,0.12,0.25,10,11,OOS,0.01735829667301598,1.6550910014784892,0.0975,0.028856298558199708,-0.005277340922199603,0.06231265792548219,0.048,4000
U56,0.12,0.25,10,22,OOS,0.017325203834371635,1.6582523876288195,0.091,0.028616663005996308,-0.0068314625029337345,0.06238726738928044,0.05325,4000
U56,0.12,0.25,10,33,OOS,0.017229343706038854,1.6674785247004553,0.087,0.02823730311329126,-0.00514956554776063,0.06122936489128382,0.05075,4000
U56,0.12,0.25,21,11,OOS,0.016849140266801583,1.7051054338427905,0.0795,0.028681867723339104,-0.005108520043818013,0.059943771429324756,0.047,4000
U56,0.12,0.25,21,22,OOS,0.017107831438803345,1.6793221705083805,0.071,0.028459940939602264,-0.006402276460664877,0.05964506842522646,0.051,4000
U56,0.12,0.25,21,33,OOS,0.017333571576331565,1.6574518700884493,0.079,0.028521913347257268,-0.007131860452998401,0.05988456805616324,0.05575,4000
U56,0.12,0.25,63,11,OOS,0.015513009981380494,1.8519655862392552,0.05,0.028556630603971775,-0.004775242663071427,0.057152831807646264,0.0395,4000
U56,0.12,0.25,63,22,OOS,0.015214127705722807,1.8883475398787466,0.051,0.02866475134681933,-0.0020032326880772542,0.05750308236911811,0.034,4000
U56,0.12,0.25,63,33,OOS,0.015460867688273996,1.8582114020865812,0.055,0.028125126225310083,-0.003244188592999266,0.057625174249122904,0.0365,4000
U56,0.12,0.25,126,11,OOS,0.013630456603170558,2.1077474849830056,0.0385,0.02857335753296752,0.0006333292027674039,0.0555982745384586,0.02275,4000
U56,0.12,0.25,126,22,OOS,0.013484564530864818,2.1305516065234182,0.031,0.02877230329112983,0.0008977555057386195,0.05448688991327513,0.021,4000
U56,0.12,0.25,126,33,OOS,0.013709136158751998,2.0956506881114905,0.0295,0.02848330665359191,0.000580798493433665,0.05458609735665865,0.023,4000
