window,family_set,leg_split,eps,n,n_pred,n_tie,P_pred_given_tie,P_tie_given_pred,accuracy,false_neg,false_pos,exact
FULL,ALL,EPISODE,0.0,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,EPISODE,1e-12,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,EPISODE,1e-06,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,EPISODE,0.0001,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,EPISODE,0.001,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,DECLINE,0.0,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE,1e-12,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE,1e-06,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE,0.0001,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE,0.001,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,RECOVERY,0.0,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,RECOVERY,1e-12,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,RECOVERY,1e-06,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,RECOVERY,0.0001,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,RECOVERY,0.001,246,24,90,0.26666666666666666,1.0,0.7317073170731707,66,0,False
FULL,ALL,DECLINE+COST,0.0,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE+COST,1e-12,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE+COST,1e-06,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE+COST,0.0001,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
FULL,ALL,DECLINE+COST,0.001,246,93,90,1.0,0.967741935483871,0.9878048780487805,0,3,False
PRE20,ALL,EPISODE,0.0,219,45,48,0.9375,1.0,0.9863013698630136,3,0,False
PRE20,ALL,EPISODE,1e-12,219,45,48,0.9375,1.0,0.9863013698630136,3,0,False
PRE20,ALL,EPISODE,1e-06,219,45,48,0.9375,1.0,0.9863013698630136,3,0,False
PRE20,ALL,EPISODE,0.0001,219,45,48,0.9375,1.0,0.9863013698630136,3,0,False
PRE20,ALL,EPISODE,0.001,219,45,48,0.9375,1.0,0.9863013698630136,3,0,False
PRE20,ALL,DECLINE,0.0,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE,1e-12,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE,1e-06,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE,0.0001,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE,0.001,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,RECOVERY,0.0,219,72,48,0.9375,0.625,0.863013698630137,3,27,False
PRE20,ALL,RECOVERY,1e-12,219,72,48,0.9375,0.625,0.863013698630137,3,27,False
PRE20,ALL,RECOVERY,1e-06,219,72,48,0.9375,0.625,0.863013698630137,3,27,False
PRE20,ALL,RECOVERY,0.0001,219,72,48,0.9375,0.625,0.863013698630137,3,27,False
PRE20,ALL,RECOVERY,0.001,219,72,48,0.9375,0.625,0.863013698630137,3,27,False
PRE20,ALL,DECLINE+COST,0.0,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE+COST,1e-12,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE+COST,1e-06,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE+COST,0.0001,219,48,48,1.0,1.0,1.0,0,0,True
PRE20,ALL,DECLINE+COST,0.001,219,48,48,1.0,1.0,1.0,0,0,True
E2011,ALL,EPISODE,0.0,213,39,42,0.9285714285714286,1.0,0.9859154929577465,3,0,False
E2011,ALL,EPISODE,1e-12,213,39,42,0.9285714285714286,1.0,0.9859154929577465,3,0,False
E2011,ALL,EPISODE,1e-06,213,39,42,0.9285714285714286,1.0,0.9859154929577465,3,0,False
E2011,ALL,EPISODE,0.0001,213,39,42,0.9285714285714286,1.0,0.9859154929577465,3,0,False
E2011,ALL,EPISODE,0.001,213,39,42,0.9285714285714286,1.0,0.9859154929577465,3,0,False
E2011,ALL,DECLINE,0.0,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE,1e-12,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE,1e-06,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE,0.0001,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE,0.001,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,RECOVERY,0.0,213,66,42,0.9285714285714286,0.5909090909090909,0.8591549295774648,3,27,False
E2011,ALL,RECOVERY,1e-12,213,66,42,0.9285714285714286,0.5909090909090909,0.8591549295774648,3,27,False
E2011,ALL,RECOVERY,1e-06,213,66,42,0.9285714285714286,0.5909090909090909,0.8591549295774648,3,27,False
E2011,ALL,RECOVERY,0.0001,213,66,42,0.9285714285714286,0.5909090909090909,0.8591549295774648,3,27,False
E2011,ALL,RECOVERY,0.001,213,66,42,0.9285714285714286,0.5909090909090909,0.8591549295774648,3,27,False
E2011,ALL,DECLINE+COST,0.0,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE+COST,1e-12,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE+COST,1e-06,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE+COST,0.0001,213,42,42,1.0,1.0,1.0,0,0,True
E2011,ALL,DECLINE+COST,0.001,213,42,42,1.0,1.0,1.0,0,0,True
E2015,ALL,EPISODE,0.0,168,24,33,0.7272727272727273,1.0,0.9464285714285714,9,0,False
E2015,ALL,EPISODE,1e-12,168,24,33,0.7272727272727273,1.0,0.9464285714285714,9,0,False
E2015,ALL,EPISODE,1e-06,168,24,33,0.7272727272727273,1.0,0.9464285714285714,9,0,False
E2015,ALL,EPISODE,0.0001,168,24,33,0.7272727272727273,1.0,0.9464285714285714,9,0,False
E2015,ALL,EPISODE,0.001,168,24,33,0.7272727272727273,1.0,0.9464285714285714,9,0,False
E2015,ALL,DECLINE,0.0,168,39,33,1.0,0.8461538461538461,0.9642857142857143,0,6,False
E2015,ALL,DECLINE,1e-12,168,39,33,1.0,0.8461538461538461,0.9642857142857143,0,6,False
E2015,ALL,DECLINE,1e-06,168,39,33,1.0,0.8461538461538461,0.9642857142857143,0,6,False
