panel,gbin,nB,nN,pB,pN,cB,cN,dB,dN
B136,0.1,4,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.15000000000000002,4,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.2,1,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.25,4,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.35000000000000003,4,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.4,3,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.45,4,4,0.0,0.0,0.0,0.0,1.0,1.0
B136,0.5,4,4,0.0,0.0,0.0,0.0,0.75,1.0
B136,0.55,1,4,0.0,0.0,0.0,0.0,0.0,1.0
B136,0.6000000000000001,4,4,0.0,0.25,0.0,1.0,0.75,0.25
B136,0.65,3,4,0.0,0.0,0.0,1.0,1.0,0.0
B136,0.7000000000000001,4,4,0.25,0.0,0.5,1.0,0.5,0.0
SMALL,0.05,4,4,0.0,0.0,0.0,0.0,1.0,1.0
SMALL,0.1,4,4,0.0,0.0,0.0,0.0,1.0,1.0
SMALL,0.15000000000000002,2,4,0.0,0.0,0.0,0.0,1.0,1.0
SMALL,0.2,4,4,0.0,0.0,0.0,0.0,1.0,1.0
SMALL,0.25,4,4,0.0,0.0,0.0,0.0,1.0,1.0
SMALL,0.30000000000000004,4,4,0.0,0.0,0.0,0.0,1.0,1.0
SMALL,0.35000000000000003,4,4,0.0,0.0,0.0,0.0,0.75,1.0
SMALL,0.4,2,4,0.0,0.0,0.0,0.0,1.0,0.75
SMALL,0.45,4,4,0.0,0.0,0.0,0.0,0.75,0.25
SMALL,0.5,4,4,0.0,0.0,0.0,0.0,0.75,0.0
SMALL,0.55,4,4,0.0,0.0,0.0,0.0,0.5,0.0
U56,0.1,4,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.15000000000000002,4,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.25,4,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.35000000000000003,4,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.4,4,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.45,3,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.5,4,4,0.0,0.0,0.0,0.0,1.0,1.0
U56,0.55,1,4,0.0,0.0,0.0,0.0,0.0,1.0
U56,0.6000000000000001,4,4,0.0,0.25,0.0,0.25,0.75,1.0
U56,0.65,3,4,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0
U56,0.7000000000000001,4,4,0.75,0.0,1.0,1.0,0.75,0.0
