instr,floor,share_floor,names,rate,adv_p25,adv_p50,kappa,kappa50,turnover,mean_names,nreb,partic_ref
DV,0.0,,347.9115404168785,1.0,1353336.7175,4587515.605,1.761731413304279e-08,5.197182992466025e-09,24.77461737435308,19.879481311975592,52.270462633451956,0.17617314133042788
DV,250000.0,,302.3136756481952,0.8689383378486195,2069238.25,5487125.375,1.1271682870493294e-08,4.250640498166952e-09,24.186387136838256,19.838799898296465,52.270462633451956,0.11271682870493295
DV,500000.0,,281.07066598881545,0.8078796858880501,2425558.445,5925865.675,9.412479076552294e-09,3.8526891031017536e-09,23.660300550735602,19.82659547419273,52.270462633451956,0.09412479076552294
DV,1000000.0,,252.0950686324352,0.7245953046868379,3063036.0,6618310.0600000005,7.272928125460149e-09,3.3660013616371654e-09,23.051681786957513,19.79633867276888,52.270462633451956,0.07272928125460149
DV,2000000.0,,212.63472292831725,0.6111746758199847,4293917.225,8119299.545,5.0169531746697505e-09,2.6532315422454184e-09,22.251766455531882,19.761250953470633,52.270462633451956,0.050169531746697506
DV,5000000.0,,141.44687341128622,0.40655987795575893,7678238.077500001,12315398.745000001,2.490761019385944e-09,1.552905959197334e-09,19.584800982363113,19.63970400612401,52.1423487544484,0.02490761019385944
DV,10000000.0,,86.19013726487036,0.24773578123219092,13460387.25,19530471.53,1.326927805124434e-09,9.145177105597212e-10,17.60023611149725,18.89831374552887,52.1423487544484,0.01326927805124434
DV,20000000.0,,43.58896797153025,0.1252875024476066,25055228.86515,33120379.165,9.192815506548306e-10,6.954271123655104e-10,17.877622073876648,14.922466734902764,52.01423487544484,0.009192815506548307
VOLSH,0.0,0.0,347.9115404168785,1.0,1353336.7175,4587515.605,1.761731413304279e-08,5.197182992466025e-09,24.77461737435308,19.879481311975592,52.270462633451956,0.17617314133042788
VOLSH,250000.0,22150.000000009662,302.25953228266394,0.8687827139062048,2290980.5075000003,5796280.0,1.0117722996314122e-08,3.999031476195103e-09,24.046617556577367,19.84693618103229,52.270462633451956,0.10117722996314123
VOLSH,500000.0,39125.00000000652,281.07015760040673,0.807878224630375,2776206.33,6375400.705,8.22395611608726e-09,3.5811708288732056e-09,23.659696310089036,19.825324180015254,52.270462633451956,0.08223956116087261
VOLSH,1000000.0,69649.99999998778,252.13167259786476,0.7247005152394563,3535832.2225,7405852.0,6.337373033430158e-09,3.025700186501826e-09,23.185679454500548,19.795321637426902,52.270462633451956,0.06337373033430158
VOLSH,2000000.0,118050.00000000288,212.61642094560244,0.6111220705436755,4693560.5,9346435.865,4.564359007362495e-09,2.2921138554001964e-09,22.121433929179016,19.75489448258327,52.270462633451956,0.04564359007362495
VOLSH,5000000.0,267450.0000000135,141.44128113879003,0.4065438041213311,7554870.0,13883372.5,2.552626842639162e-09,1.3890547094842644e-09,19.634511870437837,19.478227654698244,52.270462633451956,0.02552626842639162
VOLSH,10000000.0,508699.99999998417,86.1952211489578,0.24775039380894348,10322365.71,19438217.4,1.8630323075723424e-09,9.89334588279012e-10,18.433669217339794,18.42849833717063,52.01423487544484,0.018630323075723425
VOLSH,20000000.0,1017699.9999999881,43.59074733096085,0.12529261684947,16021117.5,27556976.775,1.9679629096180136e-09,1.1441373002584053e-09,19.590870418767995,11.945980542754736,52.01423487544484,0.019679629096180137
