cost,menu,pick_key,pick_dir,pick_m,Sharpe_IS,CAGR_OOS,Sharpe_OOS,MaxDD_OOS,beats_ctrl_OOS,beats_v2_OOS,beats_v1_OOS,beats_SPY_OOS
0.0,LEGC,MCAP,NEG,1.0,1.0961352424122073,0.2870713122767037,1.7056136753869302,-0.24699902584679245,True,True,True,True
0.0,RECORD,PRICE,NEG,1.0,0.9368317201273654,0.2190743002245461,1.2516298651656366,-0.2793886118413771,True,True,True,True
0.0,ALL,MCAP,NEG,1.0,1.0961352424122073,0.2870713122767037,1.7056136753869302,-0.24699902584679245,True,True,True,True
0.0,NOTILT,CONTROL,-,0.0,0.5612779809411365,0.08566430948204973,0.5586952001802371,-0.2423962364728649,False,False,False,False
10.0,LEGC,MCAP,NEG,1.0,0.9630423030363326,0.2630870753496335,1.5840565642669804,-0.24873813962762126,True,True,True,True
10.0,RECORD,PRICE,NEG,1.0,0.8141230438838017,0.19474855367808885,1.1328372680902652,-0.28094949216687526,True,True,True,True
10.0,ALL,MCAP,NEG,1.0,0.9630423030363326,0.2630870753496335,1.5840565642669804,-0.24873813962762126,True,True,True,True
10.0,NOTILT,CONTROL,-,0.0,0.44758924621796,0.06233669377076123,0.4341506687342858,-0.2589604512573592,False,False,False,False
25.0,LEGC,MCAP,NEG,1.0,0.7633717946904129,0.22792801719642886,1.4010692051060405,-0.25134132764496064,True,True,True,True
25.0,RECORD,PRICE,NEG,1.0,0.6301029607411551,0.15914758674174156,0.9542224720152657,-0.2832861466458867,True,True,True,True
25.0,ALL,MCAP,NEG,1.0,0.7633717946904129,0.22792801719642886,1.4010692051060405,-0.25134132764496064,True,True,True,True
25.0,NOTILT,CONTROL,-,0.0,0.2769235196688384,0.028262395320093336,0.24719708055875728,-0.35091869783519836,False,False,True,False
