panel,window,popn,proxy,n,dd_pass,beta_pass,agree,TP,FP,FN,TN,beta_star,best_agree,spearman,n_pairs,n_disagree,pair_disagree,max_dMaxDD_in_pair
U56,FULL,ALL,FULL,112,85,96,0.9017857142857143,85,11,0,16,0.536079516349917,0.9375,-0.9474797291501242,357,36,0.10084033613445378,0.08714603557108469
U56,FULL,ALL,DOWN,112,85,96,0.9017857142857143,85,11,0,16,0.5191217898466874,0.9464285714285714,-0.9487784249152575,387,40,0.10335917312661498,0.11406629863386075
U56,FULL,ALL,ROLL,112,85,81,0.9285714285714286,79,2,6,25,0.6170464313621449,0.9642857142857143,-0.9586621336761084,441,20,0.045351473922902494,0.080920142840339
U56,FULL,ALL,MAXROLL,112,85,64,0.8125,64,0,21,27,0.6938325759064219,0.9375,-0.9451508163012908,582,42,0.07216494845360824,0.09687562016822349
U56,FULL,ALL,EWMA,112,85,89,0.9285714285714286,83,6,2,21,0.578710098667072,0.9553571428571429,-0.9542338015339265,384,31,0.08072916666666667,0.11192390826963783
U56,FULL,ALL,SEMI,112,85,96,0.9017857142857143,85,11,0,16,0.5351032574017005,0.9553571428571429,-0.9552291834854925,367,32,0.08719346049046321,0.08714603557108469
U56,FULL,ALL,TAIL10,112,85,98,0.8839285714285714,85,13,0,14,0.4916023081689422,0.9464285714285714,-0.8963094071936516,417,25,0.05995203836930456,0.10694674663347059
U56,FULL,ALL,HIVOL,112,85,98,0.8839285714285714,85,13,0,14,0.5183844389648946,0.9107142857142857,-0.8831045762396145,385,50,0.12987012987012986,0.15640876609523324
U56,FULL,ALL,SPYDD,112,85,94,0.9196428571428571,85,9,0,18,0.4252897634993468,0.9375,-0.962464846908888,479,31,0.06471816283924843,0.10138790907591144
U56,FULL,ALL,SPYDD10,112,85,101,0.8571428571428571,85,16,0,11,0.5309473285724595,0.9285714285714286,-0.8589590878694373,374,38,0.10160427807486631,0.17789796047364037
U56,FULL,ALL,DDWIN,64,45,48,0.953125,45,3,0,16,0.5709428895719868,0.984375,-0.9681737383726593,211,21,0.0995260663507109,0.12012342369045381
U56,FULL,DDSUB,FULL,64,45,54,0.859375,45,9,0,10,0.5055829144591377,0.984375,-0.9830128180941499,130,9,0.06923076923076923,0.05877332265111235
U56,FULL,DDSUB,DOWN,64,45,54,0.859375,45,9,0,10,0.4546438601734518,0.953125,-0.9805386195727633,124,6,0.04838709677419355,0.06653107636498767
U56,FULL,DDSUB,ROLL,64,45,46,0.984375,45,1,0,18,0.5513325224244019,1.0,-0.9959565418402916,146,0,0.0,0.025059415915084426
U56,FULL,DDSUB,MAXROLL,64,45,40,0.921875,40,0,5,19,0.683609581607932,1.0,-0.9852255530876027,171,0,0.0,0.04623613425308437
U56,FULL,DDSUB,EWMA,64,45,49,0.9375,45,4,0,15,0.5254769237272452,0.984375,-0.9878924874002175,122,2,0.01639344262295082,0.06653107636498767
U56,FULL,DDSUB,SEMI,64,45,54,0.859375,45,9,0,10,0.5138607457965648,0.984375,-0.9859222922813358,122,3,0.02459016393442623,0.06653107636498767
U56,FULL,DDSUB,TAIL10,64,45,52,0.890625,45,7,0,12,0.4819581389240293,0.9375,-0.9654185174976244,119,6,0.05042016806722689,0.09145500798411055
U56,FULL,DDSUB,HIVOL,64,45,56,0.828125,45,11,0,8,0.4364176523679515,0.9375,-0.9586373808093802,146,15,0.10273972602739725,0.07070403159981187
U56,FULL,DDSUB,SPYDD,64,45,46,0.984375,45,1,0,18,0.596567418274249,0.984375,-0.9739585397305386,205,3,0.014634146341463415,0.10138790907591144
U56,FULL,DDSUB,SPYDD10,64,45,56,0.828125,45,11,0,8,0.43440702012731114,0.9375,-0.9620279491535025,137,13,0.0948905109489051,0.07070403159981187
U56,FULL,DDSUB,DDWIN,64,45,48,0.953125,45,3,0,16,0.5709428895719868,0.984375,-0.9681737383726593,211,21,0.0995260663507109,0.12012342369045381
U56,IS,ALL,FULL,112,92,95,0.8839285714285714,87,8,5,12,0.6809402326315888,0.9107142857142857,-0.9343777844921749,394,31,0.07868020304568528,0.09873587798666195
U56,IS,ALL,DOWN,112,92,97,0.8660714285714286,87,10,5,10,0.6590510672252974,0.9107142857142857,-0.9033904063673197,389,34,0.08740359897172237,0.08704862963740434
U56,IS,ALL,ROLL,112,92,81,0.8839285714285714,80,1,12,19,0.6458020977457954,0.9910714285714286,-0.974168417051197,494,6,0.012145748987854251,0.06298237249224103
U56,IS,ALL,MAXROLL,112,92,68,0.7857142857142857,68,0,24,20,0.8058295962790789,0.9821428571428571,-0.9640973051319883,584,22,0.03767123287671233,0.09967950601337472
