run,vintage,NAMED,ECHOED,SUM,MAXLEG,CTRL,n_head,n_narrative
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_B,2026-09-06,2,581,583,581,2,500,2
2026-09-11_restate-the-KEEP-4b-CANDIDATE-against-a-GROSS-MATCHED-gated-equal-weight-book_cloud,2026-09-11,0,571,571,571,1,65,1
2026-09-09_does-the-DRAWDOWN-a-vol-cap-BUYS-ever-clear-the-4b-DD-LEG-on-its-own_C,2026-09-09,1,562,563,562,2,61,2
2026-09-07_is-TURNOVER-not-COUNT-the-real-n-dial_cloud,2026-09-07,1,557,558,557,1,43,2
2026-09-06_point-in-time-megacap-panel_B,2026-09-06,0,554,554,554,1,460,1
2026-09-09_price-the-DRAWDOWN-PATH-artefact-class_B,2026-09-09,35,515,550,515,3,89,1
2026-09-06_trend-filter-by-market-cap_B,2026-09-06,4,540,544,540,2,48,1
2026-09-05_where-does-the-POS-tilt-stop-transferring_C,2026-09-05,0,541,541,541,2,31,2
2026-09-10_does-the-live-4b-candidate-beat-its-own-EWall-at-25-bps-on-any-panel_cloud,2026-09-10,1,540,541,540,2,47,1
2026-09-06_vol20-gate-in-isolation_cloud,2026-09-06,1,539,540,539,2,47,2
2026-09-07_is-a-class-member-just-its-own-ladder-point_B2,2026-09-07,13,527,540,527,3,27,2
2026-09-10_re-read-every-chooser-result-on-the-OOS-RANK-of-its-constant-arm_B,2026-09-10,1,535,536,535,2,23,1
2026-09-05_defensive-class-census_B,2026-09-05,5,530,535,530,3,43,2
2026-09-10_is-the--0,2026-09-10,1,532,533,532,3,107,2
2026-09-06_the-anchor-position-column_B,2026-09-06,0,533,533,533,1,45,3
2026-09-06_monthly-r6-top20-as-a-single-hypothesis_cloud,2026-09-06,1,532,533,532,1,59,2
2026-09-07_does-the-BAND-earn-its-keep-on-a-held-out-panel_C,2026-09-07,0,531,531,531,1,44,1
2026-09-11_how-many-of-the-record-s-46-STRUCTURAL-gates-are-CROSS-PANEL-VINTAGE-tests_B,2026-09-11,2,528,530,528,3,91,1
2026-09-07_sleeve-moves-the-frontier_cloud,2026-09-07,0,530,530,530,1,40,2
2026-09-08_is-the-top-decile-trim-a-drop-the-worst-rule_B,2026-09-08,1,528,529,528,3,85,1
2026-09-08_is-LEAK-a-general-tax-on-every-published-per-armed-day-number_cloud,2026-09-08,1,527,528,527,3,35,2
2026-09-06_back-fill-the-breakeven-column-arithmetically_B,2026-09-06,0,526,526,526,1,29,1
2026-09-07_is-it-gold-or-any-real-asset_cloud,2026-09-07,0,525,525,525,2,45,1
2026-09-05_is-4b-internally-consistent-at-any-vol_cloud,2026-09-05,0,522,522,522,1,41,1
2026-09-07_price-the-no-trade-BANDs-DRAWDOWN-TAX-across-the-record_B,2026-09-07,2,518,520,518,3,38,1
2026-09-06_does-any-dial-argmax-move-with-cost_C,2026-09-06,10,510,520,510,3,27,1
2026-09-11_how-many-of-the-60-rc-0-scripts-SILENTLY-changed-their-own-published-numbers_B,2026-09-11,2,517,519,517,2,29,1
2026-09-08_is-the-top-decile-trim-a-drop-the-worst-rule_cloud,2026-09-08,0,518,518,518,1,42,1
2026-09-09_restate-every-published-4a-count-against-the-LIVE-book_cloud,2026-09-09,0,516,516,516,2,71,1
2026-09-09_is-the-UNCONDITIONAL-width-dial-a-B136-fact-or-a-panel-ordering_B,2026-09-09,4,512,516,512,3,34,1
2026-09-09_name-level-fixed-effects_B,2026-09-09,3,511,514,511,3,77,1
2026-09-09_is-the-panel-ordering-an-ETF-SHARE-effect_B,2026-09-09,12,502,514,502,3,45,1
2026-09-07_does-the-ceiling-invert-BECAUSE-of-de-grossing_cloud,2026-09-07,0,514,514,514,1,32,1
2026-09-07_is-a-class-member-just-its-own-ladder-point_cloud,2026-09-07,1,512,513,512,2,21,1
2026-09-06_band-gate-on-small-panel_B,2026-09-06,6,506,512,506,2,43,1
2026-09-10_put-a-ROW-ID-on-every-artefact-that-RE-READS-another-artefact_C,2026-09-10,0,511,511,511,2,51,1
2026-09-05_do-gross-choice-rules-lose-to-constants-in-general_C,2026-09-05,13,496,509,496,1,26,2
2026-09-08_the-013-margin-rule_cloud,2026-09-08,0,508,508,508,1,31,1
2026-09-09_does-a-random-sub-panel-pass-4b-because-the-CAGR-floor-moves_B,2026-09-09,2,505,507,505,2,27,1
2026-09-09_does-4b-discriminate-ANYTHING-on-gross-scalar-books_cloud,2026-09-09,33,474,507,474,3,30,1
2026-09-09_does-one-dispersion-number-really-out-predict-136-name-dummies_C,2026-09-09,6,500,506,500,2,92,1
