artifact,commit,commit_iso,stamp_level,stamp_how,git_recoverable,n_files_at,n_fail_at,n_files_parent,n_fail_parent,n_csv_at,n_csv_parent,self_inclusion_csv,self_inclusion_files,self_inclusion_fail,drift_files,drift_fail
2026-09-05_does-a-null-column-change-any-published-verdict_cloud.census.csv,218051c7,2026-09-05T17:36:56+00:00,L1_COUNT,count-in-text,True,31,14712,31,14712,420,413,7,0,0,13.709677419354838,59.940660685154974
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.census.csv,5e1b3fa1,2026-09-05T06:58:16+00:00,L1_COUNT,count-in-text,True,5,1617,5,1617,187,183,4,0,0,90.2,553.4582560296845
2026-09-05_is-the-book-size-floor-a-corpus-wide-clause_C.census.csv,654e24d9,2026-09-05T22:51:07+00:00,L1_COUNT,count-in-text,True,49,36704,48,36348,513,507,6,1,356,8.306122448979592,23.42673823016565
2026-09-05_is-the-defensive-class-one-book_cloud.census.csv,0d13e4ee,2026-09-05T07:15:06+00:00,L1_COUNT,count-in-text,True,8,2710,5,1617,198,194,4,3,1093,56.0,329.83357933579333
2026-09-05_is-the-ladder-endpoint-a-general-selector-artefact_cloud.census.csv,c6f979a3,2026-09-05T17:10:47+00:00,L0_NONE,-,True,31,14712,31,14712,408,402,6,0,0,13.709677419354838,59.940660685154974
2026-09-05_required-gross-as-a-leaderboard-column_cloud.census.csv,c106b83a,2026-09-05T15:38:17+00:00,L0_NONE,-,True,26,8218,26,8218,376,366,10,0,0,16.53846153846154,108.09698223412022
2026-09-06_back-fill-the-breakeven-column-arithmetically_cloud.census.csv,e04d651b,2026-09-06T12:01:45+00:00,L1_COUNT,count-in-text,True,109,225759,108,225340,786,781,5,1,419,3.18348623853211,2.971310113882503
2026-09-06_does-any-dial-argmax-move-with-cost_C.census.csv,903636cb,2026-09-06T04:34:47+00:00,L0_NONE,-,True,87,211851,86,211198,648,643,5,1,653,4.241379310344827,3.2320262826231643
2026-09-06_does-the-drawdown-phase-control-belong-on-every-cadence-row_C.census.csv,05e1f7c9,2026-09-06T16:39:16+00:00,L1_COUNT,count-in-text,True,120,227985,119,227112,884,880,4,1,873,2.8,2.932535035199684
2026-09-06_does-the-sharpe-cagr-reversal-sit-under-every-EWall-claim_C.census.csv.gz,f6f838cf,2026-09-06T11:50:10+00:00,L1_COUNT,count-in-text,True,106,224502,106,224502,776,771,5,0,0,3.30188679245283,2.993545714514793
2026-09-06_every-published-reach-is-a-ladder-edge_C.census.csv,af401c50,2026-09-06T08:49:16+00:00,L0_NONE,-,True,99,220826,98,220601,729,723,6,1,225,3.606060606060606,3.0600246347803246
2026-09-06_how-many-published-gate-claims-are-flat-in-gross_cloud.census.csv,67c988e1,2026-09-06T16:54:38+00:00,L1_COUNT,count-in-text,True,120,227985,120,227985,890,884,6,0,0,2.8,2.932535035199684
2026-09-06_is-breadth-a-small-cap-dummy-everywhere-in-the-record_cloud.census.csv,78ab84b6,2026-09-06T18:49:12+00:00,L1_COUNT,count-in-text,True,122,228551,122,228551,933,929,4,0,0,2.737704918032787,2.9227962249126014
2026-09-06_is-cadence-the-only-cost-chooser-on-other-books_cloud.census.csv,e9762b4a,2026-09-06T04:49:30+00:00,L0_NONE,-,True,88,213594,87,211851,653,648,5,1,1743,4.181818181818182,3.197491502570297
2026-09-06_is-the-1bp-breakeven-general-to-the-records-null-arms_C.census.csv,abd6c88f,2026-09-06T11:05:18+00:00,L1_COUNT,count-in-text,True,106,224502,104,222211,771,765,6,2,2291,3.30188679245283,2.993545714514793
2026-09-06_publish-the-cash-carve-out-beside-every-sleeve-MaxDD_C.census.csv,9c792ef0,2026-09-06T04:02:42+00:00,L1_COUNT,count-in-text,True,82,171114,82,171114,632,627,5,0,0,4.560975609756097,4.239542059679512
