form,family,n,cadence,gross,CAGR,Sharpe,MaxDD,H1,H2,IS_Sharpe,IS_CAGR,IS_MaxDD,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,turnover,dH1,dH2,dOOS,L_H1,L_H2,L_OOS,L_DD,L_CAGR,fail4b,sharpe3,keep4b,keep4a,IS_half_legs
EWall,EWall,,W,0.75,0.1018177783174512,0.678135269658678,-0.3616637358208413,0.7970199840580422,0.6139801956312066,0.7737298887497327,0.10331123381065299,-0.21882785690658313,0.10089643214031607,0.6366624355474833,-0.36166373582084044,1.7409003477225007,-0.09364214166193963,-0.24372597110588057,-0.2453480655030248,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
MA-RS,MA-RS,,W,0.75,0.06478682046825734,0.5033872943946726,-0.38239943767382534,0.49768164644656343,0.5177740654303229,0.44644038405104564,0.050305673513820315,-0.20539528479235092,0.07382991597741184,0.535474046054103,-0.3823994376738248,10.338000682036554,-0.3929804792734184,-0.3399321013067643,-0.34653645499640506,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
MA-DG,MA-DG,,W,0.75,0.035584750244263,0.5395195187479797,-0.14270715775313225,0.5239945844696813,0.5554248655384679,0.5211972703196115,0.03310944026882057,-0.1151665941764054,0.03711646003531155,0.5504275280301453,-0.1427071577531348,3.7117495532923597,-0.36666754125030054,-0.3022813011986193,-0.33158297302036277,False,False,False,True,False,"H1,H2,OOS,CAGR",False,False,False,False
TOP5,TOP,5.0,W,0.75,0.18181429989771702,0.6761895365703602,-0.39834502558763185,0.812512907040452,0.604574735573747,0.5268852604766645,0.10556916617362999,-0.36193113542516375,0.2315071867391143,0.7537854033359582,-0.3983450255876291,21.54156381227965,-0.07814921867952984,-0.25313143116334025,-0.12822509771454982,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
TOP10,TOP,10.0,W,0.75,0.15439048561469937,0.7001916071271207,-0.35241599900169707,0.8855085192024778,0.5965779897233578,0.7089234502988422,0.12839603438383684,-0.22700996452505373,0.17074287406791844,0.7082690314118363,-0.3524159990016966,19.02920036231405,-0.005153606517504072,-0.26112817701372937,-0.17374146963867176,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
TOP15,TOP,15.0,W,0.75,0.1600974619584019,0.7798036376374775,-0.3111953206023689,0.9910820909622303,0.6627751662165845,0.8089026015704162,0.1365966569495669,-0.19812138380849598,0.1748536134165879,0.7792582496209539,-0.31119532060236943,16.840847757761527,0.1004199652422485,-0.19493100052050272,-0.10275225142955413,True,False,False,False,True,"H2,OOS,DD",False,False,False,False
TOP20,TOP,20.0,W,0.75,0.1425797903509014,0.7515803023959661,-0.30792765723322213,0.8613879873763343,0.7001972257355461,0.6892371946288659,0.10591079494894085,-0.1710007960320017,0.16583130624158526,0.7910468371130291,-0.3079276572332219,16.321805990037504,-0.02927413834364756,-0.15750894100154111,-0.0909636639374789,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
TOP30,TOP,30.0,W,0.75,0.11552050823291649,0.6752250075030205,-0.3038502111543151,0.8914682068121265,0.5466205913627882,0.7440010823854473,0.10821722959005742,-0.17428900928326507,0.12005502466637608,0.65259312231679,-0.3038502111543152,15.050907925478295,0.0008060810921446393,-0.31108557537429904,-0.22941737873371804,True,False,False,False,True,"H2,OOS,DD",False,False,False,False
TOP40,TOP,40.0,W,0.75,0.09596270245837624,0.603095377242372,-0.31363024562486264,0.7272838207215162,0.5341130452485809,0.6061659857735807,0.08165987914480266,-0.18810735366934483,0.10489042012760308,0.6091249124665574,-0.3136302456248625,14.111243059663051,-0.16337830499846562,-0.3235931214885063,-0.2728855885839506,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
TOP60,TOP,60.0,W,0.75,0.08425648365108152,0.5700581377294464,-0.31406844415628987,0.6137920627816207,0.5539110998018996,0.4976460445852279,0.06161283707216092,-0.19476785650643602,0.09848177240593947,0.610662462795859,-0.3140684441562911,12.611235675231129,-0.27687006293836114,-0.30379506693518765,-0.27134803825464904,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
MA5,MA,5.0,W,0.75,0.18181429989771702,0.6761895365703602,-0.39834502558763185,0.812512907040452,0.604574735573747,0.5268852604766645,0.10556916617362999,-0.36193113542516375,0.2315071867391143,0.7537854033359582,-0.3983450255876291,21.54156381227965,-0.07814921867952984,-0.25313143116334025,-0.12822509771454982,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
MA10,MA,10.0,W,0.75,0.15439048561469937,0.7001916071271207,-0.35241599900169707,0.8855085192024778,0.5965779897233578,0.7089234502988422,0.12839603438383684,-0.22700996452505373,0.17074287406791844,0.7082690314118363,-0.3524159990016966,19.02920036231405,-0.005153606517504072,-0.26112817701372937,-0.17374146963867176,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
MA15,MA,15.0,W,0.75,0.1600974619584019,0.7798036376374775,-0.3111953206023689,0.9910820909622303,0.6627751662165845,0.8089026015704162,0.1365966569495669,-0.19812138380849598,0.1748536134165879,0.7792582496209539,-0.31119532060236943,16.840847757761527,0.1004199652422485,-0.19493100052050272,-0.10275225142955413,True,False,False,False,True,"H2,OOS,DD",False,False,False,False
MA20,MA,20.0,W,0.75,0.1414505170009448,0.7466275783797374,-0.30792765723322213,0.8613879873763343,0.691807929363273,0.6892371946288659,0.10591079494894085,-0.1710007960320017,0.16396799049360355,0.7837883608258199,-0.3079276572332219,16.333261168245613,-0.02927413834364756,-0.16589823737381426,-0.09822214022468811,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
MA30,MA,30.0,W,0.75,0.11304873933902604,0.6635754675574416,-0.30089295149733697,0.8914682068121265,0.5265553872104999,0.7440010823854473,0.10821722959005742,-0.17428900928326507,0.11604318931426905,0.6353844481713663,-0.30089295149733686,15.102425311349302,0.0008060810921446393,-0.33115077952658734,-0.24662605287914174,True,False,False,False,True,"H2,OOS,DD",False,False,False,False
MA40,MA,40.0,W,0.75,0.09278791466802616,0.5877999153614055,-0.3111138334657654,0.7272838207215162,0.5072118548261979,0.6061659857735807,0.08165987914480266,-0.18810735366934483,0.09971768652703172,0.586319747414776,-0.31111383346576504,14.21085426871981,-0.16337830499846562,-0.3504943119108893,-0.29569075363573205,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
MA60,MA,60.0,W,0.75,0.07779814522607631,0.5354103350514849,-0.3213570531845401,0.6159742935600765,0.49217702433462096,0.5001169196603821,0.06186591805945163,-0.19400817595258724,0.08775704775060911,0.5578566076098664,-0.3213570531845409,12.92324613357809,-0.27468783215990533,-0.36552914240246626,-0.3241538934406416,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
LOWVOL5,LOWVOL,5.0,W,0.75,0.039099410087188646,0.42612812264865885,-0.30568044076190515,1.0082497032892441,0.0023402399344299627,1.1228311996214984,0.10097839140192266,-0.09345437882476038,0.0026329461009835242,0.0788891234499045,-0.3056804407619046,17.161073085674538,0.1175875775692623,-0.8553659268026572,-0.8031213776006035,True,False,False,False,False,"H2,OOS,DD,CAGR",False,False,False,True
LOWVOL10,LOWVOL,10.0,W,0.75,0.04762037852351364,0.506664146382202,-0.2316753868428263,0.9983998020904047,0.1397028786930287,1.0657097704963763,0.09657080509754357,-0.10582117312476946,0.018486467327885947,0.22297676257836238,-0.23167538684282596,17.35538046899311,0.10773767637042286,-0.7180032880440586,-0.6590337384721456,True,False,False,False,False,"H2,OOS,DD,CAGR",False,False,False,True
LOWVOL15,LOWVOL,15.0,W,0.75,0.04427973583704392,0.46474225767618893,-0.27217747351638344,0.9200321615328885,0.1311685715147857,0.9532777620801426,0.08778272172652679,-0.1204392006138385,0.018285888290557217,0.218037520224283,-0.272177473516383,16.791467908055825,0.029370035812906647,-0.7265375952223015,-0.663972980826225,True,False,False,False,False,"H2,OOS,DD,CAGR",False,False,False,False
LOWVOL20,LOWVOL,20.0,W,0.75,0.03619196023160631,0.38779090985284576,-0.2918708059138072,0.7747318942279476,0.09680574547079428,0.8761809924809693,0.08189718813292601,-0.12256476646478087,0.008934221951156784,0.13564119017829332,-0.29187080591380654,15.916182008634998,-0.11593023149203419,-0.760900421266293,-0.7463693108722147,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
LOWVOL30,LOWVOL,30.0,W,0.75,0.04152245985952674,0.42273018100650545,-0.31889742275265265,0.6967886472291434,0.22514112648512513,0.7534783139520032,0.07150447105856994,-0.13056874308938238,0.023426177025445583,0.25554468554110465,-0.3188974227526523,14.861573487165499,-0.19387347849083847,-0.632565040251962,-0.6264658155094034,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
LOWVOL40,LOWVOL,40.0,W,0.75,0.04393658509184939,0.4326481300907164,-0.3251751420596266,0.6355670645752222,0.2847641439576402,0.6413461788548287,0.06259024833870819,-0.15895034851867296,0.03258004771107603,0.3252667626254746,-0.32517514205962805,14.259163836484502,-0.25509506114475966,-0.5729420227794471,-0.5567437384250334,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
LOWVOL60,LOWVOL,60.0,W,0.75,0.0415728338278365,0.39326515585638666,-0.32564715823997203,0.581451786300286,0.2560661105674226,0.54554765318988,0.055861126551768114,-0.1892705992427527,0.032845153500312696,0.3144177640227084,-0.32564715823997126,13.409200916755735,-0.3092103394196958,-0.6016400561696646,-0.5675927370277997,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
IVOL5,IVOL,5.0,W,0.75,0.12139205725704771,0.5261736684634168,-0.36837824505901395,0.6262097290546598,0.4712174128063276,0.30237830194869586,0.044424680515894766,-0.36365089736667033,0.1717342889675053,0.6322105050216474,-0.3683782450590134,24.888673512238316,-0.26445239666532205,-0.3864887539307596,-0.2497999960288606,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
IVOL10,IVOL,10.0,W,0.75,0.10728212768221512,0.5534961547070665,-0.40909531092017815,0.7647799155245559,0.42387707484177767,0.5743624498622713,0.09440107020526067,-0.22472341766628756,0.11531306967062771,0.552647973827092,-0.40909531092017937,21.834625303791032,-0.1258822101954259,-0.43382909189530955,-0.3293625272234161,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
IVOL15,IVOL,15.0,W,0.75,0.11971120401990332,0.6499351144720661,-0.31773886475876645,0.8835024026372126,0.5074161539672709,0.7080184888452823,0.11130779279737868,-0.18081709036294025,0.12493285046887936,0.6319764922090055,-0.31773886475876634,19.29420668917766,-0.007159723082769243,-0.3502900127698163,-0.2500340088415025,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
IVOL20,IVOL,20.0,W,0.75,0.10116839169925362,0.6008064926089519,-0.3310382925196328,0.7406759405021671,0.5207217602117629,0.5949438478710753,0.08399013039137149,-0.16434351078015497,0.11191337171678417,0.6116392943981162,-0.33103829251963224,18.80695887704353,-0.1499861852178147,-0.33698440652532435,-0.2703712066523919,False,False,False,False,True,"H1,H2,OOS,DD",False,False,False,False
IVOL30,IVOL,30.0,W,0.75,0.08151855874229241,0.5419548129999636,-0.3111535835901741,0.7858342200765579,0.3840009677998915,0.6519525280961701,0.0864219877414889,-0.15742625736768,0.0785012685503701,0.4966964144028027,-0.311153583590175,17.167124623088462,-0.10482790564342392,-0.4737051989371957,-0.38531408664770533,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
IVOL40,IVOL,40.0,W,0.75,0.06179215997258081,0.4522405612326186,-0.3028241201176961,0.6321575942670435,0.3340644476676886,0.5509598835502741,0.06788601066072286,-0.16114530057439702,0.05804598870778488,0.40964822791181765,-0.3028241201176959,16.270254008262683,-0.2585045314529383,-0.5236417190693986,-0.4723622731386904,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
IVOL60,IVOL,60.0,W,0.75,0.05729011958435182,0.4491069010700898,-0.3116663193912984,0.5892973042477369,0.3561492772537627,0.5253624939210483,0.06071868369583533,-0.17160405489885489,0.05517818087013304,0.4153627629729927,-0.3116663193912971,14.551214962038367,-0.30136482147224497,-0.5015568894833244,-0.46664773807751536,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
TRIM5,TRIM,5.0,W,0.75,0.02779704044397957,0.2491557169227614,-0.6344336726600805,0.026783094438660494,0.4130445476100584,-0.2529922816861098,-0.1023567225567279,-0.6344336726600805,0.11744041966131302,0.47667768024927276,-0.6300286688656636,29.94420042617771,-0.8638790312813214,-0.44466161912702884,-0.4053328208012353,False,False,False,False,False,"H1,H2,OOS,DD,CAGR",False,False,False,False
