form,w,param,ord_CAGR,d_ord,y2020,d2020,y2022,d2022
GATE,63,0.5,0.13096141732115307,-0.0327087361715257,0.17960903823606333,0.08446578854025755,-0.10872871446612198,0.0048712342235262
SIZE,63,0.1,0.11564740108655513,-0.04802275240612364,0.2598336074093832,0.16469035771357743,-0.1009459514011869,0.012653997288461283
SIZE,63,0.25,0.12373483107656491,-0.03993532241611386,0.23265596718156,0.13751271748575422,-0.1028048876697939,0.01079506101985428
SIZE,63,0.4,0.1317910359303558,-0.03187911756232298,0.2053283397429153,0.11018509004710952,-0.10476465184642603,0.008835296843222151
SIZE,63,0.5,0.13714367233102487,-0.026526481161653903,0.18704226434425708,0.0918990146484513,-0.10612689182677548,0.007473056862872696
SIZE,63,0.6,0.14248119709351248,-0.021188956399166292,0.1687128762048613,0.07356962650905552,-0.10753350810855089,0.006066440581097288
SIZE,63,0.75,0.1504580574614902,-0.013212096031188558,0.1411575486595611,0.04601429896375531,-0.10972623179357133,0.003873716896076851
SIZE,63,0.9,0.15839809603203392,-0.005272057460644852,0.11355566398471106,0.018412414288905277,-0.11201773551211003,0.0015822131775381498
GATE,126,0.5,0.13161021515991522,-0.03205993833276355,0.21579061181397008,0.12064736211816429,-0.11159619116910657,0.0020037575205416047
SIZE,126,0.1,0.1260750131441264,-0.03759514034855238,0.2671694531882276,0.17202620349242181,-0.10677065043856859,0.006829298251079585
SIZE,126,0.25,0.1324374166270017,-0.03123273686567707,0.2384301382523797,0.1432868885565739,-0.107569317149526,0.006030631540122178
SIZE,126,0.4,0.13876274259907273,-0.02490741089360604,0.20968328713814754,0.11454003744234176,-0.10850432520679287,0.005095623482855305
SIZE,126,0.5,0.1429584606598433,-0.02071169283283547,0.19052773014401114,0.09538448044820536,-0.1092032392277289,0.004396709461919279
SIZE,126,0.6,0.14713684641550095,-0.016533307077177817,0.1713884184807819,0.07624516878497611,-0.10996247826706773,0.0036374704225804466
SIZE,126,0.75,0.15337117318137294,-0.010298980311305828,0.14272647161774077,0.04758322192193498,-0.1112141621733922,0.0023857865162559833
SIZE,126,0.9,0.15956455761476862,-0.004105595877910151,0.11414312637030033,0.018999876674494542,-0.11260080526378513,0.0009991434258630472
GATE,252,0.5,0.15316624907990906,-0.010503904412769716,0.17402277056785653,0.07887952087205075,-0.07267504915412093,0.04092489953552725
SIZE,252,0.1,0.14512530763802522,-0.018544845854653547,0.24132958364351054,0.14618633394770475,-0.09004049793325997,0.02355945075638821
SIZE,252,0.25,0.14834581990520657,-0.015324333587472205,0.21736804076601635,0.12222479107021056,-0.09351265433561406,0.020087294354034113
SIZE,252,0.4,0.15151521135005908,-0.012154942142619696,0.19321153433777583,0.09806828464197004,-0.0971697226978816,0.01643022599176658
SIZE,252,0.5,0.15359945675696407,-0.010070696735714701,0.17701154578575928,0.0818682960899535,-0.09970937450314932,0.01389057418649886
SIZE,252,0.6,0.15566055908206877,-0.00800959441061,0.16074380969694868,0.0656005600011429,-0.10232949570513006,0.01127045298451812
SIZE,252,0.75,0.15870844922180538,-0.0049617042708733905,0.1362314478952178,0.04108819819941201,-0.10640897370231761,0.007190974987330567
SIZE,252,0.9,0.16170331564677531,-0.0019668378459034574,0.11160822536693149,0.016464975671125703,-0.11066536139470873,0.0029345872949394503
GATE,504,0.5,0.15886024764145001,-0.004809905851228757,0.1175937481443059,0.02245049844850011,-0.08676848431627271,0.02683146437337547
SIZE,504,0.1,0.15253187601114093,-0.01113827748153784,0.21576214612732958,0.12061889643152379,-0.0764908963319707,0.037109052357677474
SIZE,504,0.25,0.15450866271579566,-0.009161490776883108,0.19634481252280733,0.10120156282700155,-0.0823513533562179,0.031248595333430274
SIZE,504,0.4,0.15643770154090308,-0.007232451951775687,0.176626078262482,0.08148282856667621,-0.08834567787731729,0.025254270812330892
SIZE,504,0.5,0.15769704669489415,-0.005973106797784622,0.16332284271395725,0.06817959301815146,-0.09241476116382419,0.02118518752582399
SIZE,504,0.6,0.15893493968391792,-0.004735213808760852,0.1499006993382377,0.0547574496424319,-0.09654107117064148,0.0170588775190067
SIZE,504,0.75,0.16075135521280348,-0.00291879827987529,0.1295576893732906,0.03441443967748481,-0.10283581065626146,0.010764138033386716
SIZE,504,0.9,0.16251898690584343,-0.0011511665868353393,0.10898094385201529,0.013837694156209501,-0.10925406835674534,0.004345880332902841
GATE,756,0.5,0.14905365750552946,-0.014616495987149314,0.13958419258991972,0.04444094289411393,-0.07592652147291024,0.03767342721673794
SIZE,756,0.1,0.1482596412844739,-0.015410512208204885,0.2024896450555591,0.10734639535975332,-0.10316723259992666,0.010432716089721517
SIZE,756,0.25,0.15089916086187594,-0.012770992630802835,0.18550404385892572,0.09036079416311993,-0.1047746260560325,0.008825322633615684
SIZE,756,0.4,0.15351050448320502,-0.010159649009473748,0.16813031093800235,0.07298706124219656,-0.1064349964275011,0.007164952262147084
SIZE,756,0.5,0.15523564875964735,-0.008434504733031423,0.15634173583418343,0.06119848613837764,-0.10757118961250745,0.006028759077140733
SIZE,756,0.6,0.15694812331067332,-0.006722030182005456,0.14439502172749719,0.0492517720316914,-0.10873069760601317,0.004869251083635007
SIZE,756,0.75,0.1594929511885783,-0.004177202304100458,0.12619114332863712,0.031047893632831336,-0.11051346614451918,0.003086482545128999
SIZE,756,0.9,0.16200894293219803,-0.0016612105604807414,0.10766421902686618,0.012520969331060394,-0.11234815008049248,0.0012517986091556965
GATE,1008,0.5,0.15653819804392555,-0.007131955448753224,0.13151251998564106,0.036369270289835276,-0.07496189930826713,0.038638049381381045
SIZE,1008,0.1,0.15316823423574522,-0.010501919256933556,0.18360290789141875,0.08845965819561297,-0.10198300989934572,0.011616938790302456
SIZE,1008,0.25,0.1549696340019333,-0.008700519490745462,0.17002270952421616,0.07487945982841038,-0.10378573427225979,0.00981421441738839
SIZE,1008,0.4,0.15675072070804297,-0.006919432784635804,0.15595466935017344,0.06081141965436765,-0.10564230554440956,0.007957643145238613
SIZE,1008,0.5,0.15792678259182802,-0.005743370900850753,0.14631316400275396,0.05116991430694817,-0.10690976270531938,0.0066901859843288
SIZE,1008,0.6,0.15909375024721784,-0.004576403245460936,0.13646727459359353,0.04132402489778775,-0.1082008913288447,0.005399057360803483
SIZE,1008,0.75,0.16082709249742377,-0.002843060995254998,0.12132642801651183,0.026183178320706046,-0.1101817330545608,0.003418215635087374
SIZE,1008,0.9,0.16253982507220632,-0.0011303284204724484,0.10575481027753875,0.01061156058173296,-0.1122152243531287,0.0013847243365194828
