family,predictor,n,MAE,RMSE,bias,maxAE
QUANTILE,ZERO,81,0.03791647037678353,0.049926895298123615,0.02693753401092115,0.12967964033208013
QUANTILE,IS GLOBAL,81,0.03534456128633208,0.04272700479906605,-0.0076506734069066926,0.09509143291425229
QUANTILE,IS PANEL,81,0.03455448704537832,0.04162174305473563,-0.007650673406906701,0.09769290365503952
QUANTILE,TRAIL-2y,81,0.020355779145484653,0.029277944488335966,-0.012088310821543704,0.08771361558410629
QUANTILE,TRAIL-3y,81,0.01614687825771856,0.019194414048560402,-0.002821341563018983,0.0394892336300634
QUANTILE,TRAIL-4y,81,0.018678478151181177,0.024014925896952293,0.002538854871128005,0.054765253361454214
QUANTILE,TRAIL-5y,81,0.02094242613084188,0.027599328158523024,-0.006607229332529367,0.06482389869597593
MA-THRESH,ZERO,81,0.4905240255795317,0.6151074462654276,0.4862685245701318,1.4718972218012105
MA-THRESH,IS GLOBAL,81,0.35205495483169363,0.46859577512103145,0.2787147430576958,1.2643434402887743
MA-THRESH,IS PANEL,81,0.39036814058473646,0.5088849107381852,0.2787147430576957,1.451809608204149
MA-THRESH,TRAIL-2y,81,0.4576193525091319,0.595494956765468,0.27106946642782853,1.659366057154
MA-THRESH,TRAIL-3y,81,0.7954045802222398,1.0894795505967128,0.7302981590067408,2.5828753909554756
MA-THRESH,TRAIL-4y,81,0.5711127842228408,0.7623050118826046,0.4254597779671818,1.7887515212222427
MA-THRESH,TRAIL-5y,81,0.4678785840596458,0.6138635502587217,0.34644669076042256,1.4644265862441053
