delta,phi,n_admit,ladder_admit,pareto_admit,both_paths
0.3,0.0,0,46,0,0
0.3,0.1,0,40,0,0
0.3,0.2,0,26,0,0
0.3,0.3,0,11,0,0
0.3,0.4,0,1,0,0
0.3,0.5,0,0,0,0
0.3,0.6,0,0,0,0
0.3,0.7,0,0,0,0
0.3,0.8,0,0,0,0
0.3,0.9,0,0,0,0
0.3,1.0,0,0,0,0
0.3,1.1,0,0,0,0
0.4,0.0,12,66,10,12
0.4,0.1,12,60,10,12
0.4,0.2,12,46,10,12
0.4,0.3,12,31,10,12
0.4,0.4,12,16,10,12
0.4,0.5,7,3,6,7
0.4,0.6,0,0,0,0
0.4,0.7,0,0,0,0
0.4,0.8,0,0,0,0
0.4,0.9,0,0,0,0
0.4,1.0,0,0,0,0
0.4,1.1,0,0,0,0
0.5,0.0,25,85,12,15
0.5,0.1,25,79,12,15
0.5,0.2,25,65,12,15
0.5,0.3,25,50,12,15
0.5,0.4,25,35,12,15
0.5,0.5,20,21,8,10
0.5,0.6,6,6,2,0
0.5,0.7,3,1,2,0
0.5,0.8,1,0,1,0
0.5,0.9,0,0,0,0
0.5,1.0,0,0,0,0
0.5,1.1,0,0,0,0
0.6,0.0,56,107,23,25
0.6,0.1,56,101,23,25
0.6,0.2,56,87,23,25
0.6,0.3,56,72,23,25
0.6,0.4,56,57,23,25
0.6,0.5,51,43,19,20
0.6,0.6,35,27,13,8
0.6,0.7,29,10,12,6
0.6,0.8,14,3,8,1
0.6,0.9,5,1,3,0
0.6,1.0,0,0,0,0
0.6,1.1,0,0,0,0
0.7,0.0,85,126,27,29
0.7,0.1,85,120,27,29
0.7,0.2,85,106,27,29
0.7,0.3,85,91,27,29
0.7,0.4,85,76,27,29
0.7,0.5,80,62,23,24
0.7,0.6,64,46,17,12
0.7,0.7,57,29,16,9
0.7,0.8,36,15,12,3
0.7,0.9,15,4,6,0
0.7,1.0,2,1,0,0
0.7,1.1,0,0,0,0
0.8,0.0,104,133,27,33
0.8,0.1,104,127,27,33
0.8,0.2,104,113,27,33
0.8,0.3,104,98,27,33
0.8,0.4,104,83,27,33
0.8,0.5,99,69,23,28
0.8,0.6,83,53,17,16
0.8,0.7,76,36,16,13
0.8,0.8,55,22,12,7
0.8,0.9,27,8,6,3
0.8,1.0,3,1,0,0
0.8,1.1,0,0,0,0
0.9,0.0,104,133,27,33
0.9,0.1,104,127,27,33
0.9,0.2,104,113,27,33
0.9,0.3,104,98,27,33
0.9,0.4,104,83,27,33
0.9,0.5,99,69,23,28
0.9,0.6,83,53,17,16
0.9,0.7,76,36,16,13
0.9,0.8,55,22,12,7
0.9,0.9,27,8,6,3
0.9,1.0,3,1,0,0
0.9,1.1,0,0,0,0
1.0,0.0,104,133,27,33
1.0,0.1,104,127,27,33
1.0,0.2,104,113,27,33
1.0,0.3,104,98,27,33
1.0,0.4,104,83,27,33
1.0,0.5,99,69,23,28
1.0,0.6,83,53,17,16
1.0,0.7,76,36,16,13
1.0,0.8,55,22,12,7
1.0,0.9,27,8,6,3
1.0,1.0,3,1,0,0
1.0,1.1,0,0,0,0
1.1,0.0,104,133,27,33
1.1,0.1,104,127,27,33
1.1,0.2,104,113,27,33
1.1,0.3,104,98,27,33
1.1,0.4,104,83,27,33
1.1,0.5,99,69,23,28
1.1,0.6,83,53,17,16
1.1,0.7,76,36,16,13
1.1,0.8,55,22,12,7
1.1,0.9,27,8,6,3
1.1,1.0,3,1,0,0
1.1,1.1,0,0,0,0
