stat,label,form,kind,pair_type,verdict_laneB,verdict_NARROW,verdict_WIDE,beta_br_laneB,beta_br_NARROW,beta_br_WIDE,beta_k_laneB,beta_k_NARROW,beta_k_WIDE,beta_br_spread,beta_stable,verdict_same,WIDTH_PORTABLE,s3_signature_3of3
LV_CAGR,LV CAGR of CAND-20                  [level],LEVEL,plain,,breadth,breadth,breadth,0.8973124793183115,0.7104247104247103,0.7157349297579528,0.08565112976514336,0.09805778712233727,0.02657876887245681,0.18688776889360115,True,True,True,True
LV_ARET,LV ann. arithmetic mean CAND-20     [level],LEVEL,plain,,JOINT,breadth,breadth,0.8993205978967057,0.7119691119691121,0.7397073548243276,0.13447005550880725,0.16980738745575477,0.1339696192826442,0.18735148592759365,True,False,False,True
LV_DD,LV |MaxDD| of CAND-20              [level],LEVEL,plain,,JOINT,JOINT,JOINT,-0.5184902000444366,-0.5222651222651225,-0.5665297731631566,0.3338829028796113,0.2582985612003031,0.419094402027342,0.04803957311871998,True,True,True,False
LV_VOL,LV ann. vol of CAND-20             [level],LEVEL,plain,,n_elig,n_elig,JOINT,0.3207140365750154,0.10527670527670531,0.059225767209663285,0.8894700643532548,0.8896950441343769,0.9652882616629604,0.26148826936535213,True,False,False,False
RA_SHARPE,RA Sharpe of CAND-20               [ratio],RATIO,plain,,breadth,breadth,JOINT,0.8525939751191509,0.691119691119691,0.6424504386144515,-0.13045361971919192,-0.08370786705565374,-0.25223031513369665,0.2101435365046994,True,False,False,False
RA_SORTINO,RA Sortino of CAND-20              [ratio],RATIO,plain,,breadth,breadth,JOINT,0.8280830695714438,0.6440154440154439,0.5966775313200365,-0.1576256566008624,-0.11958266722236245,-0.28865648431785923,0.2314055382514073,True,False,False,False
RA_CALMAR,RA Calmar of CAND-20               [ratio],RATIO,plain,,breadth,breadth,breadth,0.874220359464531,0.7173745173745175,0.7257587040129116,-0.03795833906976645,0.01434992006668345,-0.08793258220350825,0.1568458420900135,True,True,True,True
RA_VOLREL,RA vol(CAND-20)/vol(EWall)         [ratio],RATIO,plain,,n_elig,JOINT,n_elig,0.5804142783128918,0.47387387387387386,0.2921934525119919,0.7860958277311342,0.803595523734276,0.9586516991403755,0.2882208258008999,True,False,False,False
RL_SHARPE_CAGR,RV Sharpe vs CAGR    == S3 [271/269C] [ratio x level],RATIO,reversal,ratio x level,breadth,breadth,NULL,0.6189191580947417,0.3920971079559992,0.2696190290069848,-0.06417166951715753,-0.042660409801068715,-0.3223706971865338,0.3493001290877569,False,False,False,False
RL_CALMAR_CAGR,RV Calmar vs CAGR                     [ratio x level],RATIO,reversal,ratio x level,n_elig,JOINT,NULL,0.2273331189816185,0.4938827188784915,0.2547601353841129,-0.24183342480058562,-0.18602208692389413,-0.30896409319904905,0.266549599896873,True,False,False,False
RL_SORTINO_CAGR,RV Sortino vs CAGR                    [ratio x level],RATIO,reversal,ratio x level,breadth,NULL,NULL,0.5544065501558277,0.2954861191529747,0.21540491702249,-0.05440514886515986,-0.008447787441391297,-0.3044541163765243,0.33900163313333775,False,False,False,False
RL_SHARPE_ARET,RV Sharpe vs ann. arith. mean         [ratio x level],RATIO,reversal,ratio x level,breadth,breadth,breadth,0.6262441732741044,0.3577692135703103,0.2843665992827977,-0.003434464213081626,-0.01449522755251124,-0.2520773088358089,0.3418775739913067,False,True,True,False
RR_SHARPE_SORTINO,RV Sharpe vs Sortino                  [ratio x ratio],RATIO,reversal,ratio x ratio,NULL,NULL,NULL,0.24845901551909885,0.2689411435323329,0.19879152985858595,-0.08676298022364672,-0.18684682005340789,-0.09679213122421428,0.07014961367374695,True,True,False,False
RR_SHARPE_CALMAR,RV Sharpe vs Calmar                   [ratio x ratio],RATIO,reversal,ratio x ratio,breadth,NULL,NULL,0.5189891026139469,0.2960826109938566,0.16995218455955996,-0.0063534977939144165,-0.03021773839173277,-0.040960040444359976,0.34903691805438697,False,False,False,True
LL_CAGR_ARET,RV CAGR vs ann. arith. mean           [level x level],LEVEL,reversal,level x level,NULL,NULL,NULL,0.11857962264643945,-0.11344767554575069,0.004433044867748111,0.08293536259338993,-0.025164367319401304,0.12303782057814247,0.23202729819219015,True,True,False,False
LL_CAGR_NEGDD,RV CAGR vs -|MaxDD|                   [level x level],LEVEL,reversal,level x level,JOINT,JOINT,NULL,0.2949731022747402,0.2340131397322475,0.018714407197628798,-0.3565294344488083,-0.4491162047195901,-0.28800671617323054,0.2762586950771114,True,False,False,False
S1_rho_n_OOS,"S1 rho(n, OOS Sharpe)        [209/199]",parent,parent,,breadth,n_elig,breadth,0.6720228172996904,0.4710161263098603,0.5033342056980225,0.20972981958917944,0.35445877847928314,0.21970647843465355,0.2010066909898301,True,False,False,False
S2_overlap,S2 INV-vs-NONE top20 overlap [153],parent,parent,,JOINT,n_elig,n_elig,-0.3381571658705028,-0.32586872586872584,-0.20365390423977042,-0.942656510877588,-0.9303531509899804,-0.9964859366475367,0.1345032616307324,True,False,False,False
S3_reversal,S3 Sharpe-vs-CAGR reversal   [271/269C],parent,parent,,breadth,breadth,NULL,0.6189191580947417,0.3920971079559992,0.2696190290069848,-0.06417166951715753,-0.042660409801068715,-0.3223706971865338,0.3493001290877569,False,False,False,False
S4_argmax_n,S4 argmax_n premium vs EWall [155],parent,parent,,n_elig,n_elig,NULL,0.46728327867011354,0.1465134519813865,0.270632147197748,0.4299650842614942,0.5785058470907243,0.158771690906324,0.32076982668872706,False,False,False,False
S5_fix_minus_adapt,S5 fixed n=20 - adaptive n_t [157],parent,parent,,NULL,NULL,NULL,0.18166763728206708,-0.01981981981981984,0.012106427007972357,-0.03804609607700197,0.03826645351115598,0.18504466534699338,0.20148745710188692,True,True,False,False
