panel,form,cadence,cash_bps,slope_Sharpe,r2_Sharpe,slope_CAGR,r2_CAGR,slope_MaxDD,r2_MaxDD,Sharpe_span,CAGR_span,DD_span,mean_cash_w
B136,EWall,M,0.0,0.0006530118885212709,0.4692565754289626,0.18917138550169496,0.9999764608585143,-0.31817425751291545,0.9994941914311457,0.0008019687168263623,0.1512915359288054,0.2546160835801319,0.3985894538340778
B136,EWall,M,150.0,-0.37065988205970896,0.8209943006329595,0.1736874475309824,0.9999951110732652,-0.31950394599932797,0.9994933974787178,0.3628315977736212,0.13890269358905027,0.25567926559227117,0.39869582578582957
B136,EWall,M,300.0,-0.7369565093443472,0.8207235672735373,0.15824439102864918,0.9999994454641616,-0.3208158853056486,0.9994926141790721,0.7212652937412718,0.12654776719922123,0.2567282455188997,0.398800643058154
B136,EWall,W,0.0,0.0016431479600024898,0.9068423703788457,0.18991829991871723,0.9999954253629363,-0.3179386513569392,0.9990850938325706,0.0013122229221136372,0.15185322566033843,0.2544618906013686,0.39978131616506213
B136,EWall,W,150.0,-0.36466065713574486,0.8209726509703679,0.17439152168289992,0.9999986308453084,-0.3192169039362191,0.9990769746052724,0.3569393497290414,0.13943111636539962,0.25548612821710037,0.3998017988843795
B136,EWall,W,300.0,-0.72568851835184,0.8212256181988217,0.15890794478366835,0.9999798194225971,-0.3204778376631396,0.9990689457365187,0.7100135929986455,0.1270450735275268,0.2564965002382552,0.39982198134528935
B136,MA-DG,M,0.0,0.007060546783910446,0.9997197151927161,0.11333112908955824,0.99998508823205,-0.1584372478680151,0.9997571766260542,0.0056479935326401165,0.0906555556312858,0.12677323389609307,0.5748944320565642
B136,MA-DG,M,150.0,-0.6129047568064058,0.8182450385659406,0.10297235880776183,0.9999956901849774,-0.15918142199267424,0.9997586564211388,0.6006567069011104,0.08236797335443025,0.127368324498217,0.5750115010745038
B136,MA-DG,M,300.0,-1.2245230044460427,0.8198817864449903,0.09258608752698799,0.9999999677220512,-0.15991584918740714,0.999760108720584,1.198797720730258,0.07405874018649028,0.12795561901463037,0.5751268427098095
B136,MA-DG,W,0.0,-0.00037708699573872146,0.7535254326660645,0.1040055842810185,0.9999988924687218,-0.16477045230504198,0.9998973851077257,0.00034645343296779707,0.08318743582431187,0.13181766042478582,0.5744033694913661
B136,MA-DG,W,150.0,-0.6465775849769821,0.8221067321714437,0.09358768505830284,0.9999984439556991,-0.16540164033174573,0.9998963156141486,0.6321846483775757,0.0748530123151745,0.13232268041425987,0.5744259179697155
B136,MA-DG,W,300.0,-1.2834872117827967,0.821928279724621,0.08314161337591076,0.9999857254816965,-0.16602424262798512,0.999895257947914,1.254975500602683,0.06649645709578289,0.13282083073540496,0.574448135245821
B136,MA-RS,M,0.0,0.005660750588383142,0.9992368871872322,0.16746871894440699,0.9999767055577178,-0.27771012129686995,0.9995238810111394,0.004526764349258583,0.1339484233464847,0.22223490329029139,0.39871340437365393
B136,MA-RS,M,150.0,-0.4014574391444974,0.8166030355093492,0.15204252767888135,0.9999950709701914,-0.27904347985655753,0.9995235733209852,0.39384574913774717,0.12160598995512872,0.22330111785081175,0.3988197864920407
B136,MA-RS,M,300.0,-0.8030802186195406,0.8185764019335497,0.1366571601354865,0.9999995492370617,-0.2803590381522875,0.9995232657426644,0.786839440107399,0.10929728073451384,0.22435309177670482,0.39892461376030364
B136,MA-RS,W,0.0,0.0018870773429424208,0.9951432307326509,0.15552720251407975,0.9999996578300053,-0.2568991354947292,0.999546787403534,0.0015071661579235673,0.12437463841297425,0.20554629657608148,0.3997891632383154
B136,MA-RS,W,150.0,-0.41468278631429006,0.8203111761300004,0.1400949915712935,0.9999918520792384,-0.2581412752904282,0.9995412070639264,0.4058939791224747,0.11202907287024577,0.20654079700677053,0.399809646328218
B136,MA-RS,W,300.0,-0.8252565378136978,0.8208857963793799,0.12470604065640778,0.9999571016783549,-0.25936653249125036,0.9995356823974362,0.8074309121561669,0.0997193243180563,0.2075217884992373,0.39982982915413356
B136,MA20,M,0.0,0.019020799765203288,0.9994882920464907,0.23526193879141036,0.9999627252424824,-0.31892853013053574,0.9991116210102033,0.01522075866654804,0.1881319453239667,0.25533508375229086,0.39827047615764966
B136,MA20,M,150.0,-0.2734845303183928,0.8009692723545045,0.21966166049429645,0.9999877248145417,-0.3201962881511664,0.9991115276831061,0.2709665623887909,0.17564869847328723,0.25634880751907896,0.398376821358308
B136,MA20,M,300.0,-0.56204620967675,0.8111366637942534,0.204102277706214,0.999999288349473,-0.3214470565151316,0.9991114300673691,0.5532949950749362,0.16319969420377012,0.2573489377970789,0.3984816123307633
B136,MA20,W,0.0,0.010718698037011882,0.9986896921085108,0.19705288732455656,0.9999916571571797,-0.3020754353496784,0.999204029016249,0.008558176779216664,0.15751695707956404,0.24174893458776392,0.39967954024815416
B136,MA20,W,150.0,-0.2924020750984188,0.8115273943938963,0.18149155424618174,0.9999586300015086,-0.3033040172365501,0.9991969646802492,0.2878699123034285,0.14506960031942429,0.2427331165844825,0.39970002173599367
B136,MA20,W,300.0,-0.5911589045250025,0.8166166015167596,0.1659734398245124,0.9998929180764535,-0.3045159016827135,0.9991899788144372,0.5800303407897074,0.13265838110713468,0.24370393173190485,0.39972020298410127
B136,TOP10,M,0.0,0.021634510552406696,0.9982083463553765,0.268602681778272,0.9999884475303675,-0.3545138461661672,0.9988995592790402,0.017320351479613638,0.21473206802289746,0.2839061601971983,0.3980451417228056
B136,TOP10,M,150.0,-0.22333559135457984,0.7944523697051287,0.25290578897411414,0.999999312643893,-0.3557754010585961,0.9988989787989205,0.22232146293435884,0.2021724919977197,0.2849149852941645,0.3981514627026702
B136,TOP10,M,300.0,-0.46500439079401706,0.8082398122968939,0.2372498368441316,0.9999932488330108,-0.35702005394635433,0.9988984015342736,0.45873339955767456,0.18964743977892207,0.2859102887761109,0.3982562298456226
B136,TOP10,W,0.0,0.016871404221360686,0.999287978394409,0.2302212497509739,0.999972710637165,-0.3254084958392788,0.9990271735352446,0.013479809540398735,0.1839730238292836,0.26044867847608333,0.3996105381048517
B136,TOP10,W,150.0,-0.23500011255350375,0.8015416760931955,0.21455569404329902,0.9999206989535698,-0.3266299830047963,0.999019355713582,0.23281348254856493,0.17144371212153908,0.2614274648757414,0.3996310184263031
B136,TOP10,W,300.0,-0.4832453219616736,0.8119257808514859,0.1989333216851178,0.9998334053007725,-0.32783486754917124,0.9990116274214303,0.4755607406447212,0.15895079069394158,0.2623929586984669,0.3996511985256005
B136,TOP20,M,0.0,0.01843669239102808,0.999422401928257,0.2373635948820338,0.9999617605291629,-0.31892853013053557,0.9991116210102033,0.014752666483148325,0.18981119830583526,0.2553350837522913,0.39826449911667616
B136,TOP20,M,150.0,-0.27346697609627957,0.8016408210921553,0.22175810866668935,0.9999871477240766,-0.3201962881511664,0.9991115276831061,0.27084490497762315,0.17732370064827396,0.25634880751907907,0.39837084368876047
B136,TOP20,M,300.0,-0.5614349713782698,0.8114552999438286,0.20619351864733862,0.9999991505682034,-0.321447056515132,0.9991114300673692,0.5525913962110485,0.16487046172966613,0.257348937797079,0.3984756340439791
B136,TOP20,W,0.0,0.0114498746859508,0.9987627960369989,0.19675332112059543,0.9999911104552065,-0.30207543534967846,0.999204029016249,0.00914360750691412,0.15727675536486796,0.24174893458776414,0.3996769552113194
B136,TOP20,W,150.0,-0.29051555263780543,0.8107611430768016,0.18119258819698225,0.9999572785142452,-0.3033040172365506,0.9991969646802492,0.2861522075635248,0.1448299208542001,0.24273311658448316,0.39969743666197494
B136,TOP20,W,300.0,-0.5881335744028992,0.8162531605421456,0.16567507472636123,0.9998904972589614,-0.30451590168271325,0.9991899788144373,0.5771965719868566,0.13241922157857755,0.24370393173190485,0.39971761787346466
SMALL663,EWall,M,0.0,-0.006646318481793808,0.9861984400474689,0.1261701502871038,0.9995164508583834,-0.42305935269806716,0.99933858064979,0.005314209645446266,0.10083691148174911,0.33852723660506834,0.39932123704709893
SMALL663,EWall,M,150.0,-0.3132969853891763,0.8279689193928419,0.11080357970831149,0.9991940472482652,-0.4253859576200257,0.9993257158985506,0.30537546794973935,0.08855015574161862,0.3403899218861016,0.3994276136870848
SMALL663,EWall,M,300.0,-0.615800874987971,0.8242127822292047,0.09547795451380553,0.9986804286496742,-0.42768357894810904,0.9993129626311479,0.6013776277234059,0.0762969172542125,0.3422294136858267,0.3995324354528888
SMALL663,EWall,W,0.0,-0.002946090794038743,0.9843533966165031,0.13126319598318742,0.9994076203165955,-0.4225327493110341,0.9978813535382004,0.0023538714963385887,0.10489011941706905,0.3383722686543593,0.39988788934130853
SMALL663,EWall,W,150.0,-0.3030797539698365,0.8250742210622755,0.11585053983936518,0.9990306048791515,-0.4247745122751521,0.9978543016260302,0.2958616356720275,0.09256871470862982,0.3401735805499656,0.3999083668565806
SMALL663,EWall,W,300.0,-0.5988924190427155,0.8233226494794476,0.10048134496434585,0.9984414366088673,-0.4269878119714586,0.997827519605625,0.585143754063493,0.08028305507875233,0.3419520995599078,0.39992854418874363
SMALL663,MA-DG,M,0.0,0.009600409752044483,0.9998717315731619,0.06337694095712045,0.9999698804477636,-0.20182266414489142,0.9996875447593797,0.0076842951437101625,0.05069569308637223,0.1614782144026159,0.6699602564668649
