output_set,n_units,OBS_ONLY,BAR_ANY,MIXED,n_with_verdict,verdict_BAR_ANY,verdict_BAR_no_L,verdict_OBS_ONLY,frac_verdict_needing_L,states_L,frac_states_L
OS_CORE,1272,972,300,32,1129,158,141,971,0.13994685562444642,35,0.027515723270440252
OS_WIDE,1858,934,924,70,1681,748,700,933,0.4449732302201071,65,0.03498385360602799
OS_ALL,4031,3107,924,184,2705,748,700,1957,0.2765249537892791,88,0.021830811213098485
