panel,book,cost,window,depth,med_price,n
u56,EWall,10.0,IS,22.061944945147506,1.7430622493724661,13
u56,EWall,10.0,OOS,33.71723528339828,0.4132128317039926,12
u56,EWall,10.0,full,33.71723528339826,0.46254613981784065,12
u56,EWall,25.0,IS,22.061944945147506,3.4280326389522506,11
u56,EWall,25.0,OOS,33.71723528339828,0.5109645648254512,12
u56,EWall,25.0,full,33.71723528339826,0.5835709564787068,12
u56,TOP20,10.0,IS,22.061944945147506,5.687781123641558,7
u56,TOP20,10.0,OOS,33.71723528339828,0.5036090977748762,10
u56,TOP20,10.0,full,33.71723528339826,0.5021891793891798,11
u56,TOP20,25.0,IS,22.061944945147506,5.931983658377798,9
u56,TOP20,25.0,OOS,33.71723528339828,0.4875703696655874,10
u56,TOP20,25.0,full,33.71723528339826,0.49586381153403664,11
u56,V1u,10.0,IS,22.061944945147506,1.4680263356834413,4
u56,V1u,10.0,OOS,33.71723528339828,0.7302106277557953,6
u56,V1u,10.0,full,33.71723528339826,0.32384372009709184,8
u56,V1u,25.0,IS,22.061944945147506,0.6022381302587804,4
u56,V1u,25.0,OOS,33.71723528339828,0.27720229551187964,4
u56,V1u,25.0,full,33.71723528339826,0.16731851868260925,7
broad,EWall,10.0,IS,22.058362096015106,0.8627575307174156,14
broad,EWall,10.0,OOS,33.71595330739301,0.4474521497850842,12
broad,EWall,10.0,full,33.71595330739301,0.4784198233947421,12
broad,EWall,25.0,IS,22.058362096015106,1.107640605918474,14
broad,EWall,25.0,OOS,33.71595330739301,0.5242589189704303,12
broad,EWall,25.0,full,33.71595330739301,0.5437785428738673,12
broad,TOP20,10.0,IS,22.058362096015106,4.040943951011382,3
broad,TOP20,10.0,OOS,33.71595330739301,0.4289157731403097,14
broad,TOP20,10.0,full,33.71595330739301,0.35441396609942083,14
broad,TOP20,25.0,IS,22.058362096015106,5.642998802123676,2
broad,TOP20,25.0,OOS,33.71595330739301,0.43235699997470634,13
broad,TOP20,25.0,full,33.71595330739301,0.3431071670163199,12
broad,V1u,10.0,IS,22.058362096015106,0.9927757823478619,6
broad,V1u,10.0,OOS,33.71595330739301,0.4554794540312638,4
broad,V1u,10.0,full,33.71595330739301,0.3693476338663494,5
broad,V1u,25.0,IS,22.058362096015106,0.21626206490792702,7
broad,V1u,25.0,OOS,33.71595330739301,0.13863238634342573,6
broad,V1u,25.0,full,33.71595330739301,0.1217571605991235,7
small,EWall,10.0,IS,18.60545633455396,0.7912395995347876,12
small,EWall,10.0,OOS,33.71723528339828,0.37286909861011824,11
small,EWall,10.0,full,33.71723528339826,0.3513523048471597,11
small,EWall,25.0,IS,18.60545633455396,0.8449357966023403,12
small,EWall,25.0,OOS,33.71723528339828,0.352250239676678,10
small,EWall,25.0,full,33.71723528339826,0.3477917491190633,10
small,TOP20,10.0,IS,18.60545633455396,2.754216790684024,5
small,TOP20,10.0,OOS,33.71723528339828,0.7215571199437948,11
small,TOP20,10.0,full,33.71723528339826,0.614702446276925,11
small,TOP20,25.0,IS,18.60545633455396,1.1512133830540496,6
small,TOP20,25.0,OOS,33.71723528339828,0.8695774374623736,9
small,TOP20,25.0,full,33.71723528339826,0.4343660079826533,9
small,V1u,10.0,IS,18.60545633455396,0.13781981537346585,6
small,V1u,10.0,OOS,33.71723528339828,0.34822583338771795,6
small,V1u,10.0,full,33.71723528339826,0.34865181773924947,6
small,V1u,25.0,IS,18.60545633455396,0.007364214774933228,3
small,V1u,25.0,OOS,33.71723528339828,0.22787069732119453,6
small,V1u,25.0,full,33.71723528339826,0.15352577749857746,6
