panel,sleeve,n_eq,added,book,corr
u56,S4,0,,v1,0.21232063489677283
u56,S4,0,,top20,0.11982166171076838
u56,S4,0,,ewall,0.10690258293692233
u56,S4+SY,1,SPY,v1,0.5378457981175893
u56,S4+SY,1,SPY,top20,0.5153868951150763
u56,S4+SY,1,SPY,ewall,0.5006444648756418
u56,S4+QQ,1,QQQ,v1,0.5328106060258694
u56,S4+QQ,1,QQQ,top20,0.5346482969752486
u56,S4+QQ,1,QQQ,ewall,0.5002373174595118
u56,S4+IM,1,IWM,v1,0.4572451434283935
u56,S4+IM,1,IWM,top20,0.4190731851525782
u56,S4+IM,1,IWM,ewall,0.40689457383973576
u56,S4+EA,1,EFA,v1,0.4332809886057135
u56,S4+EA,1,EFA,top20,0.3869357381827316
u56,S4+EA,1,EFA,ewall,0.3754980566168939
u56,S4+EM,1,EEM,v1,0.3919152441862508
u56,S4+EM,1,EEM,top20,0.3537868754296302
u56,S4+EM,1,EEM,ewall,0.3359121622670532
u56,S4+SYQQ,2,SPY+QQQ,v1,0.6829873558741307
u56,S4+SYQQ,2,SPY+QQQ,top20,0.7332000454293461
u56,S4+SYQQ,2,SPY+QQQ,ewall,0.7047749858815151
u56,S4+SYIM,2,SPY+IWM,v1,0.6439885851590168
u56,S4+SYIM,2,SPY+IWM,top20,0.6630851413471299
u56,S4+SYIM,2,SPY+IWM,ewall,0.6507914346964844
u56,S4+SYEA,2,SPY+EFA,v1,0.6312625849001322
u56,S4+SYEA,2,SPY+EFA,top20,0.6440956131518081
u56,S4+SYEA,2,SPY+EFA,ewall,0.6326961552563711
u56,S4+SYEM,2,SPY+EEM,v1,0.6075655987181644
u56,S4+SYEM,2,SPY+EEM,top20,0.6259477380352374
u56,S4+SYEM,2,SPY+EEM,ewall,0.6088625312068194
u56,S4+QQIM,2,QQQ+IWM,v1,0.6462590919126916
u56,S4+QQIM,2,QQQ+IWM,top20,0.6851201873313244
u56,S4+QQIM,2,QQQ+IWM,ewall,0.6566057726456314
u56,S4+QQEA,2,QQQ+EFA,v1,0.6339022616694706
u56,S4+QQEA,2,QQQ+EFA,top20,0.6665430368379968
u56,S4+QQEA,2,QQQ+EFA,ewall,0.6389244168585423
u56,S4+QQEM,2,QQQ+EEM,v1,0.6048120316817509
u56,S4+QQEM,2,QQQ+EEM,top20,0.6429866163735408
u56,S4+QQEM,2,QQQ+EEM,ewall,0.6096641447001098
u56,S4+IMEA,2,IWM+EFA,v1,0.5774892866396513
u56,S4+IMEA,2,IWM+EFA,top20,0.5773512189284155
u56,S4+IMEA,2,IWM+EFA,ewall,0.5675398650284317
u56,S4+IMEM,2,IWM+EEM,v1,0.5495635553829581
u56,S4+IMEM,2,IWM+EEM,top20,0.5553342647758077
u56,S4+IMEM,2,IWM+EEM,ewall,0.5396710942996876
u56,S4+EAEM,2,EFA+EEM,v1,0.5222524602374574
u56,S4+EAEM,2,EFA+EEM,top20,0.5212016414718744
u56,S4+EAEM,2,EFA+EEM,ewall,0.5066400331650902
u56,S4+SYQQIM,3,SPY+QQQ+IWM,v1,0.7215083548105399
u56,S4+SYQQIM,3,SPY+QQQ+IWM,top20,0.7929576101327578
u56,S4+SYQQIM,3,SPY+QQQ+IWM,ewall,0.7694155308623386
u56,S4+SYQQEA,3,SPY+QQQ+EFA,v1,0.7157228031022898
u56,S4+SYQQEA,3,SPY+QQQ+EFA,top20,0.7830470615263441
u56,S4+SYQQEA,3,SPY+QQQ+EFA,ewall,0.7603334930736994
u56,S4+SYQQEM,3,SPY+QQQ+EEM,v1,0.6997180376847365
u56,S4+SYQQEM,3,SPY+QQQ+EEM,top20,0.7714098857996728
u56,S4+SYQQEM,3,SPY+QQQ+EEM,ewall,0.7439080161858549
u56,S4+SYIMEA,3,SPY+IWM+EFA,v1,0.6843675064485631
u56,S4+SYIMEA,3,SPY+IWM+EFA,top20,0.726418924446159
u56,S4+SYIMEA,3,SPY+IWM+EFA,ewall,0.7169325919797878
u56,S4+SYIMEM,3,SPY+IWM+EEM,v1,0.6693322438057417
u56,S4+SYIMEM,3,SPY+IWM+EEM,top20,0.7159616072583976
u56,S4+SYIMEM,3,SPY+IWM+EEM,ewall,0.7016012611991113
u56,S4+SYEAEM,3,SPY+EFA+EEM,v1,0.6522957816848035
u56,S4+SYEAEM,3,SPY+EFA+EEM,top20,0.6935625783978033
u56,S4+SYEAEM,3,SPY+EFA+EEM,ewall,0.6801985697298644
u56,S4+QQIMEA,3,QQQ+IWM+EFA,v1,0.6903876462077435
u56,S4+QQIMEA,3,QQQ+IWM+EFA,top20,0.7489224996985084
u56,S4+QQIMEA,3,QQQ+IWM+EFA,ewall,0.7261289705630302
u56,S4+QQIMEM,3,QQQ+IWM+EEM,v1,0.6714200335697998
u56,S4+QQIMEM,3,QQQ+IWM+EEM,top20,0.7344765865011621
u56,S4+QQIMEM,3,QQQ+IWM+EEM,ewall,0.706662042298439
u56,S4+QQEAEM,3,QQQ+EFA+EEM,v1,0.6546095029547355
u56,S4+QQEAEM,3,QQQ+EFA+EEM,top20,0.7121921240579343
u56,S4+QQEAEM,3,QQQ+EFA+EEM,ewall,0.6855128005811281
u56,S4+IMEAEM,3,IWM+EFA+EEM,v1,0.6120013040329029
u56,S4+IMEAEM,3,IWM+EFA+EEM,top20,0.6432578497840861
u56,S4+IMEAEM,3,IWM+EFA+EEM,ewall,0.6307992784751676
u56,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,v1,0.7340168403717179
u56,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,top20,0.8164161670945326
u56,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,ewall,0.7972738044774258
u56,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,v1,0.7231798601561462
u56,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,top20,0.8093401309195466
u56,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,ewall,0.7860427468152736
u56,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,v1,0.7130372867401297
u56,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,top20,0.7952871008537108
u56,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,ewall,0.7729171735048739
u56,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,v1,0.6872819086280211
u56,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,top20,0.7486925735736273
u56,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,ewall,0.7372911343706882
u56,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,v1,0.6917940451038077
u56,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,top20,0.7670862911359763
u56,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,ewall,0.7445076035192035
u56,S9,5,SPY+QQQ+IWM+EFA+EEM,v1,0.7264725381171879
u56,S9,5,SPY+QQQ+IWM+EFA+EEM,top20,0.819532760904903
u56,S9,5,SPY+QQQ+IWM+EFA+EEM,ewall,0.80022302456046
B136,S4,0,,v1,0.13016056857876102
B136,S4,0,,top20,0.03515875843561145
B136,S4,0,,ewall,-0.011297463674116168
B136,S4+SY,1,SPY,v1,0.43557843645388045
B136,S4+SY,1,SPY,top20,0.4165187739567466
B136,S4+SY,1,SPY,ewall,0.39765162293128514
B136,S4+QQ,1,QQQ,v1,0.41829623629531537
B136,S4+QQ,1,QQQ,top20,0.4391195388642755
B136,S4+QQ,1,QQQ,ewall,0.38502676204330977
B136,S4+IM,1,IWM,v1,0.3622591498280726
B136,S4+IM,1,IWM,top20,0.3313318416328612
B136,S4+IM,1,IWM,ewall,0.30469019608971754
B136,S4+EA,1,EFA,v1,0.33922125122878555
B136,S4+EA,1,EFA,top20,0.2903020185895103
B136,S4+EA,1,EFA,ewall,0.27192587291191844
B136,S4+EM,1,EEM,v1,0.2884545017115596
B136,S4+EM,1,EEM,top20,0.2609208280144315
B136,S4+EM,1,EEM,ewall,0.22584373343978212
B136,S4+SYQQ,2,SPY+QQQ,v1,0.5704024522385818
B136,S4+SYQQ,2,SPY+QQQ,top20,0.6403058025108744
B136,S4+SYQQ,2,SPY+QQQ,ewall,0.6164307161208796
B136,S4+SYIM,2,SPY+IWM,v1,0.543709829994425
B136,S4+SYIM,2,SPY+IWM,top20,0.5737981280573611
B136,S4+SYIM,2,SPY+IWM,ewall,0.5705418213011181
B136,S4+SYEA,2,SPY+EFA,v1,0.5313135923046644
B136,S4+SYEA,2,SPY+EFA,top20,0.5470482843428346
B136,S4+SYEA,2,SPY+EFA,ewall,0.5507993475000931
B136,S4+SYEM,2,SPY+EEM,v1,0.4981477118177893
B136,S4+SYEM,2,SPY+EEM,top20,0.5302472396939698
B136,S4+SYEM,2,SPY+EEM,ewall,0.5199850153372029
B136,S4+QQIM,2,QQQ+IWM,v1,0.5348577760364394
B136,S4+QQIM,2,QQQ+IWM,top20,0.5974502591033936
B136,S4+QQIM,2,QQQ+IWM,ewall,0.5652503622188825
B136,S4+QQEA,2,QQQ+EFA,v1,0.5228289212111679
B136,S4+QQEA,2,QQQ+EFA,top20,0.5712669555210074
B136,S4+QQEA,2,QQQ+EFA,ewall,0.5460532755185891
B136,S4+QQEM,2,QQQ+EEM,v1,0.48485033146326945
B136,S4+QQEM,2,QQQ+EEM,top20,0.5497507605343105
B136,S4+QQEM,2,QQQ+EEM,ewall,0.5102470863285758
B136,S4+IMEA,2,IWM+EFA,v1,0.48163876668464733
B136,S4+IMEA,2,IWM+EFA,top20,0.4877379940919718
B136,S4+IMEA,2,IWM+EFA,ewall,0.4849283728960741
B136,S4+IMEM,2,IWM+EEM,v1,0.44460526830636554
B136,S4+IMEM,2,IWM+EEM,top20,0.46762512472427453
B136,S4+IMEM,2,IWM+EEM,ewall,0.4501774006091668
B136,S4+EAEM,2,EFA+EEM,v1,0.41976156837862344
B136,S4+EAEM,2,EFA+EEM,top20,0.42748324414436795
B136,S4+EAEM,2,EFA+EEM,ewall,0.41737026010148975
B136,S4+SYQQIM,3,SPY+QQQ+IWM,v1,0.6154166070186197
B136,S4+SYQQIM,3,SPY+QQQ+IWM,top20,0.7097931143823965
B136,S4+SYQQIM,3,SPY+QQQ+IWM,ewall,0.6998082968519982
B136,S4+SYQQEA,3,SPY+QQQ+EFA,v1,0.609817185370632
B136,S4+SYQQEA,3,SPY+QQQ+EFA,top20,0.6937813672768027
B136,S4+SYQQEA,3,SPY+QQQ+EFA,ewall,0.6895725324574107
B136,S4+SYQQEM,3,SPY+QQQ+EEM,v1,0.5857897252853344
B136,S4+SYQQEM,3,SPY+QQQ+EEM,top20,0.6828830275554868
B136,S4+SYQQEM,3,SPY+QQQ+EEM,ewall,0.6672666528677765
B136,S4+SYIMEA,3,SPY+IWM+EFA,v1,0.5887291191101534
B136,S4+SYIMEA,3,SPY+IWM+EFA,top20,0.6402052002311175
B136,S4+SYIMEA,3,SPY+IWM+EFA,ewall,0.6533049161481838
B136,S4+SYIMEM,3,SPY+IWM+EEM,v1,0.5654302669615218
B136,S4+SYIMEM,3,SPY+IWM+EEM,top20,0.6303856036006048
B136,S4+SYIMEM,3,SPY+IWM+EEM,ewall,0.6318493617250478
B136,S4+SYEAEM,3,SPY+EFA+EEM,v1,0.5498176868444599
B136,S4+SYEAEM,3,SPY+EFA+EEM,top20,0.602546013172775
B136,S4+SYEAEM,3,SPY+EFA+EEM,ewall,0.6099746975432998
B136,S4+QQIMEA,3,QQQ+IWM+EFA,v1,0.5851076124397623
B136,S4+QQIMEA,3,QQQ+IWM+EFA,top20,0.6636387983897146
B136,S4+QQIMEA,3,QQQ+IWM+EFA,ewall,0.653121939486246
B136,S4+QQIMEM,3,QQQ+IWM+EEM,v1,0.5581202560363748
B136,S4+QQIMEM,3,QQQ+IWM+EEM,top20,0.6502322831660354
B136,S4+QQIMEM,3,QQQ+IWM+EEM,ewall,0.6276018563191397
B136,S4+QQEAEM,3,QQQ+EFA+EEM,v1,0.542841251162875
B136,S4+QQEAEM,3,QQQ+EFA+EEM,top20,0.6226225164378046
B136,S4+QQEAEM,3,QQQ+EFA+EEM,ewall,0.6061834557023252
B136,S4+IMEAEM,3,IWM+EFA+EEM,v1,0.512250323114674
B136,S4+IMEAEM,3,IWM+EFA+EEM,top20,0.5579733700731965
B136,S4+IMEAEM,3,IWM+EFA+EEM,ewall,0.5596496686008829
B136,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,v1,0.6339574342813016
B136,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,top20,0.7361719481467888
B136,S4+SYQQIMEA,4,SPY+QQQ+IWM+EFA,ewall,0.740837893719777
B136,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,v1,0.6161363694382547
B136,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,top20,0.7294854085747722
B136,S4+SYQQIMEM,4,SPY+QQQ+IWM+EEM,ewall,0.7244838679684166
B136,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,v1,0.6069705250742858
B136,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,top20,0.7108926725197723
B136,S4+SYQQEAEM,4,SPY+QQQ+EFA+EEM,ewall,0.7109501351309067
B136,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,v1,0.5898206999297555
B136,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,top20,0.666912619647503
B136,S4+SYIMEAEM,4,SPY+IWM+EFA+EEM,ewall,0.6814606053504663
B136,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,v1,0.5861926943131102
B136,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,top20,0.6861687494117432
B136,S4+QQIMEAEM,4,QQQ+IWM+EFA+EEM,ewall,0.6807930125120788
B136,S9,5,SPY+QQQ+IWM+EFA+EEM,v1,0.625913345622868
B136,S9,5,SPY+QQQ+IWM+EFA+EEM,top20,0.7426913296608972
B136,S9,5,SPY+QQQ+IWM+EFA+EEM,ewall,0.7497282223567922
