gate,check,value,pass_
G1,incumbent triple vs 1101's committed (tape restated daily),0.002603440670139623,True
G2,U56 live RULES v2 MaxDD vs committed -12.05%,4.947716248876466e-05,True
G3,U56 SPY OOS triple vs committed,0.0032240617633456647,True
G4,IS n OOS rows (must be 0),0.0,True
G4b,every inner boundary partitions IS exactly,0.0,True
G5,fast runner == engine.backtest (U56 A N=20),1.3877787807814457e-17,True
G6,mean d over all 72 vs 1260's committed +0.0095,4.772867243539418e-05,True
G7,do-nothing / always-act mean OOS Sharpe vs 1246/1260's committed 0.7922 / 0.8016,9.981152473170773e-05,True
G8,1260's rule-8 chosen cell reproduced at its own boundary/class,0.0,True
G9,1260's outer LIC-REF at that cell,3.021416754919043e-05,True
G10,1260's d_sel at that cell,1.9398412250844904e-05,True
G11,1260's inner/outer rank corr at its own boundary/class,2.656301569159414e-05,True
G12,1260's best observed-side cell LIC-REF +0.1839,2.2535035014203952e-05,True
G13,"determinism: 12 grid rows, 24 cells, 72 decisions, 162 books",0.0,True
G14,"SPY never eligible on SMALL (benchmark, not constituent)",0.0,True
