panel,kind,q,k,draw,arm,n,Ebar,breadth,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,IS_Sharpe,spy_S,spy_CAGR,spy_DD,spy_H1,spy_H2,spy_OOS_S,v2_S,v2_H1,v2_H2,v2_DD,v2_OOS_S,pass4a,pass4b,is525
q0.00_k40_d2,ladder,0.0,40,2,CAND20,20.0,27.607701564380264,0.6901925391095067,0.12016385180463374,1.0071893333221598,-0.19545004144145084,1.1011579464303887,0.9289463093291681,0.13256520399174576,1.058478311635125,-0.19545004144145106,0.9178359570995941,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0743720123052785,1.2070527360048182,0.9580818006026598,-0.14160888361572144,1.0696345099544655,False,True,True
q0.00_k40_d2,ladder,0.0,40,2,CAND30,30.0,27.607701564380264,0.6901925391095067,0.10399920373943994,1.0423962343516084,-0.16438131682366708,1.159260154356902,0.9344150231768764,0.10826445076968838,1.0539059523547367,-0.16438131682366686,1.0238717532163593,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0743720123052785,1.2070527360048182,0.9580818006026598,-0.14160888361572144,1.0696345099544655,False,True,True
q0.00_k40_d2,ladder,0.0,40,2,EWall,,27.607701564380264,0.6901925391095067,0.12662503685314497,1.0323317255954254,-0.20028764681840538,1.129698136659758,0.9538776784425782,0.13421657753721705,1.0574204353679346,-0.20028764681840538,0.9901116919210745,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0743720123052785,1.2070527360048182,0.9580818006026598,-0.14160888361572144,1.0696345099544655,False,True,True
q0.00_k60_d0,ladder,0.0,60,0,CAND5,5.0,42.58243080625752,0.709707180104292,0.1125512268298503,0.6956693710153689,-0.21038088116549314,0.8227487202701954,0.594010848778589,0.1102140293562004,0.6580886711609719,-0.21038088116549314,0.7714172936309603,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0665209222395458,1.1739373785249878,0.959925789013012,-0.13546858989425958,1.0896454853093114,False,False,True
q0.00_k60_d0,ladder,0.0,60,0,CAND10,10.0,42.58243080625752,0.709707180104292,0.12233844048026565,0.8650468070950894,-0.2081912264904281,0.9826246351638401,0.7646463066175869,0.12474395849044484,0.8525926768813482,-0.20819122649042832,0.8903228640508698,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0665209222395458,1.1739373785249878,0.959925789013012,-0.13546858989425958,1.0896454853093114,False,False,True
q0.00_k60_d0,ladder,0.0,60,0,CAND15,15.0,42.58243080625752,0.709707180104292,0.11300544322743189,0.8698456764730292,-0.21256007866945237,0.9572611128530835,0.7924470004473995,0.11872293587811167,0.8837444189313541,-0.2125600786694526,0.8471358396060994,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0665209222395458,1.1739373785249878,0.959925789013012,-0.13546858989425958,1.0896454853093114,False,False,True
q0.00_k60_d0,ladder,0.0,60,0,CAND20,20.0,42.58243080625752,0.709707180104292,0.11488789606988292,0.9336142920552563,-0.20313670098729586,1.002838632920279,0.8710310062840078,0.12056878230630552,0.9508382669949538,-0.20313670098729597,0.9049098620954527,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0665209222395458,1.1739373785249878,0.959925789013012,-0.13546858989425958,1.0896454853093114,False,False,True
q0.00_k60_d0,ladder,0.0,60,0,CAND30,30.0,42.58243080625752,0.709707180104292,0.10765129804561568,0.9695161245275179,-0.1993938927020361,1.0178600649787415,0.9250393797161766,0.11549563663544538,1.0144661179071317,-0.19939389270203578,0.8931838874203906,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0665209222395458,1.1739373785249878,0.959925789013012,-0.13546858989425958,1.0896454853093114,False,True,True
q0.00_k60_d0,ladder,0.0,60,0,EWall,,42.58243080625752,0.709707180104292,0.10599496221417426,0.9033415092808528,-0.28729576412338687,1.1071254464569134,0.7355554213568974,0.1042864014312479,0.8670767120698895,-0.2872957641233862,0.9692151068091824,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.0665209222395458,1.1739373785249878,0.959925789013012,-0.13546858989425958,1.0896454853093114,False,False,True
q0.00_k60_d1,ladder,0.0,60,1,CAND5,5.0,41.26113116726835,0.6876855194544725,0.1393074284108946,0.8069353622951138,-0.22132603562926834,0.9653750095243908,0.6980644286798359,0.13621491088482585,0.7433659906201827,-0.22132603562926834,0.959240417966836,0.8581070395623257,0.1405864726585555,-0.3371595330739302,0.9138503883738844,0.8344037775250197,0.8767278433896203,1.1205588858076627,1.2568312196425162,0.9917886981192737,-0.12784811469871127,1.1531485338975282,False,False,True
