anchor,what,committed,tol,kind,best_vintage,best_dev,n_vintages_within_tol,identifiable,n_tradingday_within_tol,identifiable_tradingday,hit_vintages,current_dev,current_pass,vintage_spread,vintage_spread_tradingday,val_min,val_max
A936_CAGR,U56 W/H126/N=20 CAGR,0.155787,5e-05,book,868b5c36,3.1831294189377246e-07,1,True,1,True,868b5c36,0.0002668134527609167,False,0.038283078808824866,0.0010764587015799076,0.11831356643999413,0.156596645248819
A936_SHARPE,U56 W/H126/N=20 Sharpe,1.139701,5e-05,book,868b5c36,2.6251579132718916e-08,1,True,1,True,868b5c36,0.0016222226940012519,False,0.1450880700703251,0.006369084303132766,0.9993597915388065,1.1444478616091316
A936_MAXDD,U56 W/H126/N=20 MaxDD,-0.191276,5e-05,book,f138ee9a,2.9954170388535317e-07,10,False,10,False,c006b439|50585c86|f138ee9a|9ee888f4|7a93b075|60e8c36a|56e08b10|b2528b96|868b5c36|6f1fcb13,3.8169534966048246e-07,True,0.017665581395467478,8.222669314328357e-07,-0.20894119970011782,-0.19127561830465034
A1098_CAGR,U56 n=12 CAGR,0.1771,0.0005,book,868b5c36,4.9747072470490705e-05,8,False,8,False,c006b439|50585c86|f138ee9a|7a93b075|60e8c36a|56e08b10|b2528b96|868b5c36,0.0006396475726661854,False,0.047240594562235616,0.0011804420037824226,0.13040019986888063,0.17764079443111624
A1098_SHARPE,U56 n=12 Sharpe,1.1692,0.0005,book,868b5c36,1.4516786034146634e-05,5,False,5,False,c006b439|50585c86|f138ee9a|b2528b96|868b5c36,0.0033728717100622863,False,0.18429574625999512,0.006227335791443078,0.9877587178213857,1.1720544640813808
A1098_MAXDD,U56 n=12 MaxDD,-0.2017,0.0005,book,f138ee9a,7.608967291239388e-06,10,False,10,False,c006b439|50585c86|f138ee9a|9ee888f4|7a93b075|60e8c36a|56e08b10|b2528b96|868b5c36|6f1fcb13,7.687351323504288e-06,True,0.006931900793057166,7.838403226489987e-08,-0.20862421344173365,-0.20169231264867649
SPY_OOS_CAGR,SPY OOS CAGR,0.1521,0.0005,bench,868b5c36,1.563439305463099e-06,2,False,2,False,60e8c36a|868b5c36,0.0005912621893008341,False,0.05159748406666287,0.00352895244348872,0.10344020618752503,0.1550376902541879
SPY_OOS_SHARPE,SPY OOS Sharpe,0.8713,0.0005,bench,868b5c36,0.00017024209187355144,1,True,1,True,868b5c36,0.0028937770933026297,False,0.15593100805468052,0.01601244654556644,0.7284876613975833,0.8844186694522638
SPY_OOS_MAXDD,SPY OOS MaxDD,-0.3372,0.0005,bench,f138ee9a,2.7107993262054375e-05,12,False,10,False,fb208174|0ede2282|c006b439|50585c86|f138ee9a|9ee888f4|7a93b075|60e8c36a|56e08b10|b2528b96|868b5c36|6f1fcb13,2.7647166016830926e-05,True,5.391727551096182e-07,5.391727551096182e-07,-0.33717289200673795,-0.33717235283398284
LIVE_MAXDD,live RULES v2 MaxDD,-0.1205,0.0005,bench,c006b439,4.9357101261027214e-05,10,False,10,False,c006b439|50585c86|f138ee9a|9ee888f4|7a93b075|60e8c36a|56e08b10|b2528b96|868b5c36|6f1fcb13,4.9488215128346e-05,True,0.004140581959353962,1.3613311011795304e-07,-0.12054949323437114,-0.11640891127501718
