increment,step,k,rungs,added,n_dependent,share,marginal
INC_ONE,1,1,63,-,0,0.0,0.0
INC_ONE,2,2,63|126,126,1,0.013888888888888888,0.013888888888888888
INC_ONE,3,3,63|126|42,42,1,0.013888888888888888,0.0
INC_ONE,4,4,63|126|42|252,252,4,0.05555555555555555,0.041666666666666664
INC_ONE,5,5,63|126|42|252|21,21,6,0.08333333333333333,0.027777777777777776
INC_ONE,6,6,63|126|42|252|21|504,504,9,0.125,0.041666666666666664
INC_ONE,7,7,63|126|42|252|21|504|10,10,10,0.1388888888888889,0.013888888888888888
INC_ONE,8,8,63|126|42|252|21|504|10|1008,1008,18,0.25,0.1111111111111111
INC_ONE,9,9,63|126|42|252|21|504|10|1008|5,5,18,0.25,0.0
INC_ONE,10,10,63|126|42|252|21|504|10|1008|5|2,2,20,0.2777777777777778,0.027777777777777776
INC_ONE,11,11,63|126|42|252|21|504|10|1008|5|2|1,1,21,0.2916666666666667,0.013888888888888888
INC_ONE,12,12,63|126|42|252|21|504|10|1008|5|2|1|T,T,61,0.8472222222222222,0.5555555555555556
INC_TWO,1,1,63,-,0,0.0,0.0
INC_TWO,2,3,63|126|42,42,1,0.013888888888888888,0.013888888888888888
INC_TWO,3,5,63|126|42|252|21,21,6,0.08333333333333333,0.06944444444444445
INC_TWO,4,7,63|126|42|252|21|504|10,10,10,0.1388888888888889,0.05555555555555555
INC_TWO,5,9,63|126|42|252|21|504|10|1008|5,5,18,0.25,0.1111111111111111
INC_TWO,6,11,63|126|42|252|21|504|10|1008|5|2|1,1,21,0.2916666666666667,0.041666666666666664
INC_TWO,7,12,63|126|42|252|21|504|10|1008|5|2|1|T,T,61,0.8472222222222222,0.5555555555555556
INC_REC,1,1,63,-,0,0.0,0.0
INC_REC,2,4,21|63|126|252,252,6,0.08333333333333333,0.08333333333333333
INC_REC,3,11,1|2|5|10|21|42|63|126|252|504|1008,1008,21,0.2916666666666667,0.20833333333333334
INC_REC,4,12,1|2|5|10|21|42|63|126|252|504|1008|T,T,61,0.8472222222222222,0.5555555555555556
