panel,family,axis,N,k,L,basis,argmax,gap_pp,spread_pp,floor_pp,floor_capped,n_unresolved,largest_unresolved,floor_survives
U56,A,H,5,3,21,SEED,63,0.6703898676810871,0.6865372874551134,1.3062822785283617,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,21,TAPE,63,0.6703898676810871,0.6865372874551134,inf,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,21,JOINT,63,0.6703898676810871,0.6865372874551134,1.4757055391450808,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,63,SEED,63,0.6703898676810871,0.6865372874551134,1.3062822785283617,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,63,TAPE,63,0.6703898676810871,0.6865372874551134,inf,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,63,JOINT,63,0.6703898676810871,0.6865372874551134,1.4757055391450808,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,126,SEED,63,0.6703898676810871,0.6865372874551134,1.3062822785283617,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,126,TAPE,63,0.6703898676810871,0.6865372874551134,inf,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,5,3,126,JOINT,63,0.6703898676810871,0.6865372874551134,1.4757055391450808,0.6865372874551134,3,0.6865372874551134,False
U56,A,H,8,3,21,SEED,63,1.8771152986833295,2.719241011980433,1.0194191546995695,1.0194191546995695,3,2.719241011980433,True
U56,A,H,8,3,21,TAPE,63,1.8771152986833295,2.719241011980433,inf,2.719241011980433,3,2.719241011980433,False
U56,A,H,8,3,21,JOINT,63,1.8771152986833295,2.719241011980433,2.9040466756243353,2.719241011980433,3,2.719241011980433,False
U56,A,H,8,3,63,SEED,63,1.8771152986833295,2.719241011980433,1.0194191546995695,1.0194191546995695,2,1.8771152986833295,True
U56,A,H,8,3,63,TAPE,63,1.8771152986833295,2.719241011980433,2.719241011980433,2.719241011980433,2,1.8771152986833295,False
U56,A,H,8,3,63,JOINT,63,1.8771152986833295,2.719241011980433,2.9040466756243353,2.719241011980433,2,1.8771152986833295,False
U56,A,H,8,3,126,SEED,63,1.8771152986833295,2.719241011980433,1.0194191546995695,1.0194191546995695,1,0.8421257132971034,True
U56,A,H,8,3,126,TAPE,63,1.8771152986833295,2.719241011980433,1.8771152986833295,1.8771152986833295,1,0.8421257132971034,False
U56,A,H,8,3,126,JOINT,63,1.8771152986833295,2.719241011980433,2.136065836419699,2.136065836419699,1,0.8421257132971034,False
