panel,char,flavour,level,seed,n_from_B,n_from_S,cvol,rho,breadth,beta,reach_lo,reach_hi,feasible,bandwidth,n_pool
cvol~POOL~L0.250~0,cvol,POOL,0.25,0,24,12,0.2776929916000867,0.33997976601667185,0.647986541620304,0.8444968693193646,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.250~1,cvol,POOL,0.25,1,19,17,0.3182711120926357,0.2890054152082568,0.611885262354403,0.8814327002231901,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.250~2,cvol,POOL,0.25,2,16,20,0.31617093219233516,0.30024209718536793,0.6149233374365917,0.9242750376272654,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.250~3,cvol,POOL,0.25,3,23,13,0.3008039942277018,0.3614134018220874,0.6635068905960095,0.9664714629650796,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.250~4,cvol,POOL,0.25,4,25,11,0.2856835851895311,0.27805073353057225,0.6489890843694597,0.8381336921538173,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.250~5,cvol,POOL,0.25,5,22,14,0.3077541089563496,0.31399410359006596,0.6336322421123187,0.9164811804812457,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.320~0,cvol,POOL,0.32,0,17,19,0.35225270766989725,0.28909764151523326,0.5957817666106279,0.9981131131498768,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.320~1,cvol,POOL,0.32,1,19,17,0.3504762516969545,0.2616203802553323,0.5893300689835331,0.956419026284335,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.320~2,cvol,POOL,0.32,2,10,26,0.3708305251111075,0.28475702331751257,0.5597570726386238,1.0300831026801638,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.320~3,cvol,POOL,0.32,3,16,20,0.3500141786367419,0.2757182842241577,0.589718413246544,0.9820813149013872,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.320~4,cvol,POOL,0.32,4,14,22,0.35701438699352805,0.281859314189405,0.6110012131257071,0.9811256120446208,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.320~5,cvol,POOL,0.32,5,18,18,0.3510928192340187,0.29486418584323715,0.6129878701093883,1.0154645088775531,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.390~0,cvol,POOL,0.39,0,8,28,0.4463504187742695,0.21849804349570462,0.5383587228830944,1.0761132947034575,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
cvol~POOL~L0.390~1,cvol,POOL,0.39,1,7,29,0.42036570986947247,0.21421490065670096,0.5407457632591068,1.0192638505401705,0.16513077712349494,0.9945836624660271,True,0.10533369599366507,573
