panel,book,ladder,rung,is_incumbent,CAGR,Sharpe,MaxDD,H1,H2,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,KEEP_4a,KEEP_4b,KEEP_4b_OOS
U56,N=5,N,5,False,0.17793757695658097,0.9845779852208087,-0.2585359705801561,1.1946871113185662,0.82659164077933,0.17000779023074886,0.8979211902800313,-0.2585359705801552,False,False,False
U56,N=10,N,10,False,0.16989393351160098,1.102125285006788,-0.20771054445737913,1.233065488884459,0.9943300349821675,0.17560887511881296,1.0889536729651967,-0.2077105444573789,False,False,False
U56,N=15,N,15,False,0.1706567433587769,1.1675385661685824,-0.20144579389406292,1.2595582596358081,1.1090861149743518,0.18871877652037616,1.1893551717984185,-0.20144579389406259,False,True,True
U56,N=20,N,20,True,0.15714672654911843,1.1479799954464627,-0.19127561830465023,1.2126871756821322,1.1050095733306262,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
U56,N=30,N,30,False,0.14533784407427497,1.1447142970000956,-0.2207393564442267,1.2278822592558516,1.0934893123830065,0.15980449449807077,1.1667122859523231,-0.2207393564442267,False,False,False
U56,N=40,N,40,False,0.1339534804467548,1.1310686375198724,-0.22455518013281894,1.2662940412974806,1.0361370515298227,0.14075876803447396,1.1150205809068778,-0.2245551801328196,False,False,False
U56,H=21,H,21,False,0.14123707709310707,1.1044364232896318,-0.20192300816867648,1.188265079554216,1.047643894101646,0.15058134694477343,1.1011999367907357,-0.20192300816867648,False,True,True
U56,H=63,H,63,False,0.1520482092189397,1.116814285371604,-0.2553328837786629,1.2146075522397595,1.0567435376650582,0.16637338264787993,1.1246694417898497,-0.2553328837786629,False,False,False
U56,H=126,H,126,True,0.15714672654911843,1.1479799954464627,-0.19127561830465023,1.2126871756821322,1.1050095733306262,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
U56,H=252,H,252,False,0.15897901257906644,1.1629926087489342,-0.2184353096668985,1.2249776243377413,1.1232722396920856,0.17330929033385956,1.1899719103842925,-0.21843530966689828,False,False,False
U56,CADENCE=W,CADENCE,W,True,0.15714672654911843,1.1479799954464627,-0.19127561830465023,1.2126871756821322,1.1050095733306262,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
U56,CADENCE=M,CADENCE,M,False,0.1436115470777939,1.0638769680699973,-0.23077357854819602,1.2203446609333453,0.9608361321811378,0.15395528852603202,1.0498080126906935,-0.2307735785481958,False,False,False
U56,GROSS=0.3,GROSS,0.3,False,0.06227984301155698,1.1463237613567454,-0.07990335554891126,1.2113155459022278,1.10294274144722,0.06781524673092854,1.1738708320626285,-0.07990335554891093,False,False,False
U56,GROSS=0.35,GROSS,0.35,False,0.07275004021000675,1.1465475432257626,-0.09276264906597564,1.2115103706613313,1.1032081232561104,0.07924282521997017,1.174139410382864,-0.09276264906597609,False,False,False
U56,GROSS=0.4,GROSS,0.4,False,0.08324186735877981,1.146761892429528,-0.10549271071234201,1.2116950882240192,1.1034650636616874,0.09070149050456155,1.1743992259856408,-0.10549271071234212,False,False,False
U56,GROSS=0.45,GROSS,0.45,False,0.09375373527765851,1.146967288803019,-0.11809419746843353,1.2118703201224152,1.1037139497035673,0.10218943200056496,1.1746504872715686,-0.11809419746843297,False,False,False
U56,GROSS=0.5,GROSS,0.5,False,0.10428396687227681,1.1471634057636682,-0.1305677056571426,1.2120361170655947,1.1039541421204357,0.11370468281299284,1.1748922430545976,-0.13056770565714337,False,False,True
U56,GROSS=0.55,GROSS,0.55,False,0.11483072086937773,1.1473488024704828,-0.14291450567416764,1.212191584380685,1.1041837686803435,0.12524512013230504,1.1751228088206096,-0.14291450567416775,False,True,True
U56,GROSS=0.6,GROSS,0.6,False,0.12539225093957862,1.1475235778854291,-0.15513474393540028,1.2123346428076105,1.1044047072605676,0.13680897779753187,1.1753442299377195,-0.15513474393540028,False,True,True
U56,GROSS=0.65,GROSS,0.65,False,0.13596669005255246,1.1476872234160969,-0.1672846655409559,1.212464782137342,1.1046164402200378,0.14839412549310804,1.1755556958566535,-0.1672846655409561,False,True,True
U56,GROSS=0.7,GROSS,0.7,False,0.14655219843626877,1.1478397349629292,-0.17933718991976777,1.2125828048090836,1.1048183113738639,0.15999840065563675,1.1757566069776015,-0.1793371899197681,False,True,True
U56,GROSS=0.75,GROSS,0.75,True,0.15714672654911843,1.1479799954464627,-0.19127561830465023,1.2126871756821322,1.1050095733306262,0.1716196082191408,1.1759465345181017,-0.19127561830465023,False,True,True
B136,N=5,N,5,False,0.1872779889378513,0.9689798274656515,-0.2812388100874458,1.3074296361205184,0.7109124693456492,0.14711932339670653,0.7546439359925252,-0.2812388100874462,False,False,False
B136,N=10,N,10,False,0.18530225114346233,1.0665533143779662,-0.20203288162979294,1.3780429811739299,0.8362003587033098,0.16787343178113612,0.923493018629746,-0.20203288162979294,False,True,False
B136,N=15,N,15,False,0.16865777953630556,1.0685360598400833,-0.19659728035297674,1.238030956055259,0.9452181085731574,0.1764736741591062,1.0471643050859325,-0.19659728035297697,False,True,False
B136,N=20,N,20,True,0.16184809643572629,1.0715348935832014,-0.20740302267849475,1.2901570913907343,0.8994538327030833,0.1628665539757932,1.024015074035567,-0.20740302267849475,False,False,False
B136,N=30,N,30,False,0.15988043941385532,1.0962397067524492,-0.24354358049436975,1.2737786835303777,0.9655755461368047,0.16563224574126112,1.0662916149681585,-0.24354358049436964,False,False,False
B136,N=40,N,40,False,0.153172484757929,1.0886572417504525,-0.25383188323645234,1.2656415005708657,0.9567326822198485,0.15712792684525856,1.053732532862363,-0.25383188323645267,False,False,False
B136,H=21,H,21,False,0.16035887193713472,1.0690015998465905,-0.26372392677410794,1.323030232707854,0.8646855024883164,0.1497515856632301,0.960512071949132,-0.2637239267741077,False,False,False
B136,H=63,H,63,False,0.17141325998392132,1.0923498510546932,-0.28694818362899366,1.3529497231567988,0.8940923774811949,0.16610264706157918,1.0023341092550495,-0.28694818362899377,False,False,False
B136,H=126,H,126,True,0.16184809643572629,1.0715348935832014,-0.20740302267849475,1.2901570913907343,0.8994538327030833,0.1628665539757932,1.024015074035567,-0.20740302267849475,False,False,False
B136,H=252,H,252,False,0.16386492526981544,1.072333570067406,-0.234909982764114,1.243552220587236,0.9434898465571806,0.1704732382055223,1.047801028726617,-0.23490998276411434,False,False,False
B136,CADENCE=W,CADENCE,W,True,0.16184809643572629,1.0715348935832014,-0.20740302267849475,1.2901570913907343,0.8994538327030833,0.1628665539757932,1.024015074035567,-0.20740302267849475,False,False,False
B136,CADENCE=M,CADENCE,M,False,0.16860613434678884,1.082131081556856,-0.2762786363864471,1.2522860162190914,0.9684114113442073,0.18407959540271612,1.0823941947139264,-0.2762786363864469,False,False,False
B136,GROSS=0.3,GROSS,0.3,False,0.064416922364535,1.0675754732597473,-0.08672096624141135,1.2862304266524882,0.895115752376443,0.06508635487337444,1.0195369811665826,-0.08672096624141135,False,False,False
B136,GROSS=0.35,GROSS,0.35,False,0.075214363795848,1.0680543891343213,-0.10068113078456065,1.2867053108287276,0.8956325113853627,0.07596454449773726,1.020073127109875,-0.10068113078456076,False,False,False
B136,GROSS=0.4,GROSS,0.4,False,0.08602404902579908,1.068524964147018,-0.11450196962857717,1.2871725161598742,0.8961414738159938,0.0868452379644924,1.0206003854185575,-0.11450196962857706,False,False,False
B136,GROSS=0.45,GROSS,0.45,False,0.09684383322267709,1.0689863601824545,-0.1281841567538473,1.2876301098519587,0.8966427370558311,0.09772602893082571,1.0211188955255315,-0.12818415675384764,False,False,False
B136,GROSS=0.5,GROSS,0.5,False,0.10767154115369748,1.0694381762314744,-0.14172844448877653,1.2880787895068297,0.8971349931704677,0.1086043340244347,1.0216276175513266,-0.14172844448877653,False,True,True
B136,GROSS=0.55,GROSS,0.55,False,0.11850493268274143,1.069879867690879,-0.15513526976429926,1.2885172400066498,0.8976183511956967,0.119477614898718,1.0221265112159883,-0.15513526976429937,False,True,True
B136,GROSS=0.6,GROSS,0.6,False,0.12934166988910967,1.0703107687335567,-0.16840548135869893,1.2889447566366907,0.8980921843857189,0.1303431871824683,1.0226149577856618,-0.16840548135869882,False,True,True
B136,GROSS=0.65,GROSS,0.65,False,0.14017945665321108,1.070730888190686,-0.1815398564875792,1.2893608041754536,0.8985569984586801,0.14119849229587778,1.023093481402272,-0.18153985648757875,False,True,True
B136,GROSS=0.7,GROSS,0.7,False,0.15101579040793012,1.0711392189920932,-0.19453874207190114,1.2897647727154848,0.8990115128268343,0.15204064327427358,1.0235607661160533,-0.19453874207190125,False,True,True
B136,GROSS=0.75,GROSS,0.75,True,0.16184809643572629,1.0715348935832014,-0.20740302267849475,1.2901570913907343,0.8994538327030833,0.1628665539757932,1.024015074035567,-0.20740302267849475,False,False,False
SMALL,N=5,N,5,False,0.037697701421296026,0.27327412662646716,-0.5069846791498915,0.3399348281708725,0.22284400638424967,0.01736033526257086,0.1972593474555165,-0.5069846791498912,False,False,False
SMALL,N=10,N,10,False,0.0873859722977135,0.5077088915611144,-0.4343984789946611,0.6661071984304059,0.3896560406373785,0.07926243405057631,0.46022426472676037,-0.4343984789946609,False,False,False
SMALL,N=15,N,15,False,0.08418218895957041,0.5189338252609249,-0.39206257008104306,0.7524202797906945,0.34219142776348793,0.07487124483857088,0.46182909573435893,-0.3920625700810426,False,False,False
SMALL,N=20,N,20,True,0.07837619925720163,0.5054582547554105,-0.3581405418032818,0.6593951268632167,0.39418522800842726,0.07086077006544778,0.4534302580652866,-0.3581405418032817,False,False,False
SMALL,N=30,N,30,False,0.07728960515802297,0.5200854326964637,-0.36312592694285295,0.7567296674748525,0.3440399703866275,0.06587618596901712,0.4449453286994661,-0.3631259269428533,False,False,False
SMALL,N=40,N,40,False,0.07337933258862828,0.510883364197917,-0.3611659367125417,0.7129609757729953,0.3674730574962897,0.06171328607596971,0.4303406149303921,-0.3611659367125418,False,False,False
SMALL,H=21,H,21,False,0.08056847985877647,0.527770451266278,-0.38294667892209744,0.8376832996442246,0.29470195646939473,0.06567873751405018,0.4331267156987392,-0.38294667892209755,False,False,False
SMALL,H=63,H,63,False,0.0909576449730467,0.5745812217297249,-0.3642879587939071,0.8573071741039657,0.3657071684552225,0.07245257566511776,0.463084304182747,-0.36428795879390663,False,False,False
SMALL,H=126,H,126,True,0.07837619925720163,0.5054582547554105,-0.3581405418032818,0.6593951268632167,0.39418522800842726,0.07086077006544778,0.4534302580652866,-0.3581405418032817,False,False,False
