window,n,cells,sign_ok,panel_ok
IS (H1 window),3,30,0.3,0.1
IS (H1 window),5,30,0.4666666666666667,0.2
IS (H1 window),10,30,0.5333333333333333,0.2
IS (H1 window),20,30,0.43333333333333335,0.2
IS (H1 window),40,30,0.8,0.6
IS (H1 window),ALL,30,1.0,1.0
OOS (2017-2026),3,30,0.4,0.3
OOS (2017-2026),5,30,0.5,0.3
OOS (2017-2026),10,30,0.8333333333333334,0.6
OOS (2017-2026),20,30,0.8333333333333334,0.6
OOS (2017-2026),40,30,0.9666666666666667,0.9
OOS (2017-2026),ALL,30,0.9,0.7
