corpus,rows,comparand,pass4a,pass4b,both,both_rate
135,1632,v2-cost-matched (idea 142's),23,144,0,0.0
135,1632,V1-at-fixed-10bps,784,144,39,0.02389705882352941
138,208,v2-cost-matched (idea 142's),11,57,0,0.0
138,208,V1-at-fixed-10bps,88,57,20,0.09615384615384616
402,1728,v2-cost-matched (idea 142's),135,199,0,0.0
402,1728,V1-at-fixed-10bps,615,199,76,0.04398148148148148
142,816,v2-cost-matched (idea 142's),5,88,2,0.0024509803921568627
142,816,V1-at-fixed-10bps,371,88,31,0.03799019607843137
