panel,book,dial,argmax_0bps,top2_gap_0bps,max_tilt_30bps,predicted_rerank,actual_rerank
B136,EWALL,G,0.12,0.05387191825978843,0.0,False,False
B136,EWALL,K,4.0,0.020801888408798375,0.05280062306573596,True,False
B136,EWALL,V,0.8,0.006671187444448057,0.011048768707380939,True,True
B136,TOPN,G,0.12,0.00015354534361033956,0.0,False,False
B136,TOPN,K,4.0,0.019882437743776515,0.07021929100135325,True,False
B136,TOPN,N,40.0,0.00700242213671376,0.024705290074144147,True,True
B136,TOPN,V,0.8,0.026038318657331416,0.013191241034356989,False,False
B136,V1C,G,0.12,0.03879884720433968,0.0,False,False
B136,V1C,K,2.0,0.0134191451440977,0.26083129899370994,True,True
B136,V1C,N,25.0,0.015250870026997765,0.1805531517358771,True,True
B136,V1C,V,0.2,0.02085311951079838,0.1794073350005694,True,True
SMALL439,EWALL,G,0.12,0.042846940121693544,0.0,False,False
SMALL439,EWALL,K,8.0,0.0106945651132333,0.02250896280808872,True,True
SMALL439,EWALL,V,5.0,0.04351290789851736,0.0,False,False
SMALL439,TOPN,G,0.02,0.0020494432963401588,0.005287577984124971,True,False
SMALL439,TOPN,K,6.0,0.06130754331880961,0.06242359440961058,True,False
SMALL439,TOPN,N,15.0,0.017923072778969318,0.0396188742679536,True,False
SMALL439,TOPN,V,5.0,0.15582569735001506,0.0,False,False
SMALL439,V1C,G,0.08,0.010304686915574512,0.011201534814944299,True,False
SMALL439,V1C,K,1.0,0.07809487355537936,0.4859905279832534,True,True
SMALL439,V1C,N,3.0,0.052027091758090616,0.25191104981598156,True,True
SMALL439,V1C,V,0.6,0.0050070600027992684,0.01735664223554461,True,True
U56,EWALL,G,0.12,0.01860146255739803,0.0,False,False
U56,EWALL,K,4.0,0.028759813332377426,0.05691257916818394,True,False
U56,EWALL,V,5.0,0.02065303677443575,0.0,False,False
U56,TOPN,G,0.12,0.012230121380209624,0.0,False,False
U56,TOPN,K,1.0,0.0068032606821282204,0.19395739236129117,True,True
U56,TOPN,N,40.0,0.006461922531561193,0.0,False,False
U56,TOPN,V,5.0,0.006901186718272223,0.0,False,False
U56,V1C,G,0.12,0.04778559380594105,0.0,False,False
U56,V1C,K,2.0,0.020678523118403902,0.15426268341196714,True,True
U56,V1C,N,40.0,0.046877627992119475,0.0,False,False
U56,V1C,V,5.0,0.014098164807780034,0.0,False,False
