statistic,window,panel,ref,mine,d
DROP,FULL_IS,U56,-0.0329746718683545,-0.032974671868354566,6.245004513516506e-17
DROP,FULL_IS,B136,0.0025977785412853,0.0025977785412853805,8.066464163292153e-17
DROP,FULL_IS,SMALL439,0.4815486649234199,0.4815486649234198,1.1102230246251565e-16
DROP,TRAIL1Y,U56,0.0509719529619826,0.05097195296198272,1.1796119636642288e-16
DROP,TRAIL1Y,B136,0.1892535667569289,0.18925356675692903,1.3877787807814457e-16
DROP,TRAIL1Y,SMALL439,0.5563992703031516,0.5563992703031516,0.0
DROP,TRAIL3Y,U56,0.1169218655230139,0.11692186552301395,5.551115123125783e-17
DROP,TRAIL3Y,B136,0.0859004865055194,0.08590048650551943,2.7755575615628914e-17
DROP,TRAIL3Y,SMALL439,0.6505004441800523,0.6505004441800525,2.220446049250313e-16
SPREAD,FULL_IS,U56,0.0164020193778801,0.016402019377880214,1.1449174941446927e-16
SPREAD,FULL_IS,B136,-0.0515970893169844,-0.05159708931698448,7.632783294297951e-17
SPREAD,FULL_IS,SMALL439,0.5642341575627307,0.5642341575627307,0.0
SPREAD,TRAIL1Y,U56,-0.2846601974393427,-0.28466019743934273,5.551115123125783e-17
SPREAD,TRAIL1Y,B136,0.3366951119966937,0.3366951119966937,0.0
SPREAD,TRAIL1Y,SMALL439,0.499363688638741,0.4993636886387412,2.220446049250313e-16
SPREAD,TRAIL3Y,U56,0.0038496907541097,0.003849690754109827,1.2706849461530112e-16
SPREAD,TRAIL3Y,B136,0.1305387701660584,0.13053877016605842,2.7755575615628914e-17
SPREAD,TRAIL3Y,SMALL439,0.6154964059972727,0.6154964059972727,0.0
