panel,is_start,is_rows,is_years,menu_width,pick,is_sharpe,oos_sharpe,oracle,oracle_oos,regret,vs_anchor,vs_donothing,pass4a,pass4b,fail4b
U56,2008-01-01,2007,7.964285714285714,3,20,0.9928968404730495,1.167991233806965,20,1.167991233806965,0.0,0.0,0.05470703894835949,False,True,
U56,2008-01-01,2007,7.964285714285714,5,20,0.9928968404730495,1.167991233806965,40,1.2662442817436643,-0.09825304793669942,0.0,0.05470703894835949,False,True,
U56,2008-01-01,2007,7.964285714285714,9,3,1.015825592240117,1.0553980365043352,40,1.2662442817436643,-0.21084624523932916,-0.11259319730262973,-0.057886158354270245,False,False,DD
U56,2010-01-01,1762,6.992063492063492,3,20,0.9372071776494878,1.167991233806965,20,1.167991233806965,0.0,0.0,0.05470703894835949,False,True,
U56,2010-01-01,1762,6.992063492063492,5,20,0.9372071776494878,1.167991233806965,40,1.2662442817436643,-0.09825304793669942,0.0,0.05470703894835949,False,True,
U56,2010-01-01,1762,6.992063492063492,9,3,1.0782609219661234,1.0553980365043352,40,1.2662442817436643,-0.21084624523932916,-0.11259319730262973,-0.057886158354270245,False,False,DD
U56,2012-01-01,1258,4.992063492063492,3,20,1.2042491812643468,1.167991233806965,20,1.167991233806965,0.0,0.0,0.05470703894835949,False,True,
U56,2012-01-01,1258,4.992063492063492,5,20,1.2042491812643468,1.167991233806965,40,1.2662442817436643,-0.09825304793669942,0.0,0.05470703894835949,False,True,
U56,2012-01-01,1258,4.992063492063492,9,15,1.2192102273654597,1.0847869193623592,40,1.2662442817436643,-0.18145736238130517,-0.08320431444460574,-0.028497275496246255,False,True,
U56,2014-01-01,756,3.0,3,5,0.9352527745643701,0.9938232266964573,20,1.167991233806965,-0.17416800711050762,-0.17416800711050762,-0.11946096816214813,False,False,"H1,DD"
U56,2014-01-01,756,3.0,5,10,1.0341690170627411,0.9713041910854872,40,1.2662442817436643,-0.29494009065817717,-0.19668704272147775,-0.14198000377311826,False,False,H1
U56,2014-01-01,756,3.0,9,3,1.1102117073286983,1.0553980365043352,40,1.2662442817436643,-0.21084624523932916,-0.11259319730262973,-0.057886158354270245,False,False,DD
U56,2016-01-01,252,1.0,3,20,0.9994446503861972,1.167991233806965,20,1.167991233806965,0.0,0.0,0.05470703894835949,False,True,
