arm,n,selector,g,k,draw,IS_Sharpe,OOS_CAGR,OOS_Sharpe,OOS_MaxDD,OOS_margin,OOS_fails,v1_OOS_CAGR,v1_OOS_Sharpe,v1_OOS_MaxDD,spy_OOS_CAGR,spy_OOS_Sharpe,spy_OOS_MaxDD,d_vs_v1,d_vs_spy,f4a,f4b,pass4b,pass4a
STATIC,5,S0 do-nothing (full B136),0.75,-1,-1,0.9808729595969661,0.16050924299153935,0.8138426077132945,-0.23360448342667006,-0.2319015169601072,"H1,OOS,DD",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.23759206990947124,-0.06818131588393705,DD,"H2,OOS,DD",False,False
STATIC,5,S1 IS-Sharpe argmax,0.75,20,39,1.3591597827212156,0.15279189008150396,0.9076977445288523,-0.21006408810281696,-0.12301818070324427,"H1,DD",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.33144720672502903,0.02567382093162074,-,DD,False,True
STATIC,5,S2 4b-aware IS screen (3 adm),0.75,20,43,1.2909382558615974,0.13578352527885995,0.9861312030803263,-0.21145205046287452,-0.04526210750064886,DD,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.409880665276503,0.10410727948309473,-,DD,False,True
STATIC,20,S0 do-nothing (full B136),0.75,-1,-1,1.043837850225855,0.12486792010130943,0.8919165372280256,-0.2005204833110832,-0.06744893057436152,H1,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.31566599942420226,0.009892613630793967,-,H2,False,True
STATIC,20,S1 IS-Sharpe argmax,0.75,20,19,1.3228890348164943,0.0836671928954773,1.1044581300449343,-0.10539828313352739,-0.22640048855212977,CAGR,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.528207592241111,0.22243420644770273,-,CAGR,False,True
STATIC,20,S2 4b-aware IS screen (21 adm),0.75,40,42,1.2114583090024023,0.12300033887217277,1.0677059070844952,-0.1962556139210887,0.029857803852283513,-,0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.4914553692806719,0.1856819834872636,-,-,True,True
CEILING,5,S0 do-nothing (full B136),0.7179709162272015,-1,-1,0.9806821338518806,0.1539948643163691,0.81295972977622,-0.22461024723202472,-0.2327560017942652,"H1,OOS,DD",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.2367091919723967,-0.06906419382101159,DD,"H2,OOS,DD",False,False
CEILING,5,S1 IS-Sharpe argmax,0.8584317698991939,20,39,1.3594905910638038,0.17399727995812353,0.9085133140797098,-0.23810551041881844,-0.17701704515553607,"H1,DD",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3322627762758865,0.026489390482478226,DD,DD,False,False
CEILING,5,S2 4b-aware IS screen (1 adm),0.8264649361840392,40,7,1.270319949152208,0.13691397514066228,0.8018804783058989,-0.31192531275157664,-0.5419273971370488,"H1,H2,OOS,DD",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.22562994050207563,-0.08014344529133266,DD,"H2,OOS,DD",False,False
CEILING,20,S0 do-nothing (full B136),0.9716271820332246,-1,-1,1.04576520148699,0.16058043528075405,0.8934920621469865,-0.2551413885167926,-0.2612297912832405,"H1,DD",0.05941502665859644,0.5762505378038233,-0.2119126361153264,0.1545044425578177,0.8820239235972316,-0.3371595330739301,0.3172415243431632,0.011468138549754925,DD,"H2,DD",False,False
