chooser_set,stat,panel,cost,spearman_instability_vs_OOS,n
REC3,NUNIQ,U56,0.0,0.5,3
REC3,NUNIQ,U56,10.0,1.0,3
REC3,NUNIQ,U56,25.0,0.8660254037844387,3
REC3,NUNIQ,B136,0.0,0.0,3
REC3,NUNIQ,B136,10.0,,3
REC3,NUNIQ,B136,25.0,,3
REC3,MODE_SHARE,U56,0.0,-0.5,3
REC3,MODE_SHARE,U56,10.0,1.0,3
REC3,MODE_SHARE,U56,25.0,1.0,3
REC3,MODE_SHARE,B136,0.0,0.0,3
REC3,MODE_SHARE,B136,10.0,,3
REC3,MODE_SHARE,B136,25.0,,3
REC3,OOS_BAND,U56,0.0,-0.5,3
REC3,OOS_BAND,U56,10.0,-1.0,3
REC3,OOS_BAND,U56,25.0,-0.8660254037844387,3
REC3,OOS_BAND,B136,0.0,-0.5,3
REC3,OOS_BAND,B136,10.0,-1.0,3
REC3,OOS_BAND,B136,25.0,1.0,3
STAB3,NUNIQ,U56,0.0,0.0,3
STAB3,NUNIQ,U56,10.0,1.0,3
STAB3,NUNIQ,U56,25.0,0.8660254037844387,3
STAB3,NUNIQ,B136,0.0,-0.5,3
STAB3,NUNIQ,B136,10.0,,3
STAB3,NUNIQ,B136,25.0,,3
STAB3,MODE_SHARE,U56,0.0,-0.5,3
STAB3,MODE_SHARE,U56,10.0,1.0,3
STAB3,MODE_SHARE,U56,25.0,1.0,3
STAB3,MODE_SHARE,B136,0.0,-0.5,3
STAB3,MODE_SHARE,B136,10.0,,3
STAB3,MODE_SHARE,B136,25.0,,3
STAB3,OOS_BAND,U56,0.0,-1.0,3
STAB3,OOS_BAND,U56,10.0,-1.0,3
STAB3,OOS_BAND,U56,25.0,1.0,3
STAB3,OOS_BAND,B136,0.0,-0.5,3
STAB3,OOS_BAND,B136,10.0,-1.0,3
STAB3,OOS_BAND,B136,25.0,1.0,3
